#,Last Trade Date,Resume Date,Gap (days),Category,Explanation
1,2011-04-05,2011-04-18,13,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
2,2011-04-19,2011-05-16,27,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
3,2011-05-16,2011-05-31,15,Public Holiday,Short public holiday or bridge day closure
4,2011-06-16,2011-07-03,17,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
5,2011-07-07,2011-09-07,62,Sparse Early Data,"UNL was thinly traded in 2011; likely no trades, not a NEPSE closure"
6,2011-09-08,2011-09-19,11,Indra Jatra / Constitution Day,Indra Jatra festival or Constitution Day (Sep 19) break
7,2011-09-19,2011-11-13,55,Dashain / Tihar,Annual festival break — NEPSE's longest closure of the year
8,2011-11-22,2011-12-13,21,Holiday / Low Liquidity,Extended public holiday or period of no trades for this stock
9,2011-12-13,2011-12-27,14,Winter Break,Year-end holiday period
10,2012-01-12,2012-02-08,27,Winter / Shivratri,Post-New Year break; occasionally overlaps with Maha Shivratri
11,2012-02-14,2012-02-26,12,Shivratri / Fagu Purnima,Maha Shivratri and/or Holi (Fagu Purnima) holiday
12,2012-04-08,2012-04-19,11,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
13,2012-04-19,2012-04-29,10,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
14,2012-04-29,2012-05-17,18,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
15,2012-06-13,2012-06-25,12,Public Holiday,Short public holiday or bridge day closure
16,2012-06-25,2012-07-03,8,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
17,2012-07-03,2012-07-16,13,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
18,2012-07-24,2012-08-06,13,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
19,2012-09-20,2012-10-02,12,Dashain / Tihar,Annual festival break — NEPSE's longest closure of the year
20,2012-10-02,2012-10-10,8,Dashain / Tihar,Annual festival break — NEPSE's longest closure of the year
21,2012-10-10,2012-11-25,46,Dashain / Tihar,Annual festival break — NEPSE's longest closure of the year
22,2012-11-25,2012-12-03,8,Public Holiday,Short public holiday or bridge day closure
23,2012-12-06,2012-12-18,12,Winter Break,Year-end holiday period
24,2012-12-27,2013-01-07,11,Winter / New Year Break,"Christmas, western New Year, and miscellaneous winter holidays"
25,2013-01-07,2013-01-15,8,Winter / Shivratri,Post-New Year break; occasionally overlaps with Maha Shivratri
26,2013-03-06,2013-03-24,18,Holiday / Low Liquidity,Extended public holiday or period of no trades for this stock
27,2013-03-28,2013-04-16,19,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
28,2013-04-21,2013-05-02,11,Nepali New Year / Spring Festivals,Nepali New Year (Baisakh 1) + Bisket Jatra; NEPSE typically closes ~2 weeks
29,2013-05-02,2013-05-14,12,Public Holiday,Short public holiday or bridge day closure
30,2013-05-19,2013-05-27,8,Public Holiday,Short public holiday or bridge day closure
31,2013-06-06,2013-06-16,10,Public Holiday,Short public holiday or bridge day closure
32,2013-07-11,2013-07-21,10,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
33,2013-07-25,2013-08-12,18,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
34,2013-08-20,2013-08-29,9,Teej / Indra Jatra,Teej (women's festival) and Indra Jatra festival closures
35,2013-09-09,2013-09-23,14,Public Holiday,Short public holiday or bridge day closure
36,2013-10-29,2013-11-06,8,Dashain / Tihar,Annual festival break — NEPSE's longest closure of the year
37,2013-11-06,2013-12-10,34,Extended Dashain / Tihar,Multi-week closure spanning Dashain and Tihar back-to-back
38,2013-12-12,2013-12-26,14,Winter Break,Year-end holiday period
39,2013-12-26,2014-01-13,18,Winter / New Year Break,"Christmas, western New Year, and miscellaneous winter holidays"
40,2014-01-22,2014-02-17,26,Winter / Shivratri,Post-New Year break; occasionally overlaps with Maha Shivratri
41,2014-02-17,2014-04-07,49,Holiday / Low Liquidity,Extended public holiday or period of no trades for this stock
42,2014-06-05,2014-06-15,10,Public Holiday,Short public holiday or bridge day closure
43,2014-07-01,2014-07-14,13,Eid / Monsoon Festivals,Eid al-Adha or other mid-year festival closure
44,2014-08-04,2014-08-13,9,Teej / Indra Jatra,Teej (women's festival) and Indra Jatra festival closures
45,2014-08-13,2014-08-25,12,Teej / Indra Jatra,Teej (women's festival) and Indra Jatra festival closures
46,2014-09-15,2014-09-30,15,Public Holiday,Short public holiday or bridge day closure
