ticker,company_name,ceo_name,source,confirmed_date
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited,Manoj Krishna Uprety,NotebookLM 17th Annual Report FY2081/082,2026-08-16
CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,Deepak Nidhi Tiwari,chhimekbank.org/all-members/management-team,2026-08-16
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Ltd.,Basu Adhikari,skbbl.com.np/team,2026-08-16
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Ltd.,Narendra Singh Bista,swbbl.com.np/board-management/management-teams,2026-08-16
NMFBS,National Microfinance Laghubitta Bittiya Sanstha Ltd.,Debendra Bahadur Basnet,nationalmicrofinance.com.np/management-team,2026-08-16
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Ltd.,Narayan Bahadur Karki,nirdhan.com.np/about-us/management-team,2026-08-16
RSDC,RSDC Laghubitta Bittiya Sanstha Ltd.,Dhruba Kumar Paudel,rsdcmf.com/our-management,2026-08-16
FOWAD,Forward Community Microfinance Bittiya Sanstha Ltd.,Ash Narayan Chaudhary,WebSearch (forwardmfbank.com.np),2026-08-16
GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,Hari Krishna Joshi,WebSearch (gilb.com.np management-team),2026-08-16
NADEP,NADEP Laghubitta Bittiya Sanstha Ltd.,Dirgha Bahadur Aryal,WebSearch (Bajarko Chirfar July 2026),2026-08-16
MSLB,Mahuli Samudayik Laghubitta Bittiya Sanstha Ltd.,Saroj Kumar Singh,Firecrawl - mslbsl.com.np official site + company Facebook CEO-welcome post,2026-08-16
DLBS,Dhaulagiri Laghubitta Bittiya Sanstha Limited,Hem Raj Joshi,WebFetch (dhaulagiribank.com/management-team official site),2026-08-16
ILBS,Infinity Laghubitta Bittiya Sanstha Limited,Gyanishor Panta,WebSearch (infinitylbsl.com.np/message-from-ceo),2026-08-16
LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,Sundar Prasad Shrestha,WebSearch (thehrmnepal.com appointment notice),2026-08-16
ALBSL,Aviyan Laghubitta Bittiya Sanstha Limited,Laxmishwor Devkota,WebSearch (aviyanlaghubitta.com.np/managements),2026-08-16
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited,Sanjay Kumar Mandal,WebSearch (post-merger AGM approval news),2026-08-16
NESDO,NESDO Sambridha Laghubitta Bittiya Sanstha Ltd.,Ashok Kumar Acharya,WebSearch (Nepali; BOD 108th meeting appointment effective 2082-04-19),2026-08-16
NICLBSL,NIC ASIA Laghubitta Bittiya Sanstha Limited,Laxman Chalise,WebSearch (investopaper.com) - appointed effective 2077-08-04 (~Oct 2020); no newer appointment found so treated as current,2026-08-16
MLBSL,Matribhumi Laghubitta Bittiya Sanstha Limited,Krishna Prasad Neupane,WebSearch (mlbsl.com.np management team page) - note: MLBSL and MATRI are the same company (ticker is MATRI on NEPSE),2026-08-16
GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,Shyam Kumar Katuwal,WebSearch (Nepali news),2026-08-16
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited,Krishna Prasad Neupane,WebSearch (mlbsl.com.np management team page) - MATRI is the NEPSE ticker for MLBSL, same company/CEO as row above,2026-08-16
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited,Krishna Raj Chaudhari,WebSearch (swabhimaanlaghubitta.com.np/management-teams),2026-08-16
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Laxman Paudel,WebSearch (sampadalaghubitta.com.np/team/management-team),2026-08-16
ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,Laxman Ghimire,WebSearch (sharemarketnewsnepal.blogspot.com) - some conflicting older mentions of Shiva Prasad Gyawali, this is the more recent name,2026-08-16
