date,open,high,low,ltp,percent_change,qty,turnover
2011-11-29,127.0,125.0,125.0,125.0,0.0,50,6250.0
2011-09-07,91.0,99.0,92.0,99.0,0.0,135,12880.0
2011-09-06,96.0,95.0,91.0,91.0,0.0,5265,494185.0
2011-09-05,106.0,104.0,96.0,96.0,0.0,3185,311980.0
2011-09-04,102.0,106.0,104.0,106.0,0.0,20,2100.0
2011-09-01,100.0,102.0,102.0,102.0,0.0,10,1020.0
2011-08-30,98.0,100.0,99.0,100.0,0.0,20,1990.0
2011-08-29,100.0,98.0,98.0,98.0,0.0,40,3920.0
2011-08-28,102.0,100.0,100.0,100.0,0.0,200,20000.0
2011-08-25,97.0,102.0,96.0,102.0,0.0,6002,587607.0
2011-08-24,99.0,98.0,97.0,97.0,0.0,25252,2449484.0
2011-08-23,95.0,99.0,95.0,99.0,0.0,1075,102320.0
2011-08-22,87.0,95.0,87.0,95.0,0.0,245,22460.0
2011-08-18,89.0,88.0,87.0,87.0,0.0,1571,137498.0
2011-08-16,91.0,90.0,89.0,89.0,0.0,410,36690.0
2011-08-15,91.0,92.0,91.0,91.0,0.0,307,27962.0
2011-08-11,91.0,91.0,90.0,91.0,0.0,475,42875.0
2011-08-10,87.0,91.0,88.0,91.0,0.0,2467,221672.0
2011-08-09,90.0,90.0,87.0,87.0,0.0,2835,250695.0
2011-08-08,89.0,90.0,89.0,90.0,0.0,100,8950.0
2011-08-07,90.0,92.0,89.0,89.0,0.0,1000,90500.0
2011-08-04,89.0,90.0,88.0,90.0,0.0,1726,153848.0
2011-08-03,94.0,93.0,89.0,89.0,0.0,3487,317965.0
2011-08-02,96.0,98.0,94.0,94.0,0.0,1358,129640.0
2011-08-01,97.0,97.0,96.0,96.0,0.0,1754,168593.0
2011-07-31,97.0,97.0,96.0,97.0,0.0,441,42606.0
2011-07-28,100.0,100.0,97.0,97.0,0.0,886,86913.0
2011-07-27,100.0,100.0,100.0,100.0,0.0,781,78100.0
2011-07-26,106.0,104.0,100.0,100.0,0.0,1603,163056.0
2011-07-25,110.0,108.0,106.0,106.0,0.0,3181,337206.0
2011-07-24,112.0,110.0,110.0,110.0,0.0,20,2200.0
2011-07-19,110.0,112.0,112.0,112.0,0.0,25,2800.0
2011-07-18,110.0,110.0,108.0,110.0,0.0,130,14080.0
2011-07-17,106.0,110.0,104.0,110.0,0.0,1279,137510.0
2011-07-14,104.0,108.0,106.0,106.0,0.0,110,11720.0
2011-07-13,100.0,104.0,99.0,104.0,0.0,969,96261.0
2011-07-12,96.0,100.0,95.0,100.0,0.0,424,41202.0
2011-07-11,88.0,96.0,89.0,96.0,0.0,3191,290477.0
