date,open,high,low,ltp,percent_change,qty,turnover
2023-06-15,1190.0,1213.0,1175.0,1180.0,-1.57,1066,1258200.5
2023-06-14,1119.0,1208.9,1119.0,1198.8,7.52,1156,1368895.2
2023-06-13,1111.0,1132.0,1090.0,1115.0,0.36,1213,1339020.4
2023-06-12,1130.0,1131.0,1107.4,1111.0,-2.97,1093,1220266.5
2023-06-11,1146.6,1169.5,1131.0,1145.0,-0.14,444,507128.0
2023-06-08,1166.0,1189.3,1146.6,1146.6,-1.66,264,306152.2
2023-06-07,1202.0,1205.9,1166.0,1166.0,-2.02,613,719448.9
2023-06-06,1180.2,1200.0,1180.2,1190.0,-0.83,248,295987.6
2023-06-05,1244.4,1267.0,1200.0,1200.0,-1.64,337,410594.5
2023-06-04,1210.0,1236.0,1210.0,1220.0,2.52,444,544032.0
2023-06-01,1155.0,1190.0,1155.0,1190.0,3.21,262,308562.0
2023-05-31,1156.4,1179.7,1134.0,1153.0,-2.29,222,255244.6
2023-05-30,1246.6,1246.6,1150.0,1180.0,-7.23,694,817257.0
2023-05-28,1200.0,1275.0,1200.0,1272.0,4.01,1096,1357580.0
2023-05-24,1225.0,1249.5,1201.0,1223.0,1.83,460,564626.5
2023-05-23,1240.0,1254.9,1190.9,1201.0,-1.23,631,764218.2
2023-05-22,1186.0,1216.0,1168.0,1216.0,0.5,438,521927.0
2023-05-21,1269.1,1272.6,1176.0,1210.0,-6.56,684,837605.9
2023-05-18,1260.0,1295.0,1215.2,1295.0,2.78,1061,1328328.1
2023-05-17,1160.0,1280.0,1155.0,1260.0,8.06,304,365158.0
2023-05-16,1187.0,1187.0,1164.0,1166.0,-1.77,249,291029.0
2023-05-15,1230.0,1230.0,1186.0,1187.0,-3.5,242,292105.6
2023-05-14,1231.0,1260.0,1230.0,1230.0,-1.6,264,325781.4
2023-05-11,1275.0,1275.0,1246.0,1250.0,-3.92,234,293960.0
2023-05-10,1287.0,1301.0,1287.0,1301.0,-0.84,184,238502.3
2023-05-09,1300.0,1326.0,1274.0,1312.0,0.92,486,630204.2
2023-05-08,1300.0,1300.1,1300.0,1300.0,-0.01,185,240516.0
2023-05-07,1350.0,1350.0,1297.0,1300.1,-4.96,385,504652.0
2023-05-04,1300.0,1367.9,1300.0,1367.9,4.02,150,197999.0
2023-05-03,1291.0,1315.0,1291.0,1315.0,0.0,123,160493.0
