date,open,high,low,ltp,percent_change,qty,turnover
2015-02-12,205.0,205.0,205.0,205.0,0.0,219761,45051004.0
2014-07-17,110.0,110.0,110.0,110.0,0.0,27552,3030720.0
2014-07-16,110.0,110.0,110.0,110.0,0.0,9546,1050060.0
2014-06-19,110.0,110.0,110.0,110.0,0.0,77696,8546560.0
2014-06-11,110.0,110.0,110.0,110.0,0.0,207337,22807070.0
2014-05-22,110.0,110.0,110.0,110.0,0.0,32946,3624060.0
2014-05-07,110.0,110.0,110.0,110.0,0.0,43421,4776310.0
2014-04-17,110.0,110.0,110.0,110.0,0.0,100,11000.0
2014-04-03,110.0,110.0,110.0,110.0,0.0,73938,8133180.0
2014-03-20,100.0,110.0,102.0,110.0,0.0,7684,841440.0
2014-01-08,100.0,100.0,100.0,100.0,0.0,14944,1494400.0
