date,open,high,low,ltp,percent_change,qty,turnover
2023-05-24,477.3,477.3,431.3,451.0,-3.63,20569,9480717.8
2023-05-23,441.6,468.0,437.0,468.0,8.08,13801,6271274.6
2023-05-22,420.1,446.0,420.0,433.0,2.12,7024,3044195.5
2023-05-21,428.0,435.0,420.0,424.0,-0.47,6287,2681043.0
2023-05-18,410.0,429.0,410.0,426.0,3.9,10818,4574141.8
2023-05-17,403.7,413.0,403.0,410.0,1.56,3426,1403165.0
2023-05-16,400.0,410.0,397.1,403.7,0.9,2609,1052531.0
2023-05-15,400.0,405.0,397.0,400.1,-0.47,3000,1205332.0
2023-05-14,400.0,405.0,397.1,402.0,0.75,1535,614596.0
2023-05-11,400.0,402.0,399.0,399.0,-0.25,1093,437227.5
2023-05-10,398.0,405.0,397.0,400.0,0.0,1400,558796.0
2023-05-09,399.0,413.0,398.0,400.0,0.25,982,394446.0
2023-05-08,398.0,420.0,395.0,399.0,-0.25,2237,893150.8
2023-05-07,402.0,408.0,398.0,400.0,-2.44,4196,1691276.5
2023-05-04,400.0,410.0,400.0,410.0,1.79,2018,819775.0
2023-05-03,398.0,419.2,396.5,402.8,0.07,2920,1177752.0
2023-05-02,398.0,409.0,398.0,402.5,-0.86,415,167359.5
2023-04-30,402.0,408.0,402.0,406.0,-0.76,3675,1487105.0
2023-04-27,410.0,416.0,407.5,409.1,-0.22,1623,664356.5
2023-04-26,410.0,422.8,408.2,410.0,-1.2,2611,1086252.6
2023-04-25,410.0,415.9,405.0,415.0,1.72,2989,1227937.6
2023-04-24,407.7,413.2,400.2,408.0,-1.92,4899,1990491.0
2023-04-23,411.6,416.0,407.1,416.0,-0.95,1785,738800.0
2023-04-20,413.1,422.0,413.0,420.0,0.0,2620,1092959.0
2023-04-19,418.0,426.0,417.0,420.0,0.26,3827,1605589.3
2023-04-18,418.0,424.0,409.3,418.9,-1.67,3003,1247638.8
2023-04-17,425.0,428.0,421.0,426.0,0.16,2037,867356.0
2023-04-16,425.0,434.5,423.7,425.3,-1.23,3126,1336146.6
2023-04-13,436.0,444.9,429.0,430.6,-2.8,8633,3743576.6
2023-04-12,420.9,446.0,415.1,443.0,6.75,7995,3459735.9
2023-04-11,405.0,417.1,405.0,415.0,1.72,2750,1137109.5
2023-04-10,406.0,421.0,401.0,408.0,0.74,3817,1560240.5
2023-04-09,402.0,407.9,402.0,405.0,-1.0,2666,1076606.5
2023-04-06,408.0,414.9,408.0,409.1,-1.66,2725,1117034.0
2023-04-05,425.0,425.0,407.1,416.0,-1.86,15084,6195742.5
2023-04-04,426.0,433.0,418.0,423.9,-1.56,13145,5571930.6
2023-04-03,443.0,443.0,430.0,430.6,-3.88,6495,2829173.3
2023-04-02,466.0,466.0,445.6,448.0,-3.86,10178,4596887.2
2023-03-30,470.0,478.0,462.0,466.0,-1.27,2600,1212528.0
2023-03-29,467.5,490.0,462.1,472.0,-1.05,3420,1629551.5
2023-03-28,492.0,492.0,472.0,477.0,-1.24,3933,1866870.0
2023-03-27,438.0,483.0,435.0,483.0,8.3,3680,1667894.5
2023-03-26,452.0,455.0,444.0,446.0,-3.04,5970,2677338.5
2023-03-23,453.1,468.0,453.1,460.0,-0.43,2690,1244017.3
2023-03-22,465.0,470.0,462.0,462.0,-0.65,3364,1565292.4
2023-03-20,461.0,470.0,455.1,465.0,2.65,2831,1311758.5
2023-03-19,447.1,460.0,447.1,453.0,-0.22,2013,912229.0
2023-03-16,447.3,460.0,447.3,454.0,-0.22,1714,779684.0
2023-03-15,455.0,464.0,455.0,455.0,-1.3,2333,1065605.0
2023-03-14,452.1,470.0,452.1,461.0,0.22,2690,1254001.0
2023-03-13,466.0,466.0,452.3,460.0,-3.06,3640,1668154.0
2023-03-12,481.0,488.9,470.4,474.5,-0.73,7110,3397467.1
2023-03-09,437.1,478.0,437.1,478.0,7.42,5398,2518755.5
2023-03-07,436.2,453.9,436.2,445.0,0.0,2320,1040679.0
2023-03-05,451.0,460.0,442.0,445.0,-3.26,2703,1209824.6
2023-03-02,454.0,460.0,453.0,460.0,-0.65,2081,946336.0
2023-03-01,462.2,469.0,462.2,463.0,-1.7,2660,1235234.0
2023-02-28,474.0,478.0,465.1,471.0,-0.63,3979,1872104.6
2023-02-27,488.0,488.0,461.0,474.0,-1.23,6017,2827807.0
2023-02-26,470.0,488.0,446.0,479.9,0.4,5853,2730116.5
2023-02-23,475.3,478.0,470.0,478.0,-1.44,3296,1561111.3
2023-02-22,473.0,490.6,473.0,485.0,2.54,3628,1757504.3
2023-02-20,471.0,484.5,471.0,473.0,-1.05,3575,1701211.0
2023-02-16,485.0,490.0,478.0,478.0,-2.45,2798,1346492.5
2023-02-15,485.0,497.0,480.0,490.0,0.41,1868,913376.2
2023-02-14,480.1,495.0,480.1,488.0,0.25,4449,2172388.5
2023-02-12,505.0,505.0,486.6,486.8,-4.17,9488,4700539.0
2023-02-09,509.0,510.0,500.5,508.0,-0.2,3749,1899278.0
2023-02-08,529.0,529.0,507.0,509.0,-1.95,12018,6228352.0
