date,open,high,low,ltp,percent_change,qty,turnover
2023-03-13,940.0,958.8,912.0,919.0,-3.59,2001,1854560.6
2023-03-12,965.0,974.5,947.0,953.2,-0.5,2975,2840356.0
2023-03-09,904.0,958.0,903.1,958.0,4.13,1494,1398614.8
2023-03-07,918.0,942.4,888.0,920.0,-0.43,2615,2394181.1
2023-03-05,960.0,960.0,924.0,924.0,-5.23,2162,2025951.0
2023-03-02,981.0,1000.0,967.2,975.0,-2.5,348,339629.3
2023-03-01,1060.0,1060.0,989.0,1000.0,-4.31,3008,3041529.0
2023-02-28,969.0,1045.0,969.0,1045.0,10.0,3457,3527540.4
2023-02-27,975.0,975.0,916.0,950.0,-2.26,1838,1737657.8
2023-02-26,912.0,990.0,847.0,972.0,4.45,3842,3482847.0
2023-02-23,1014.0,1014.0,930.6,930.6,-10.0,2977,2812285.7
2023-02-22,1070.0,1095.0,1032.6,1034.0,-5.16,1725,1845214.5
2023-02-20,1120.0,1120.0,1090.2,1090.2,-2.57,764,841914.9
2023-02-16,1130.0,1138.0,1114.1,1119.0,-0.98,700,785554.4
2023-02-15,1160.0,1166.9,1129.0,1130.1,-1.22,518,588260.1
2023-02-14,1166.0,1195.0,1131.0,1144.1,-2.71,1385,1605649.5
2023-02-12,1190.0,1200.0,1167.0,1176.0,-3.13,840,995513.3
2023-02-09,1198.1,1215.0,1180.0,1214.0,-0.49,1188,1415262.6
2023-02-08,1227.0,1249.0,1180.0,1220.0,1.36,1726,2090686.6
2023-02-07,1131.4,1203.6,1131.4,1203.6,4.66,2031,2390177.4
2023-02-06,1119.0,1157.0,1119.0,1150.0,1.33,3035,3474064.5
2023-02-05,1154.1,1176.0,1134.9,1134.9,-3.49,1373,1578069.9
2023-02-02,1223.0,1223.0,1176.0,1176.0,-2.0,823,972072.6
2023-02-01,1201.0,1217.0,1193.0,1200.0,-1.4,1429,1720810.5
2023-01-31,1240.0,1240.0,1216.0,1217.0,-2.25,1562,1910254.6
2023-01-30,1255.7,1272.0,1235.0,1245.0,-2.51,3764,4686664.0
2023-01-29,1280.0,1300.0,1277.0,1277.0,-1.94,1002,1289732.1
2023-01-26,1300.0,1313.7,1287.3,1302.2,-0.37,1677,2186295.7
2023-01-25,1294.0,1319.0,1271.0,1307.0,0.93,2569,3343204.5
2023-01-24,1256.0,1294.9,1256.0,1294.9,1.15,983,1254017.2
2023-01-23,1249.3,1306.1,1249.3,1280.2,0.53,2444,3160112.8
2023-01-19,1286.0,1299.4,1260.3,1273.5,-2.78,4323,5512213.7
