date,open,high,low,ltp,percent_change,qty,turnover
2025-08-25,549.0,549.0,549.0,549.0,0.0,35536,19509264.0
2025-08-18,549.0,549.0,549.0,549.0,0.0,3635,1995615.0
2025-06-08,442.0,442.0,442.0,442.0,0.0,12000,5304000.0
2025-05-27,442.0,442.0,442.0,442.0,0.0,4204,1858168.0
2024-10-20,531.2,531.2,531.2,531.2,0.0,75585,24470643.75
2024-09-29,542.0,542.0,531.2,531.2,-1.99,13269,7068364.8
2024-08-15,542.0,542.0,542.0,542.0,0.0,106573,57762566.0
2024-06-27,542.0,542.0,542.0,542.0,0.0,64414,34912388.0
2023-11-02,323.75,323.75,323.75,323.75,0.0,312000,101010000.0
2023-11-01,0.0,0.0,0.0,0.0,0.0,217100,70286125.0
2023-02-22,685.0,685.0,685.0,685.0,0.0,8050,5514250.0
2023-02-20,685.0,685.0,685.0,685.0,0.0,5525,2185000.0
2023-02-06,685.0,685.0,685.0,685.0,0.0,58940,40373900.0
2022-12-12,685.0,685.0,685.0,685.0,0.0,150000,59350000.0
2022-07-05,685.0,685.0,685.0,685.0,-1.86,100000,68500000.0
2022-05-04,769.0,769.0,769.0,769.0,0.0,100,76900.0
