date,open,high,low,ltp,percent_change,qty,turnover
2017-03-16,249.0,258.0,250.0,258.0,0.0,2645,672380.0
2017-03-14,249.0,249.0,249.0,249.0,0.0,44,10956.0
2017-03-13,247.0,249.0,245.0,249.0,0.0,66,16346.0
2017-03-07,259.0,254.0,247.0,247.0,0.0,398,99442.0
2017-03-06,265.0,269.0,254.0,259.0,0.0,985,256965.0
2017-03-05,261.0,272.0,265.0,265.0,0.0,1198,319710.0
2017-03-02,255.0,261.0,255.0,261.0,0.0,148,38472.0
2017-03-01,260.0,255.0,250.0,255.0,0.0,162,41150.0
2017-02-28,265.0,260.0,260.0,260.0,0.0,150,39000.0
2017-02-26,265.0,265.0,260.0,265.0,0.0,143,37658.0
2017-02-23,261.0,266.0,258.0,265.0,0.0,1766,461324.0
2017-02-22,260.0,270.0,250.0,261.0,0.0,1289,335486.0
2017-02-21,260.0,265.0,260.0,260.0,0.0,1560,407157.0
2017-02-20,270.0,278.0,260.0,260.0,0.0,3693,998785.0
2017-02-19,254.0,270.0,252.0,270.0,0.0,1919,505505.0
2017-02-16,246.0,260.0,250.0,254.0,0.0,1740,442300.0
2017-02-15,230.0,246.0,234.0,246.0,0.0,1565,371230.0
2017-02-14,238.0,239.0,230.0,230.0,0.0,1060,251720.0
2017-02-13,233.0,240.0,216.0,238.0,0.0,933,213752.0
2017-02-12,258.0,253.0,233.0,233.0,0.0,3765,903691.0
2017-02-09,258.0,263.0,258.0,258.0,0.0,463,119976.0
2017-02-08,265.0,265.0,257.0,258.0,0.0,1428,373010.0
2017-02-07,275.0,270.0,256.0,265.0,0.0,782,205092.0
2017-02-06,290.0,285.0,275.0,275.0,0.0,650,180750.0
2017-02-02,292.0,294.0,290.0,290.0,0.0,118,34292.0
2017-02-01,278.0,292.0,277.0,292.0,0.0,1217,341962.0
2017-01-31,283.0,278.0,278.0,278.0,0.0,58,16124.0
2017-01-26,285.0,288.0,283.0,283.0,0.0,671,192464.0
2017-01-25,288.0,293.0,285.0,285.0,0.0,80,23210.0
2017-01-24,292.0,297.0,283.0,288.0,0.0,579,166121.0
2017-01-23,296.0,300.0,292.0,292.0,0.0,545,161880.0
