date,open,high,low,ltp,percent_change,qty,turnover
2019-10-22,529.0,529.0,529.0,529.0,0.0,10,5290.0
2019-06-04,530.0,530.0,524.0,529.0,-0.94,135,71115.0
2019-06-03,526.0,534.0,507.0,534.0,-0.37,920,476440.0
2019-06-02,530.0,536.0,530.0,536.0,-0.74,110,58770.0
2019-05-30,561.0,561.0,536.0,540.0,-1.82,1040,561682.0
2019-05-29,551.0,561.0,539.0,550.0,0.0,425,235305.0
2019-05-28,530.0,550.0,528.0,550.0,2.04,250,133380.0
2019-05-27,535.0,550.0,530.0,539.0,-1.1,440,236845.0
2019-05-26,572.0,572.0,545.0,545.0,-3.02,110,61470.0
2019-05-23,557.0,562.0,546.0,562.0,1.08,710,394610.0
2019-05-22,555.0,556.0,555.0,556.0,-1.24,70,38910.0
2019-05-21,560.0,563.0,552.0,563.0,0.54,150,83130.0
2019-05-20,550.0,564.0,548.0,560.0,0.18,385,214180.0
2019-05-19,571.0,580.0,555.0,559.0,-0.18,385,217710.0
2019-05-16,559.0,560.0,555.0,560.0,-1.75,230,128270.0
2019-05-15,555.0,575.0,555.0,570.0,0.71,310,175760.0
2019-05-14,585.0,585.0,566.0,566.0,-1.57,80,45856.0
2019-05-13,565.0,576.0,560.0,575.0,0.0,220,123980.0
2019-05-12,567.0,578.0,567.0,575.0,1.41,450,258480.0
2019-05-09,580.0,591.0,567.0,567.0,-1.22,895,517510.0
2019-05-08,576.0,590.0,573.0,574.0,1.59,1395,813580.0
2019-05-07,572.0,575.0,561.0,565.0,-0.88,610,346210.0
2019-05-06,573.0,573.0,551.0,570.0,-2.4,140,78590.0
2019-05-05,583.0,585.0,583.0,584.0,-1.02,210,122650.0
2019-05-02,580.0,591.0,580.0,590.0,0.0,173,101610.0
2019-04-30,595.0,596.0,588.0,590.0,-1.17,865,510590.0
2019-04-29,589.0,597.0,585.0,597.0,0.84,465,273345.0
2019-04-28,555.0,592.0,555.0,592.0,5.71,520,293770.0
2019-04-25,560.0,562.0,550.0,560.0,-1.75,470,261960.0
2019-04-24,590.0,590.0,561.0,570.0,-4.68,1030,589290.0
2019-04-23,598.0,609.0,598.0,598.0,-1.97,1355,816670.0
2019-04-22,620.0,628.0,602.0,610.0,-2.4,1660,1022720.0
2019-04-21,619.0,625.0,612.0,625.0,-0.79,660,410200.0
2019-04-18,623.0,630.0,623.0,630.0,-0.47,170,106670.0
2019-04-17,648.0,650.0,630.0,633.0,-0.78,320,206590.0
2019-04-16,642.0,642.0,637.0,638.0,-1.69,190,121590.0
2019-04-15,631.0,649.0,630.0,649.0,2.04,335,215455.0
2019-04-11,630.0,636.0,628.0,636.0,0.95,210,132480.0
2019-04-10,627.0,647.0,627.0,630.0,-0.79,873,554709.0
2019-04-09,630.0,642.0,627.0,635.0,0.32,100,63500.0
2019-04-08,647.0,652.0,623.0,633.0,-0.31,210,135080.0
2019-04-07,629.0,636.0,629.0,635.0,-0.78,120,75970.0
2019-04-04,650.0,650.0,640.0,640.0,-1.54,130,83410.0
2019-04-03,665.0,665.0,650.0,650.0,-1.52,200,130390.0
2019-04-02,665.0,678.0,660.0,660.0,0.0,398,263830.0
2019-04-01,643.0,660.0,643.0,660.0,0.76,110,71310.0
2019-03-31,656.0,658.0,655.0,655.0,0.92,580,380340.0
2019-03-28,624.0,660.0,624.0,649.0,2.04,630,409400.0
2019-03-27,630.0,650.0,625.0,636.0,1.44,1045,660485.0
2019-03-26,640.0,640.0,618.0,627.0,-2.18,130,81320.0
2019-03-25,621.0,641.0,621.0,641.0,3.22,730,463200.0
2019-03-24,639.0,640.0,621.0,621.0,-4.75,90,57140.0
2019-03-21,657.0,660.0,640.0,652.0,-1.21,170,110490.0
2019-03-19,660.0,662.0,660.0,660.0,0.0,130,85820.0
2019-03-18,642.0,660.0,642.0,660.0,3.13,200,131240.0
2019-03-17,635.0,640.0,635.0,640.0,1.11,70,44580.0
2019-03-14,622.0,640.0,621.0,633.0,0.32,170,107410.0
2019-03-13,647.0,654.0,631.0,631.0,-4.39,475,305380.0
2019-03-12,641.0,673.0,639.0,660.0,1.54,200,131660.0
2019-03-11,655.0,659.0,643.0,650.0,-1.37,225,146885.0
2019-03-07,660.0,660.0,648.0,659.0,0.61,175,114605.0
2019-03-06,661.0,673.0,655.0,655.0,-0.91,140,92780.0
2019-03-05,650.0,670.0,650.0,661.0,0.61,670,446270.0
2019-03-03,659.0,660.0,647.0,657.0,-2.23,130,85090.0
2019-02-27,680.0,685.0,670.0,672.0,-1.18,130,87690.0
2019-02-26,675.0,689.0,668.0,680.0,0.59,120,81150.0
2019-02-25,674.0,686.0,674.0,676.0,-1.31,80,54600.0
2019-02-24,706.0,706.0,681.0,685.0,-1.15,300,205630.0
2019-02-21,678.0,693.0,678.0,693.0,0.43,200,137080.0
2019-02-20,691.0,691.0,690.0,690.0,-1.85,70,48330.0
2019-02-19,692.0,703.0,676.0,703.0,1.59,360,247930.0
2019-02-18,686.0,692.0,683.0,692.0,-0.43,130,89280.0
2019-02-17,700.0,700.0,682.0,695.0,0.43,130,89910.0
2019-02-14,686.0,695.0,686.0,692.0,-1.14,210,144690.0
2019-02-13,708.0,710.0,696.0,700.0,-1.41,855,602405.0
2019-02-12,710.0,724.0,703.0,710.0,0.0,130,92250.0
2019-02-11,691.0,710.0,691.0,710.0,1.0,100,70190.0
2019-02-10,696.0,716.0,696.0,703.0,-0.99,170,119880.0
2019-02-07,710.0,719.0,709.0,710.0,-1.8,210,149370.0
2019-02-06,734.0,737.0,720.0,723.0,0.42,690,504070.0
2019-02-05,710.0,720.0,710.0,720.0,0.28,170,121930.0
2019-02-04,715.0,720.0,715.0,718.0,-1.37,130,93270.0
2019-02-03,737.0,750.0,725.0,728.0,-3.06,400,294450.0
2019-01-31,709.0,751.0,709.0,751.0,4.16,720,528930.0
2019-01-30,728.0,728.0,715.0,721.0,-0.96,110,79280.0
2019-01-29,725.0,740.0,725.0,728.0,-1.49,440,321040.0
2019-01-28,711.0,742.0,711.0,739.0,3.94,330,239850.0
