date,open,high,low,ltp,percent_change,qty,turnover
2016-10-16,376.0,370.0,370.0,370.0,0.0,248,91760.0
2016-10-06,462.0,475.0,460.0,475.0,0.0,20171,9435171.0
2016-10-05,462.0,462.0,455.0,462.0,0.0,7200,3311541.0
2016-10-04,450.0,462.0,451.0,462.0,0.0,7874,3600461.0
2016-10-03,451.0,459.0,442.0,450.0,0.0,5472,2458911.0
2016-10-02,456.0,459.0,439.0,451.0,0.0,4296,1939142.0
2016-09-29,430.0,460.0,430.0,456.0,0.0,18962,8433901.0
2016-09-28,442.0,445.0,430.0,430.0,0.0,4270,1871192.0
2016-09-27,435.0,442.0,427.0,442.0,0.0,4070,1767867.0
2016-09-26,413.0,435.0,413.0,435.0,0.0,7077,3027380.0
2016-09-25,446.0,445.0,413.0,413.0,0.0,4557,1934683.0
2016-09-22,439.0,446.0,438.0,446.0,0.0,2140,944045.0
2016-09-21,450.0,450.0,430.0,439.0,0.0,2409,1058825.0
2016-09-20,453.0,469.0,442.0,450.0,0.0,3017,1352003.0
2016-09-18,460.0,460.0,443.0,453.0,0.0,247,110899.0
2016-09-14,458.0,476.0,460.0,460.0,0.0,2923,1356634.0
2016-09-12,457.0,465.0,452.0,458.0,0.0,2170,988486.0
2016-09-11,465.0,474.0,451.0,457.0,0.0,1076,490492.0
2016-09-08,462.0,469.0,459.0,465.0,0.0,4623,2135796.0
2016-09-07,460.0,469.0,455.0,462.0,0.0,3955,1822412.0
2016-09-06,460.0,469.0,446.0,460.0,0.0,19317,8906199.0
2016-09-05,456.0,460.0,446.0,460.0,0.0,7777,3533909.0
2016-09-04,472.0,480.0,448.0,456.0,0.0,9371,4294306.0
2016-09-03,472.0,480.0,448.0,456.0,0.0,9371,4294306.0
2016-09-01,435.0,477.0,436.0,472.0,0.0,34743,15889410.0
2016-08-31,435.0,435.0,430.0,435.0,0.0,2837,1227057.0
2016-08-30,435.0,443.0,430.0,435.0,0.0,6776,2955822.0
2016-08-29,428.0,435.0,419.0,435.0,0.0,2346,996258.0
2016-08-28,432.0,430.0,414.0,428.0,0.0,354,149942.0
2016-08-24,418.0,432.0,418.0,432.0,0.0,152,64776.0
2016-08-23,414.0,426.0,402.0,418.0,0.0,2349,968181.0
