date,open,high,low,ltp,percent_change,qty,turnover
2013-10-07,94.0,93.0,91.0,91.0,0.0,365,33562.0
2013-10-06,86.0,94.0,87.0,94.0,0.0,5816,536267.0
2013-10-03,79.0,86.0,80.0,86.0,0.0,800,66359.0
2013-10-02,78.0,80.0,77.0,79.0,0.0,8849,689896.0
2013-10-01,77.0,78.0,76.0,78.0,0.0,110,8437.0
2013-09-30,78.0,77.0,76.0,77.0,0.0,835,64240.0
2013-09-29,77.0,79.0,76.0,78.0,0.0,990,76837.0
2013-09-26,78.0,78.0,77.0,77.0,0.0,414,31911.0
2013-09-25,77.0,78.0,76.0,78.0,0.0,691,53271.0
2013-09-24,77.0,78.0,77.0,77.0,0.0,55,4257.0
2013-09-23,79.0,80.0,77.0,77.0,0.0,276,21764.0
2013-09-22,82.0,81.0,78.0,79.0,0.0,2151,170151.0
2013-09-19,77.0,82.0,77.0,82.0,0.0,2930,234225.0
2013-09-17,77.0,77.0,75.0,77.0,0.0,4630,352822.0
2013-09-16,78.0,77.0,77.0,77.0,0.0,32,2464.0
2013-09-15,79.0,81.0,78.0,78.0,0.0,1683,134166.0
2013-09-12,84.0,83.0,76.0,79.0,0.0,851,66117.0
2013-09-11,93.0,92.0,84.0,84.0,0.0,441,38599.0
2013-09-10,95.0,94.0,93.0,93.0,0.0,22,2057.0
2013-09-08,97.0,96.0,95.0,95.0,0.0,184,17653.0
2013-09-03,98.0,97.0,97.0,97.0,0.0,139,13483.0
2013-08-26,98.0,98.0,97.0,98.0,0.0,100,9780.0
2013-08-25,98.0,98.0,98.0,98.0,0.0,35,3430.0
2013-08-20,100.0,102.0,98.0,98.0,0.0,2209,220060.0
2013-08-19,92.0,101.0,92.0,100.0,0.0,3401,333392.0
2013-08-18,89.0,93.0,90.0,92.0,0.0,2342,214825.0
2013-08-15,91.0,92.0,89.0,89.0,0.0,2546,229657.0
2013-08-14,91.0,92.0,89.0,91.0,0.0,1756,157633.0
2013-08-13,92.0,92.0,90.0,91.0,0.0,1546,139950.0
2013-08-12,90.0,92.0,90.0,92.0,0.0,4757,432268.0
2013-08-11,86.0,91.0,87.0,90.0,0.0,5556,498451.0
2013-08-08,81.0,88.0,80.0,86.0,0.0,4098,343551.0
2013-08-07,80.0,82.0,80.0,81.0,0.0,624,50466.0
2013-08-06,83.0,82.0,80.0,80.0,0.0,273,22131.0
2013-08-05,78.0,83.0,78.0,83.0,0.0,1913,152333.0
2013-08-04,79.0,79.0,77.0,78.0,0.0,741,57493.0
2013-08-01,82.0,81.0,79.0,79.0,0.0,300,24070.0
2013-07-31,83.0,83.0,81.0,82.0,0.0,128,10500.0
2013-07-30,84.0,83.0,81.0,83.0,0.0,961,78840.0
2013-07-29,85.0,84.0,84.0,84.0,0.0,132,11088.0
2013-07-28,87.0,87.0,85.0,85.0,0.0,878,75312.0
2013-07-25,86.0,88.0,85.0,87.0,0.0,2721,234953.0
2013-07-24,87.0,86.0,86.0,86.0,0.0,46,3956.0
2013-07-23,86.0,87.0,84.0,87.0,0.0,748,63395.0
2013-07-22,88.0,87.0,86.0,86.0,0.0,136,11740.0
2013-07-21,87.0,88.0,88.0,88.0,0.0,100,8800.0
2013-07-18,85.0,87.0,85.0,87.0,0.0,1386,119689.0
2013-07-17,82.0,85.0,83.0,85.0,0.0,1069,90366.0
2013-07-16,88.0,87.0,82.0,82.0,0.0,1681,140326.0
2013-07-15,88.0,88.0,87.0,88.0,0.0,805,70210.0
2013-07-14,90.0,89.0,88.0,88.0,0.0,79,7020.0
2013-07-11,90.0,92.0,90.0,90.0,0.0,1445,131275.0
2013-07-10,85.0,90.0,84.0,90.0,0.0,1593,141585.0
2013-07-09,78.0,85.0,79.0,85.0,0.0,1431,120665.0
2013-07-08,78.0,79.0,78.0,78.0,0.0,714,55970.0
2013-07-07,77.0,79.0,78.0,78.0,0.0,289,22647.0
2013-07-04,76.0,77.0,76.0,77.0,0.0,1945,149380.0
2013-07-03,77.0,78.0,76.0,76.0,0.0,631,48596.0
2013-07-02,77.0,79.0,77.0,77.0,0.0,1155,91054.0
2013-07-01,75.0,78.0,76.0,77.0,0.0,2122,163110.0
2013-06-30,75.0,75.0,73.0,75.0,0.0,912,67943.0
2013-06-27,73.0,75.0,73.0,75.0,0.0,543,40138.0
2013-06-26,72.0,74.0,73.0,73.0,0.0,783,57385.0
2013-06-25,72.0,73.0,71.0,72.0,0.0,908,65445.0
2013-06-24,73.0,73.0,71.0,72.0,0.0,3107,223214.0
2013-06-23,72.0,73.0,71.0,73.0,0.0,6550,473255.0
2013-06-20,77.0,76.0,72.0,72.0,0.0,3754,274878.0
2013-06-19,76.0,77.0,76.0,77.0,0.0,319,24379.0
2013-06-18,77.0,78.0,76.0,76.0,0.0,1342,102834.0
2013-06-17,80.0,79.0,77.0,77.0,0.0,88,6866.0
2013-06-13,80.0,80.0,80.0,80.0,0.0,263,21040.0
2013-06-12,81.0,81.0,78.0,80.0,0.0,481,38300.0
2013-06-11,78.0,81.0,79.0,81.0,0.0,1341,107586.0
2013-06-10,80.0,79.0,77.0,78.0,0.0,357,28113.0
2013-06-09,83.0,83.0,80.0,80.0,0.0,2348,192305.0
2013-06-06,78.0,84.0,79.0,83.0,0.0,8366,666646.0
2013-06-05,75.0,78.0,75.0,78.0,0.0,910,69968.0
2013-06-04,77.0,76.0,75.0,75.0,0.0,1721,129086.0
2013-06-03,75.0,77.0,74.0,77.0,0.0,462,35052.0
2013-06-02,79.0,78.0,74.0,75.0,0.0,185,13961.0
2013-05-30,80.0,80.0,78.0,79.0,0.0,1995,158290.0
2013-05-28,80.0,81.0,78.0,80.0,0.0,1042,83434.0
2013-05-27,73.0,80.0,72.0,80.0,0.0,2343,177053.0
2013-05-26,74.0,74.0,72.0,73.0,0.0,960,70007.0
2013-05-23,76.0,77.0,74.0,74.0,0.0,1689,126576.0
2013-05-22,70.0,76.0,70.0,76.0,0.0,3275,230914.0
2013-05-21,74.0,73.0,69.0,70.0,0.0,1204,84198.0
2013-05-20,73.0,74.0,71.0,74.0,0.0,1295,93751.0
2013-05-19,69.0,73.0,70.0,73.0,0.0,2492,180155.0
2013-05-16,68.0,69.0,68.0,69.0,0.0,506,34664.0
2013-05-15,68.0,70.0,67.0,68.0,0.0,504,34436.0
2013-05-14,64.0,69.0,64.0,68.0,0.0,1391,91994.0
2013-05-13,63.0,65.0,63.0,64.0,0.0,516,33166.0
2013-05-12,65.0,64.0,63.0,63.0,0.0,852,53868.0
2013-05-09,66.0,65.0,63.0,65.0,0.0,1775,114294.0
2013-05-08,66.0,68.0,65.0,66.0,0.0,4104,272293.0
2013-05-07,73.0,72.0,66.0,66.0,0.0,10472,701179.0
