date,open,high,low,ltp,percent_change,qty,turnover
2014-09-29,370.0,378.0,364.0,378.0,0.0,3404,1257606.0
2014-09-28,369.0,375.0,370.0,370.0,0.0,3193,1192430.0
2014-09-24,376.0,369.0,369.0,369.0,0.0,456,168264.0
2014-09-22,369.0,376.0,369.0,376.0,0.0,2461,920387.0
2014-09-21,376.0,376.0,369.0,369.0,0.0,484,180675.0
2014-09-18,390.0,383.0,376.0,376.0,0.0,10319,3951904.0
2014-09-17,397.0,390.0,390.0,390.0,0.0,1035,403650.0
2014-09-16,390.0,397.0,390.0,397.0,0.0,2147,844239.0
2014-09-14,393.0,390.0,390.0,390.0,0.0,200,78000.0
2014-09-10,409.0,401.0,393.0,393.0,0.0,497,197849.0
2014-09-09,409.0,409.0,409.0,409.0,0.0,987,403683.0
2014-09-04,410.0,409.0,402.0,409.0,0.0,794,320854.0
2014-08-31,418.0,418.0,410.0,410.0,0.0,1512,628199.0
2014-08-28,430.0,422.0,418.0,418.0,0.0,1643,689766.0
2014-08-27,440.0,440.0,424.0,430.0,0.0,3531,1521348.0
2014-08-26,447.0,440.0,440.0,440.0,0.0,261,114840.0
2014-08-25,447.0,447.0,441.0,447.0,0.0,358,158226.0
2014-08-24,449.0,447.0,446.0,447.0,0.0,462,206401.0
2014-08-21,442.0,449.0,448.0,449.0,0.0,2678,1201416.0
2014-08-20,443.0,447.0,435.0,442.0,0.0,3952,1735410.0
2014-08-19,437.0,445.0,434.0,443.0,0.0,4855,2124088.0
2014-08-18,421.0,437.0,429.0,437.0,0.0,4158,1803240.0
2014-08-14,434.0,434.0,418.0,421.0,0.0,3798,1614972.0
2014-08-13,442.0,434.0,434.0,434.0,0.0,33,14322.0
2014-08-12,455.0,450.0,442.0,442.0,0.0,1120,502400.0
2014-08-05,450.0,455.0,455.0,455.0,0.0,10,4550.0
2014-08-03,445.0,453.0,450.0,450.0,0.0,1098,496050.0
2014-07-31,443.0,451.0,445.0,445.0,0.0,523,235123.0
2014-07-30,435.0,450.0,443.0,443.0,0.0,1100,490913.0
