date,open,high,low,ltp,percent_change,qty,turnover
2012-05-09,145.0,147.0,147.0,147.0,0.0,388,57036.0
2012-04-30,139.0,145.0,141.0,145.0,0.0,281,40183.0
2012-04-29,137.0,139.0,139.0,139.0,0.0,8856,1230984.0
2012-04-26,135.0,137.0,137.0,137.0,0.0,11258,1542346.0
2012-04-25,133.0,135.0,135.0,135.0,0.0,6446,870210.0
2012-04-22,131.0,135.0,133.0,133.0,0.0,17735,2360267.0
2012-04-19,129.0,131.0,129.0,131.0,0.0,19738,2566398.0
2012-04-18,125.0,129.0,127.0,129.0,0.0,13706,1749800.0
2012-03-27,138.0,136.0,125.0,125.0,0.0,20390,2555438.0
2012-03-26,0.0,152.0,138.0,138.0,0.0,20196,2795608.0
