date,open,high,low,ltp,percent_change,qty,turnover
2014-09-01,110.0,110.0,110.0,110.0,0.0,26911,2960210.0
2014-03-26,110.0,110.0,110.0,110.0,0.0,8333,916630.0
2013-09-08,110.0,110.0,110.0,110.0,0.0,13632,1499520.0
2013-08-04,100.0,110.0,110.0,110.0,0.0,7590,834900.0
2013-02-10,110.0,110.0,110.0,110.0,0.0,1942,213620.0
2013-02-06,110.0,110.0,110.0,110.0,0.0,3520,387200.0
2013-01-28,120.0,110.0,110.0,110.0,0.0,16152,1776720.0
2012-03-29,122.0,120.0,120.0,120.0,0.0,19709,2365080.0
2012-01-22,122.0,122.0,122.0,122.0,0.0,1000,122000.0
2011-12-18,122.0,122.0,122.0,122.0,0.0,5000,610000.0
2011-12-05,124.0,122.0,122.0,122.0,0.0,3508,427976.0
2011-09-26,126.0,126.0,126.0,126.0,0.0,2500,315000.0
2011-08-01,126.0,126.0,126.0,126.0,0.0,3912,492912.0
2011-07-24,125.0,126.0,126.0,126.0,0.0,7000,882000.0
