date,open,high,low,ltp,percent_change,qty,turnover
2011-09-29,122.0,126.0,124.0,126.0,0.0,145,18180.0
2011-09-18,126.0,124.0,122.0,122.0,0.0,667,81394.0
2011-09-15,132.0,130.0,126.0,126.0,0.0,252,32252.0
2011-09-14,146.0,144.0,132.0,132.0,0.0,1741,239028.0
2011-09-12,142.0,146.0,144.0,146.0,0.0,100,14440.0
2011-08-25,138.0,142.0,140.0,142.0,0.0,30,4220.0
2011-08-24,134.0,138.0,136.0,138.0,0.0,32,4372.0
2011-08-23,130.0,134.0,132.0,134.0,0.0,47,6224.0
2011-08-22,120.0,130.0,120.0,130.0,0.0,473,58104.0
2011-08-18,114.0,120.0,116.0,120.0,0.0,1558,184320.0
2011-08-17,110.0,114.0,108.0,114.0,0.0,17652,1911611.0
2011-08-16,122.0,124.0,110.0,110.0,0.0,1625,188118.0
2011-08-15,129.0,127.0,122.0,122.0,0.0,1316,164202.0
2011-08-11,137.0,135.0,129.0,129.0,0.0,360,47560.0
2011-08-09,141.0,139.0,137.0,137.0,0.0,100,13800.0
2011-07-12,143.0,141.0,141.0,141.0,0.0,200,28200.0
2011-07-07,145.0,143.0,143.0,143.0,0.0,50,7150.0
2011-06-27,147.0,145.0,145.0,145.0,0.0,100,14500.0
2011-06-26,150.0,147.0,147.0,147.0,0.0,194,28518.0
2011-06-20,149.0,150.0,150.0,150.0,0.0,515,77250.0
2011-06-19,149.0,150.0,150.0,150.0,0.0,515,77250.0
2011-06-14,146.0,149.0,149.0,149.0,0.0,30,4470.0
2011-06-13,142.0,146.0,146.0,146.0,0.0,30,4380.0
2011-06-09,143.0,142.0,137.0,142.0,0.0,127,17748.0
2011-06-08,145.0,143.0,143.0,143.0,0.0,220,31460.0
2011-06-07,143.0,145.0,145.0,145.0,0.0,20,2900.0
2011-06-06,141.0,143.0,139.0,143.0,0.0,65,9165.0
2011-06-02,141.0,141.0,139.0,141.0,0.0,268,37388.0
2011-06-01,143.0,141.0,141.0,141.0,0.0,100,14100.0
2011-05-30,149.0,147.0,143.0,143.0,0.0,284,41308.0
2011-05-12,147.0,149.0,149.0,149.0,0.0,13,1937.0
2011-05-10,152.0,149.0,147.0,147.0,0.0,1653,243011.0
2011-05-08,145.0,152.0,152.0,152.0,0.0,20,3040.0
2011-05-04,156.0,149.0,145.0,145.0,0.0,10840,1589160.0
2011-04-27,156.0,156.0,156.0,156.0,0.0,690,107640.0
2011-04-19,153.0,156.0,156.0,156.0,0.0,10,1560.0
2011-04-13,140.0,153.0,142.0,153.0,0.0,105,15300.0
2011-04-11,130.0,140.0,132.0,140.0,0.0,140,19000.0
2011-04-07,140.0,138.0,130.0,130.0,0.0,450,60100.0
2011-04-06,148.0,146.0,140.0,140.0,0.0,459,65436.0
2011-04-05,150.0,148.0,148.0,148.0,0.0,460,68080.0
2011-04-04,162.0,159.0,150.0,150.0,0.0,346,53481.0
