date,open,high,low,ltp,percent_change,qty,turnover
2016-04-06,168.0,167.0,165.0,165.0,0.0,1271,209915.0
2016-04-04,166.0,168.0,163.0,168.0,0.0,156,25624.0
2016-04-03,166.0,166.0,163.0,166.0,0.0,252,41328.0
2016-03-31,170.0,169.0,164.0,166.0,0.0,993,164905.0
2016-03-30,170.0,170.0,167.0,170.0,0.0,485,82255.0
2016-03-29,170.0,170.0,169.0,170.0,0.0,5356,907520.0
2016-03-28,172.0,170.0,170.0,170.0,0.0,1000,170000.0
2016-03-27,178.0,175.0,172.0,172.0,0.0,550,95820.0
2016-03-24,180.0,189.0,178.0,178.0,0.0,5062,911664.0
2016-03-23,167.0,183.0,165.0,180.0,0.0,4308,749893.0
2016-03-21,177.0,181.0,167.0,167.0,0.0,2907,508203.0
2016-03-20,180.0,180.0,174.0,177.0,0.0,501,88839.0
2016-03-17,182.0,180.0,179.0,180.0,0.0,333,59747.0
2016-03-16,188.0,188.0,182.0,182.0,0.0,60,11100.0
2016-03-15,176.0,191.0,179.0,188.0,0.0,4338,814161.0
2016-03-14,160.0,176.0,160.0,176.0,0.0,5659,971424.0
2016-03-13,165.0,166.0,160.0,160.0,0.0,800,129200.0
2016-03-10,159.0,174.0,162.0,165.0,0.0,1656,284616.0
2016-03-06,153.0,159.0,150.0,159.0,0.0,516,78467.0
2016-03-03,155.0,155.0,150.0,153.0,0.0,401,61088.0
2016-03-02,168.0,165.0,153.0,155.0,0.0,3003,473909.0
2016-02-28,169.0,168.0,168.0,168.0,0.0,510,85680.0
2016-02-22,169.0,169.0,169.0,169.0,0.0,50,8450.0
2016-02-21,172.0,178.0,175.0,178.0,0.0,110,19550.0
2016-02-18,157.0,172.0,157.0,172.0,0.0,800,127580.0
2016-02-17,153.0,159.0,156.0,157.0,0.0,140,21970.0
2016-02-16,154.0,153.0,153.0,153.0,0.0,500,76500.0
2016-02-15,163.0,160.0,154.0,154.0,0.0,128,20162.0
2016-02-14,160.0,169.0,163.0,163.0,0.0,1601,263458.0
2016-02-11,146.0,160.0,148.0,160.0,0.0,60,9260.0
2016-02-08,140.0,146.0,142.0,146.0,0.0,30,4320.0
2016-02-07,138.0,140.0,140.0,140.0,0.0,21,2940.0
2016-01-14,133.0,138.0,128.0,138.0,0.0,2980,396543.0
2016-01-13,128.0,135.0,126.0,133.0,0.0,1235,163563.0
2016-01-12,127.0,130.0,123.0,128.0,0.0,3889,496501.0
2016-01-11,126.0,127.0,121.0,127.0,0.0,3289,409064.0
2016-01-10,132.0,132.0,126.0,126.0,0.0,762,97038.0
2016-01-07,130.0,134.0,128.0,132.0,0.0,532,69804.0
2016-01-06,131.0,131.0,130.0,130.0,0.0,2086,271287.0
2016-01-05,133.0,131.0,129.0,131.0,0.0,306,39876.0
2016-01-04,140.0,140.0,133.0,133.0,0.0,1321,177546.0
2016-01-03,129.0,140.0,127.0,140.0,0.0,1468,195498.0
2015-12-31,126.0,131.0,126.0,129.0,0.0,252,32046.0
2015-12-29,127.0,127.0,126.0,126.0,0.0,238,30156.0
2015-12-28,127.0,128.0,125.0,127.0,0.0,1512,190414.0
2015-12-27,129.0,128.0,126.0,127.0,0.0,364,46200.0
2015-12-24,133.0,131.0,129.0,129.0,0.0,196,25634.0
2015-12-23,134.0,133.0,132.0,133.0,0.0,168,22316.0
2015-12-21,132.0,134.0,134.0,134.0,0.0,101,13534.0
2015-12-20,132.0,136.0,132.0,132.0,0.0,756,101080.0
2015-12-17,128.0,132.0,126.0,132.0,0.0,588,76496.0
2015-12-16,122.0,128.0,124.0,128.0,0.0,700,88480.0
2015-12-15,125.0,125.0,122.0,122.0,0.0,182,22302.0
2015-12-14,127.0,125.0,125.0,125.0,0.0,280,35000.0
2015-12-13,129.0,129.0,127.0,127.0,0.0,129,16551.0
2015-12-10,127.0,129.0,125.0,129.0,0.0,140,17976.0
2015-12-08,129.0,129.0,127.0,127.0,0.0,468,59532.0
2015-12-07,123.0,129.0,121.0,129.0,0.0,1096,136548.0
2015-12-02,125.0,123.0,123.0,123.0,0.0,92,11316.0
2015-11-30,123.0,125.0,125.0,125.0,0.0,560,70000.0
2015-11-29,126.0,125.0,123.0,123.0,0.0,1121,138658.0
2015-11-25,120.0,126.0,121.0,126.0,0.0,766,93948.0
2015-11-24,126.0,124.0,120.0,120.0,0.0,232,28120.0
2015-11-19,124.0,126.0,126.0,126.0,0.0,280,35280.0
2015-11-18,125.0,127.0,122.0,124.0,0.0,550,68146.0
2015-11-16,123.0,125.0,125.0,125.0,0.0,182,22750.0
2015-11-15,126.0,125.0,123.0,123.0,0.0,5451,678789.0
2015-11-08,128.0,128.0,126.0,126.0,0.0,516,65706.0
2015-11-05,130.0,130.0,128.0,128.0,0.0,1196,154096.0
2015-10-15,135.0,135.0,129.0,130.0,0.0,1949,254081.0
2015-10-14,133.0,135.0,135.0,135.0,0.0,28,3780.0
2015-10-11,134.0,133.0,132.0,133.0,0.0,70,9254.0
2015-10-08,131.0,134.0,130.0,134.0,0.0,194,25664.0
2015-10-07,131.0,133.0,129.0,131.0,0.0,2992,392116.0
2015-10-06,128.0,136.0,126.0,131.0,0.0,1649,217397.0
2015-10-05,130.0,129.0,128.0,128.0,0.0,246,31594.0
2015-10-04,128.0,130.0,126.0,130.0,0.0,1140,146240.0
2015-09-30,128.0,128.0,126.0,128.0,0.0,168,21392.0
2015-09-29,130.0,128.0,127.0,128.0,0.0,172,21909.0
2015-09-24,131.0,130.0,130.0,130.0,0.0,199,25870.0
2015-09-23,131.0,131.0,131.0,131.0,0.0,616,80696.0
2015-09-22,134.0,133.0,131.0,131.0,0.0,138,18180.0
2015-09-17,131.0,134.0,133.0,134.0,0.0,350,46620.0
2015-09-16,130.0,132.0,130.0,131.0,0.0,1783,235258.0
2015-09-15,130.0,130.0,128.0,130.0,0.0,476,61040.0
2015-09-14,135.0,141.0,130.0,130.0,0.0,5300,726381.0
2015-09-13,136.0,135.0,133.0,135.0,0.0,443,59124.0
2015-09-10,132.0,138.0,133.0,136.0,0.0,698,95257.0
2015-09-09,132.0,132.0,130.0,132.0,0.0,401,52192.0
2015-09-08,130.0,132.0,126.0,132.0,0.0,4193,548303.0
2015-09-07,128.0,132.0,128.0,130.0,0.0,1054,136775.0
2015-09-06,126.0,132.0,128.0,128.0,0.0,1429,186364.0
2015-09-03,128.0,128.0,126.0,126.0,0.0,188,23862.0
2015-09-02,126.0,129.0,126.0,128.0,0.0,857,108478.0
2015-09-01,125.0,127.0,125.0,126.0,0.0,2372,298186.0
2015-08-31,129.0,127.0,123.0,125.0,0.0,605,75603.0
2015-08-27,130.0,130.0,128.0,129.0,0.0,2875,371631.0
2015-08-26,122.0,132.0,122.0,130.0,0.0,2810,350066.0
2015-08-25,126.0,126.0,120.0,122.0,0.0,1335,163664.0
2015-08-24,124.0,126.0,126.0,126.0,0.0,140,17640.0
2015-08-23,126.0,124.0,124.0,124.0,0.0,28,3472.0
2015-08-20,124.0,126.0,124.0,126.0,0.0,432,54199.0
2015-08-19,120.0,126.0,122.0,124.0,0.0,87,10788.0
2015-08-18,120.0,122.0,120.0,120.0,0.0,1679,202040.0
2015-08-16,125.0,123.0,120.0,120.0,0.0,1302,157100.0
2015-08-13,130.0,128.0,124.0,125.0,0.0,972,123174.0
2015-08-12,132.0,132.0,130.0,130.0,0.0,84,10982.0
2015-08-10,135.0,134.0,130.0,132.0,0.0,784,102243.0
2015-08-09,134.0,135.0,130.0,135.0,0.0,191,25355.0
2015-08-06,135.0,136.0,134.0,134.0,0.0,1939,261989.0
2015-08-05,137.0,135.0,135.0,135.0,0.0,2609,352215.0
2015-08-04,137.0,139.0,131.0,137.0,0.0,5565,746525.0
2015-08-03,141.0,140.0,137.0,137.0,0.0,345,47834.0
2015-08-02,133.0,141.0,135.0,141.0,0.0,171,23645.0
2015-07-30,138.0,137.0,132.0,133.0,0.0,966,129327.0
2015-07-29,142.0,140.0,134.0,138.0,0.0,1750,236956.0
2015-07-28,148.0,147.0,142.0,142.0,0.0,871,124789.0
2015-07-27,150.0,153.0,148.0,148.0,0.0,926,138745.0
2015-07-26,144.0,150.0,146.0,150.0,0.0,160,23518.0
2015-07-23,142.0,144.0,134.0,144.0,0.0,1016,141920.0
2015-07-22,132.0,142.0,128.0,142.0,0.0,784,103798.0
2015-07-16,145.0,144.0,131.0,132.0,0.0,1960,267035.0
2015-07-15,153.0,150.0,145.0,145.0,0.0,778,113454.0
