date,open,high,low,ltp,percent_change,qty,turnover
2026-05-19,250.0,250.0,250.0,250.0,0.0,37193,9298250.0
2025-08-11,273.8,273.8,273.8,273.8,-1.97,71160,19483608.0
2025-08-07,285.0,285.0,279.3,279.3,-2.0,83700,23615955.0
2025-06-02,324.0,324.0,324.0,324.0,0.0,185000,6660000.0
2025-05-18,324.0,324.0,324.0,324.0,-1.82,100000,32400000.0
2025-05-15,330.0,330.0,330.0,330.0,-1.84,100000,33000000.0
2025-04-24,343.0,343.0,336.2,336.2,-3.94,29220,9886908.8
2025-03-12,350.0,350.0,350.0,350.0,0.0,54000,18900000.0
2025-03-04,350.0,350.0,350.0,350.0,0.0,2000,700000.0
2023-06-27,188.0,188.0,188.0,188.0,2.73,3000,564000.0
2023-03-23,183.0,183.0,183.0,183.0,0.0,63437,11608971.0
2022-06-01,270.0,270.0,270.0,270.0,0.0,33954,9167580.0
2022-04-19,270.0,270.0,270.0,270.0,-1.82,14709,3971430.0
2022-02-13,275.0,275.0,275.0,275.0,0.0,25000,6875000.0
2021-10-28,267.0,267.0,267.0,267.0,5.12,7500,2002500.0
2021-08-19,254.0,254.0,254.0,254.0,-1.93,25000,6350000.0
2021-08-05,259.0,259.0,259.0,259.0,-1.89,132301,34265959.0
2021-08-04,264.0,264.0,264.0,264.0,-1.86,150000,39600000.0
2021-08-03,269.0,269.0,269.0,269.0,0.0,4100,1102900.0
2021-02-25,101.0,101.0,100.0,100.0,-0.99,35079,3513525.0
2021-01-26,101.0,101.0,101.0,101.0,1.0,500,50500.0
2021-01-20,100.0,100.0,100.0,100.0,0.0,10802,1080200.0
2020-10-21,100.0,100.0,100.0,100.0,0.0,200,20000.0
2020-07-20,100.0,100.0,100.0,100.0,0.0,16875,1687500.0
2020-07-19,100.0,100.0,100.0,100.0,0.0,36896,3689600.0
2019-12-16,100.0,100.0,100.0,100.0,0.0,136048,13604800.0
2019-11-11,100.0,100.0,100.0,100.0,-2.91,7329,732900.0
2018-06-12,103.0,103.0,103.0,103.0,-1.9,150631,15514993.0
2017-11-23,103.0,102.0,102.0,102.0,0.0,11952,1219104.0
