date,open,high,low,ltp,percent_change,qty,turnover
2011-10-12,80.0,81.0,80.0,80.0,0.0,621,50201.0
2011-10-10,79.0,80.0,78.0,80.0,0.0,301,23583.0
2011-09-27,82.0,82.0,79.0,79.0,0.0,1100,88100.0
2011-09-26,80.0,82.0,80.0,82.0,0.0,800,65000.0
2011-09-22,79.0,80.0,80.0,80.0,0.0,500,40000.0
2011-09-21,79.0,79.0,79.0,79.0,0.0,200,15800.0
2011-09-20,78.0,79.0,79.0,79.0,0.0,600,47400.0
2011-09-18,76.0,78.0,77.0,78.0,0.0,400,31000.0
2011-09-15,76.0,77.0,76.0,76.0,0.0,1100,84200.0
2011-09-14,80.0,79.0,76.0,76.0,0.0,1110,86310.0
2011-09-13,83.0,82.0,80.0,80.0,0.0,1035,84050.0
2011-09-12,85.0,84.0,83.0,83.0,0.0,300,25000.0
2011-09-08,90.0,90.0,85.0,85.0,0.0,2020,175966.0
2011-09-07,93.0,92.0,90.0,90.0,0.0,500,45500.0
2011-09-06,94.0,93.0,93.0,93.0,0.0,500,46500.0
2011-09-05,96.0,96.0,94.0,94.0,0.0,150,14250.0
2011-09-04,96.0,96.0,96.0,96.0,0.0,32,3072.0
2011-09-01,97.0,96.0,96.0,96.0,0.0,745,71520.0
2011-08-28,99.0,98.0,97.0,97.0,0.0,350,34100.0
2011-08-24,100.0,99.0,99.0,99.0,0.0,100,9900.0
2011-08-22,103.0,102.0,100.0,100.0,0.0,477,48254.0
2011-08-18,101.0,103.0,103.0,103.0,0.0,100,10300.0
2011-08-17,102.0,102.0,98.0,101.0,0.0,2128,210176.0
2011-08-16,101.0,102.0,100.0,102.0,0.0,1150,115200.0
2011-08-15,103.0,105.0,101.0,101.0,0.0,1263,129557.0
2011-08-11,107.0,105.0,103.0,103.0,0.0,818,84490.0
2011-08-10,109.0,107.0,107.0,107.0,0.0,50,5350.0
2011-08-09,111.0,109.0,109.0,109.0,0.0,35,3815.0
2011-07-24,113.0,111.0,111.0,111.0,0.0,100,11100.0
2011-07-14,119.0,117.0,113.0,113.0,0.0,920,104660.0
2011-07-12,125.0,123.0,119.0,119.0,0.0,472,57056.0
2011-07-10,127.0,125.0,125.0,125.0,0.0,76,9500.0
2011-07-07,129.0,127.0,127.0,127.0,0.0,100,12700.0
2011-07-06,131.0,129.0,129.0,129.0,0.0,50,6450.0
2011-07-04,143.0,141.0,131.0,131.0,0.0,110,14950.0
2011-07-03,150.0,147.0,143.0,143.0,0.0,59,8537.0
2011-06-30,186.0,162.0,150.0,150.0,0.0,60,9300.0
