date,open,high,low,ltp,percent_change,qty,turnover
2016-05-17,406.0,398.0,391.0,398.0,0.0,310,121980.0
2016-05-16,399.0,406.0,406.0,406.0,0.0,100,40600.0
2016-05-15,363.0,399.0,370.0,399.0,0.0,1360,540050.0
2016-05-12,330.0,363.0,336.0,363.0,0.0,290,104450.0
2016-05-11,300.0,330.0,306.0,330.0,0.0,303,98538.0
2016-05-09,304.0,300.0,300.0,300.0,0.0,11,3300.0
2016-05-05,294.0,304.0,299.0,304.0,0.0,20,6030.0
2016-05-03,300.0,294.0,294.0,294.0,0.0,530,155820.0
2016-04-21,305.0,300.0,300.0,300.0,0.0,300,90000.0
2016-04-20,311.0,306.0,305.0,305.0,0.0,300,91600.0
2016-04-19,305.0,311.0,310.0,311.0,0.0,500,155400.0
2016-04-18,305.0,305.0,305.0,305.0,0.0,100,30500.0
2016-04-17,305.0,305.0,299.0,305.0,0.0,910,274340.0
2016-04-14,317.0,311.0,305.0,305.0,0.0,340,103940.0
2016-04-11,335.0,329.0,317.0,317.0,0.0,250,79610.0
2016-04-10,315.0,339.0,321.0,335.0,0.0,180,60260.0
2016-04-06,287.0,315.0,292.0,315.0,0.0,160,49780.0
2016-04-05,261.0,287.0,266.0,287.0,0.0,60,16670.0
2016-03-15,256.0,261.0,261.0,261.0,0.0,10,2610.0
2016-03-14,247.0,256.0,251.0,256.0,0.0,20,5070.0
2016-03-01,239.0,247.0,243.0,247.0,0.0,20,4900.0
2016-02-15,235.0,239.0,239.0,239.0,0.0,10,2390.0
2016-02-14,231.0,235.0,235.0,235.0,0.0,50,11750.0
2016-01-26,227.0,231.0,231.0,231.0,0.0,10,2310.0
2015-12-29,256.0,261.0,261.0,261.0,0.0,500,130500.0
2015-12-23,250.0,256.0,255.0,256.0,0.0,550,140750.0
2015-12-13,252.0,250.0,250.0,250.0,0.0,640,160000.0
2015-12-07,257.0,252.0,252.0,252.0,0.0,70,17640.0
2015-12-06,262.0,257.0,257.0,257.0,0.0,210,53970.0
2015-12-03,267.0,262.0,262.0,262.0,0.0,500,131000.0
2015-10-15,270.0,267.0,267.0,267.0,0.0,300,80100.0
2015-10-14,276.0,275.0,270.0,270.0,0.0,600,163450.0
2015-10-08,285.0,280.0,276.0,276.0,0.0,220,61200.0
2015-10-07,283.0,285.0,285.0,285.0,0.0,200,57000.0
2015-10-01,288.0,283.0,283.0,283.0,0.0,340,96220.0
2015-09-22,293.0,288.0,288.0,288.0,0.0,70,20160.0
2015-09-17,292.0,297.0,293.0,293.0,0.0,140,41380.0
2015-09-16,287.0,292.0,292.0,292.0,0.0,250,73000.0
2015-09-15,280.0,287.0,282.0,287.0,0.0,580,165460.0
2015-09-14,275.0,280.0,280.0,280.0,0.0,250,70000.0
2015-09-13,273.0,275.0,275.0,275.0,0.0,480,132000.0
2015-09-10,277.0,275.0,273.0,273.0,0.0,1200,328200.0
2015-09-09,281.0,277.0,277.0,277.0,0.0,500,138500.0
2015-09-08,286.0,283.0,281.0,281.0,0.0,410,115530.0
2015-09-07,306.0,300.0,285.0,286.0,0.0,610,176510.0
2015-08-06,305.0,306.0,306.0,306.0,0.0,260,79560.0
2015-08-05,305.0,305.0,305.0,305.0,0.0,350,106750.0
2015-08-04,308.0,305.0,305.0,305.0,0.0,40,12200.0
2015-07-29,314.0,308.0,308.0,308.0,0.0,100,30800.0
2015-07-28,292.0,314.0,297.0,314.0,0.0,310,95370.0
2015-07-22,287.0,292.0,292.0,292.0,0.0,50,14600.0
2015-07-16,282.0,287.0,287.0,287.0,0.0,50,14350.0
2015-07-13,287.0,282.0,282.0,282.0,0.0,350,98700.0
2015-07-09,282.0,287.0,287.0,287.0,0.0,100,28700.0
2015-07-06,286.0,283.0,282.0,282.0,0.0,200,56500.0
2015-06-24,293.0,290.0,286.0,286.0,0.0,490,140580.0
2015-06-22,298.0,293.0,293.0,293.0,0.0,260,76180.0
2015-06-16,303.0,298.0,298.0,298.0,0.0,500,149000.0
2015-06-14,298.0,303.0,303.0,303.0,0.0,100,30300.0
2015-06-09,286.0,301.0,291.0,298.0,0.0,1750,520340.0
2015-06-07,281.0,286.0,285.0,286.0,0.0,570,162910.0
2015-06-03,291.0,286.0,281.0,281.0,0.0,250,70910.0
2015-04-22,296.0,291.0,291.0,291.0,0.0,100,29100.0
2015-04-21,291.0,296.0,296.0,296.0,0.0,120,35520.0
2015-04-19,295.0,291.0,290.0,291.0,0.0,200,58100.0
2015-04-15,300.0,295.0,295.0,295.0,0.0,500,147500.0
2015-04-12,300.0,300.0,300.0,300.0,0.0,100,30000.0
2015-04-09,300.0,306.0,300.0,300.0,0.0,1140,342800.0
2015-04-07,318.0,312.0,300.0,300.0,0.0,1030,311520.0
2015-04-06,324.0,318.0,318.0,318.0,0.0,100,31800.0
2015-04-02,336.0,330.0,324.0,324.0,0.0,160,52500.0
2015-03-31,324.0,336.0,324.0,336.0,0.0,2300,756480.0
2015-03-26,330.0,324.0,324.0,324.0,0.0,10,3240.0
2015-03-24,318.0,330.0,315.0,330.0,0.0,2010,648470.0
2015-03-23,311.0,328.0,310.0,318.0,0.0,2790,890360.0
2015-03-22,298.0,311.0,296.0,311.0,0.0,990,303640.0
2015-03-16,271.0,298.0,276.0,298.0,0.0,1890,553660.0
2015-03-15,261.0,271.0,266.0,271.0,0.0,30,8030.0
2015-03-12,247.0,261.0,251.0,261.0,0.0,120,30270.0
2015-03-11,225.0,247.0,229.0,247.0,0.0,330,79390.0
2015-03-10,217.0,225.0,221.0,225.0,0.0,70,15710.0
2015-03-09,198.0,217.0,201.0,217.0,0.0,50,10450.0
2015-03-03,195.0,198.0,198.0,198.0,0.0,1100,217800.0
2015-03-01,186.0,195.0,189.0,195.0,0.0,210,40500.0
