date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1035.0,1064.9,950.0,960.0,-7.25,11405,11178372.3
2026-04-30,1049.0,1049.0,990.0,1035.0,0.0,10144,10298127.4
2026-04-29,1012.1,1090.0,953.1,1035.0,2.26,39440,39871529.2
2026-04-28,1108.0,1108.0,1008.8,1012.1,-8.66,35959,37680012.0
2026-04-27,1142.0,1170.0,1091.0,1108.0,-2.98,19755,22116874.9
2026-04-24,1100.0,1163.0,1074.6,1142.0,0.96,20195,22820813.5
2026-04-23,1166.0,1200.0,1130.0,1131.1,-2.83,25617,29358757.3
2026-04-22,1207.0,1211.0,1135.0,1164.0,-3.88,27539,31935685.9
2026-04-21,1226.0,1280.0,1191.0,1211.0,-1.14,42812,53460961.9
2026-04-20,1180.0,1280.0,1099.0,1225.0,3.81,43095,50658187.8
2026-04-17,1191.0,1205.0,1105.5,1180.0,-0.92,56116,64943386.4
2026-04-16,1286.0,1300.0,1167.0,1191.0,-7.39,55251,67083955.8
2026-04-15,1255.0,1305.0,1191.0,1286.0,3.71,50568,63069335.5
2026-04-13,1168.0,1305.0,1097.6,1240.0,4.04,85733,104278929.3
2026-04-10,1105.1,1191.8,1105.0,1191.8,10.0,19720,23447913.5
2026-04-09,990.0,1083.5,950.0,1083.5,10.0,29023,29838936.5
2026-04-08,950.3,1024.8,852.9,985.0,5.72,111652,104744288.5
2026-04-07,863.9,931.7,863.9,931.7,10.0,7560,7035207.0
2026-04-06,770.0,847.0,770.0,847.0,10.0,4620,3910090.0
2026-04-05,714.0,770.0,714.0,770.0,10.0,3690,2839924.0
2026-04-02,649.1,700.0,649.1,700.0,9.99,1840,1286750.0
2026-04-01,590.1,636.4,590.1,636.4,9.99,660,418888.0
2026-03-31,536.0,578.6,536.0,578.6,10.0,470,270462.0
2026-03-30,475.4,526.0,475.4,526.0,10.0,280,145699.0
2026-03-29,430.8,478.2,430.8,478.2,9.98,300,141936.0
2026-03-26,391.4,434.8,391.4,434.8,9.99,198,84564.8
2026-03-25,366.5,395.3,366.5,395.3,9.99,100,38245.0
2026-03-24,323.5,359.4,323.5,359.4,9.98,120,41960.0
2026-03-23,294.1,326.8,294.1,326.8,10.0,160,51222.0
2026-03-22,270.1,297.1,270.1,297.1,10.0,80,22698.0
2026-05-05,912.0,1020.0,912.0,967.4,0.77,16784,16514608.9
2026-05-06,919.1,997.0,919.1,962.1,-0.55,8250,8052040.0
2026-05-07,975.0,990.0,955.0,978.0,1.65,10486,10209205.9
2026-05-08,978.0,1022.0,963.0,1010.0,3.27,18876,19049165.1
2026-05-11,1000.0,1040.0,1000.0,1015.0,0.5,14926,15127702.7
2026-05-12,1013.0,1025.0,969.0,975.0,-3.94,16202,16090469.8
2026-05-13,999.0,1000.0,940.0,960.0,-1.54,13449,12769142.8
2026-05-14,980.0,980.0,918.0,918.3,-4.34,12654,11812794.4
2026-05-15,918.0,950.0,906.0,930.0,1.27,14356,13384069.4
2026-05-18,930.0,939.9,910.2,936.0,0.65,5046,4709483.8
2026-05-19,917.0,940.0,917.0,926.0,-1.07,10349,9615889.8
2026-05-20,910.0,943.9,910.0,940.0,1.51,9503,8890504.4
2026-05-21,955.0,956.0,921.2,925.0,-1.6,6597,6162648.4
2026-05-22,925.0,974.9,912.5,953.0,3.03,24258,23051471.6
2026-05-25,952.0,1000.0,945.0,980.0,2.83,16247,15910828.4
2026-05-26,961.0,1005.0,961.0,971.0,-0.92,8638,8395648.8
2026-05-27,971.0,984.0,932.1,936.0,-3.6,13194,12506979.8
2026-06-01,936.0,946.9,900.0,911.0,-2.67,13674,12588898.5
2026-06-02,911.0,930.0,900.0,900.1,-1.2,9476,8572759.5
2026-06-03,860.0,928.0,860.0,906.1,0.67,11067,10152450.3
2026-06-04,907.0,920.0,890.7,891.1,-1.66,6799,6127401.4
2026-06-05,900.0,900.0,860.0,867.9,-2.6,8293,7226244.0
2026-06-08,835.0,892.0,829.0,838.0,-3.45,14599,12231806.1
2026-06-09,830.0,845.0,812.1,838.0,0.0,8945,7393906.2
2026-06-10,844.0,875.0,818.1,870.0,3.82,10926,9358269.7
2026-06-11,885.8,890.0,836.3,855.0,-1.72,4490,3817179.0
2026-06-12,855.0,859.9,837.0,838.0,-1.99,5544,4662739.2
