date,open,high,low,ltp,percent_change,qty,turnover
2016-06-06,401.0,408.0,400.0,400.0,0.0,6377,2573069.0
2016-06-05,413.0,415.0,401.0,401.0,0.0,5503,2240263.0
2016-06-02,419.0,419.0,413.0,413.0,0.0,4825,2003737.0
2016-06-01,411.0,419.0,406.0,419.0,0.0,4028,1654684.0
2016-05-31,412.0,418.0,411.0,411.0,0.0,3000,1240000.0
2016-05-30,411.0,419.0,403.0,412.0,0.0,3047,1247309.0
2016-05-29,418.0,422.0,410.0,411.0,0.0,6437,2660505.0
2016-05-26,420.0,419.0,411.0,418.0,0.0,1806,748527.0
2016-05-25,425.0,420.0,420.0,420.0,0.0,350,147000.0
2016-05-24,418.0,429.0,415.0,425.0,0.0,5551,2339156.0
2016-05-23,419.0,420.0,412.0,418.0,0.0,1657,690556.0
2016-05-22,415.0,422.0,413.0,419.0,0.0,3518,1465349.0
2016-05-19,415.0,418.0,415.0,415.0,0.0,2134,887110.0
2016-05-18,415.0,416.0,407.0,415.0,0.0,2896,1190523.0
2016-05-17,410.0,415.0,406.0,415.0,0.0,883,365610.0
2016-05-16,415.0,420.0,410.0,410.0,0.0,3959,1641139.0
2016-05-15,425.0,418.0,414.0,415.0,0.0,2315,962100.0
2016-05-12,421.0,428.0,419.0,425.0,0.0,5037,2134460.0
2016-05-11,426.0,425.0,415.0,421.0,0.0,2881,1211545.0
2016-05-10,425.0,441.0,424.0,426.0,0.0,11187,4796508.0
2016-05-09,413.0,425.0,413.0,425.0,0.0,5874,2467424.0
2016-05-08,429.0,429.0,413.0,413.0,0.0,966,405350.0
2016-05-05,412.0,429.0,405.0,429.0,0.0,9998,4125978.0
2016-05-04,414.0,418.0,412.0,412.0,0.0,3165,1312063.0
2016-05-03,413.0,422.0,413.0,414.0,0.0,9036,3760032.0
2016-05-02,421.0,414.0,413.0,413.0,0.0,571,236094.0
2016-04-28,429.0,421.0,421.0,421.0,0.0,1444,607924.0
2016-04-27,437.0,432.0,422.0,429.0,0.0,1955,840550.0
2016-04-26,416.0,440.0,422.0,437.0,0.0,6119,2653961.0
2016-04-25,413.0,422.0,415.0,416.0,0.0,6831,2852764.0
2016-04-24,405.0,413.0,405.0,413.0,0.0,2349,961845.0
2016-04-21,401.0,409.0,401.0,405.0,0.0,747,302155.0
2016-04-20,393.0,413.0,398.0,401.0,0.0,3263,1319375.0
2016-04-19,400.0,400.0,392.0,393.0,0.0,3000,1182650.0
2016-04-18,388.0,400.0,394.0,400.0,0.0,1652,658164.0
2016-04-17,395.0,402.0,388.0,388.0,0.0,1525,597800.0
2016-04-14,390.0,400.0,395.0,395.0,0.0,2950,1176775.0
2016-04-12,390.0,390.0,382.0,390.0,0.0,560,216996.0
2016-04-11,392.0,390.0,387.0,390.0,0.0,1017,396579.0
2016-04-10,400.0,395.0,391.0,392.0,0.0,2227,873284.0
2016-04-06,400.0,403.0,400.0,400.0,0.0,1358,545087.0
2016-04-05,400.0,400.0,400.0,400.0,0.0,540,216000.0
2016-04-04,388.0,405.0,393.0,400.0,0.0,8056,3224887.0
2016-04-03,399.0,395.0,388.0,388.0,0.0,826,324378.0
2016-03-31,395.0,400.0,399.0,399.0,0.0,8226,3289974.0
2016-03-30,390.0,404.0,390.0,395.0,0.0,10798,4297279.0
2016-03-29,400.0,396.0,390.0,390.0,0.0,2993,1177220.0
2016-03-28,400.0,405.0,393.0,400.0,0.0,9352,3737871.0
2016-03-27,368.0,404.0,368.0,400.0,0.0,13736,5421754.0
2016-03-24,367.0,375.0,361.0,368.0,0.0,2349,867142.0
2016-03-23,372.0,372.0,363.0,367.0,0.0,1453,531634.0
2016-03-21,369.0,375.0,365.0,372.0,0.0,2267,842874.0
2016-03-20,368.0,370.0,362.0,369.0,0.0,1114,407446.0
2016-03-17,368.0,375.0,366.0,368.0,0.0,4659,1726788.0
2016-03-16,386.0,380.0,368.0,368.0,0.0,1490,555550.0
2016-03-15,390.0,386.0,386.0,386.0,0.0,700,270200.0
