date,open,high,low,ltp,percent_change,qty,turnover
2012-06-28,235.0,247.0,227.0,228.0,0.0,25342,5934091.0
2012-06-27,226.0,235.0,225.0,235.0,0.0,1620,373960.0
2012-06-26,240.0,236.0,226.0,226.0,0.0,2477,564337.0
2012-06-25,224.0,240.0,225.0,240.0,0.0,3320,770430.0
2012-06-21,224.0,228.0,224.0,224.0,0.0,1734,391085.0
2012-06-20,220.0,232.0,222.0,224.0,0.0,685,156070.0
2012-06-19,220.0,222.0,218.0,220.0,0.0,632,138949.0
2012-06-18,220.0,226.0,216.0,220.0,0.0,8245,1806495.0
2012-06-17,229.0,227.0,220.0,220.0,0.0,2469,549225.0
2012-06-14,227.0,229.0,223.0,229.0,0.0,1790,406965.0
2012-06-13,230.0,231.0,223.0,227.0,0.0,2610,593240.0
2012-06-12,226.0,233.0,225.0,230.0,0.0,3170,728360.0
2012-06-11,221.0,232.0,221.0,226.0,0.0,7410,1667795.0
2012-06-10,237.0,241.0,221.0,221.0,0.0,3146,734906.0
2012-06-07,225.0,245.0,221.0,237.0,0.0,19324,4601156.0
2012-06-06,231.0,230.0,224.0,225.0,0.0,3260,738690.0
2012-06-05,242.0,239.0,226.0,231.0,0.0,4997,1156569.0
2012-06-04,251.0,256.0,235.0,242.0,0.0,5634,1353163.0
2012-06-03,229.0,251.0,233.0,251.0,0.0,9094,2277580.0
2012-05-31,223.0,234.0,211.0,229.0,0.0,11726,2632514.0
2012-05-30,243.0,239.0,223.0,223.0,0.0,65,14975.0
2012-05-29,270.0,265.0,243.0,243.0,0.0,265,65275.0
2012-05-27,258.0,283.0,253.0,270.0,0.0,8644,2338026.0
2012-05-24,240.0,260.0,225.0,258.0,0.0,9287,2317861.0
2012-05-23,255.0,250.0,230.0,240.0,0.0,5980,1408129.0
2012-05-22,274.0,270.0,255.0,255.0,0.0,9408,2440143.0
2012-05-21,265.0,274.0,260.0,274.0,0.0,11687,3131925.0
2012-05-20,286.0,281.0,259.0,265.0,0.0,11449,3038679.0
2012-05-17,276.0,301.0,270.0,286.0,0.0,24989,6998699.0
2012-05-16,251.0,276.0,256.0,276.0,0.0,100,26950.0
2012-05-15,229.0,251.0,233.0,251.0,0.0,2515,611865.0
2012-05-14,254.0,249.0,229.0,229.0,0.0,6950,1594890.0
2012-05-13,275.0,270.0,248.0,254.0,0.0,6572,1658620.0
2012-05-10,277.0,286.0,257.0,275.0,0.0,14531,3990751.0
2012-05-09,294.0,294.0,275.0,277.0,0.0,19078,5374631.0
2012-05-08,263.0,294.0,268.0,294.0,0.0,20983,6056423.0
2012-05-03,241.0,263.0,253.0,263.0,0.0,1720,446360.0
2012-05-02,267.0,262.0,241.0,241.0,0.0,11967,2891869.0
2012-04-30,283.0,278.0,258.0,267.0,0.0,19966,5272587.0
2012-04-29,275.0,290.0,255.0,283.0,0.0,13575,3758578.0
2012-04-26,250.0,275.0,240.0,275.0,0.0,44060,11335809.0
2012-04-25,234.0,255.0,238.0,250.0,0.0,2400,594850.0
2012-04-24,230.0,234.0,234.0,234.0,0.0,20,4680.0
2012-04-22,211.0,232.0,215.0,230.0,0.0,14233,3195499.0
2012-04-19,207.0,220.0,203.0,211.0,0.0,10533,2208667.0
2012-04-18,190.0,209.0,180.0,207.0,0.0,8829,1717189.0
2012-04-17,201.0,221.0,189.0,190.0,0.0,12037,2518290.0
2012-04-15,183.0,201.0,186.0,201.0,0.0,5893,1157719.0
2012-04-12,168.0,183.0,170.0,183.0,0.0,9804,1736371.0
