date,open,high,low,ltp,percent_change,qty,turnover
2015-12-24,579.0,588.0,577.0,585.0,0.0,53806,31327236.0
2015-12-23,590.0,587.0,575.0,579.0,0.0,10331,5974858.0
2015-12-22,595.0,595.0,587.0,590.0,0.0,30685,18174104.0
2015-12-21,575.0,596.0,576.0,595.0,0.0,27423,16014025.0
2015-12-20,575.0,579.0,571.0,575.0,0.0,11655,6684326.0
2015-12-17,570.0,577.0,572.0,575.0,0.0,4688,2692825.0
2015-12-16,582.0,578.0,570.0,570.0,0.0,11289,6483472.0
2015-12-15,585.0,585.0,581.0,582.0,0.0,6666,3889600.0
2015-12-14,579.0,585.0,570.0,585.0,0.0,18817,10819822.0
2015-12-13,607.0,602.0,579.0,579.0,0.0,27848,16345644.0
2015-12-10,615.0,620.0,604.0,607.0,0.0,37848,23140950.0
2015-12-09,611.0,620.0,607.0,615.0,0.0,27442,16836768.0
2015-12-08,604.0,613.0,600.0,611.0,0.0,24603,14920533.0
2015-12-07,592.0,605.0,593.0,604.0,0.0,35802,21497396.0
2015-12-06,570.0,598.0,579.0,592.0,0.0,26948,15851838.0
2015-12-03,563.0,586.0,555.0,570.0,0.0,10796,6154987.0
2015-12-02,570.0,567.0,548.0,563.0,0.0,6460,3630053.0
2015-12-01,548.0,570.0,550.0,570.0,0.0,17420,9720952.0
2015-11-30,544.0,574.0,542.0,548.0,0.0,6773,3741168.0
2015-11-29,560.0,565.0,537.0,544.0,0.0,11950,6570557.0
2015-11-26,569.0,560.0,548.0,560.0,0.0,6596,3658827.0
2015-11-25,568.0,570.0,560.0,569.0,0.0,7672,4322299.0
2015-11-24,585.0,578.0,568.0,568.0,0.0,7518,4294717.0
2015-11-23,579.0,585.0,568.0,585.0,0.0,6728,3857469.0
2015-11-22,598.0,587.0,573.0,579.0,0.0,3158,1825371.0
2015-11-19,600.0,598.0,580.0,598.0,0.0,7000,4075251.0
2015-11-18,585.0,600.0,586.0,600.0,0.0,3629,2148366.0
2015-11-16,590.0,587.0,580.0,585.0,0.0,2132,1243966.0
2015-11-15,597.0,607.0,584.0,590.0,0.0,8525,5020321.0
2015-11-10,598.0,600.0,591.0,597.0,0.0,7526,4479146.0
2015-11-09,574.0,600.0,585.0,598.0,0.0,11138,6606742.0
2015-11-08,577.0,580.0,569.0,574.0,0.0,6992,4011134.0
2015-11-05,577.0,582.0,574.0,577.0,0.0,6236,3598702.0
2015-11-04,580.0,581.0,577.0,577.0,0.0,5452,3157124.0
2015-11-03,583.0,585.0,580.0,580.0,0.0,4842,2814018.0
2015-11-02,583.0,600.0,580.0,583.0,0.0,3837,2241830.0
2015-11-01,585.0,583.0,567.0,583.0,0.0,5734,3287605.0
2015-10-29,590.0,600.0,575.0,585.0,0.0,6288,3696798.0
2015-10-28,585.0,590.0,555.0,590.0,0.0,11278,6399258.0
2015-10-27,600.0,596.0,576.0,585.0,0.0,9005,5269082.0
2015-10-25,601.0,600.0,596.0,600.0,0.0,1892,1130592.0
2015-10-19,599.0,601.0,596.0,601.0,0.0,5538,3317041.0
2015-10-18,595.0,602.0,584.0,599.0,0.0,10362,6130106.0
2015-10-15,596.0,599.0,585.0,595.0,0.0,6861,4075772.0
2015-10-14,599.0,602.0,594.0,596.0,0.0,9707,5799944.0
2015-10-11,614.0,605.0,597.0,599.0,0.0,11950,7176404.0
2015-10-08,605.0,614.0,600.0,614.0,0.0,13513,8193353.0
2015-10-07,610.0,605.0,595.0,605.0,0.0,11650,6990608.0
2015-10-06,615.0,616.0,606.0,610.0,0.0,12639,7721084.0
2015-10-05,620.0,620.0,610.0,615.0,0.0,11315,6959723.0
2015-10-04,629.0,632.0,620.0,620.0,0.0,25660,16002895.0
2015-10-01,634.0,630.0,625.0,629.0,0.0,12654,7943889.0
2015-09-30,636.0,643.0,631.0,634.0,0.0,32472,20728320.0
