date,open,high,low,ltp,percent_change,qty,turnover
2022-06-13,141.0,141.0,141.0,141.0,0.0,5755,811455.0
2022-05-10,141.0,141.0,141.0,141.0,0.0,32000,4512000.0
2022-04-11,141.0,141.0,141.0,141.0,0.0,26352,3715632.0
2021-06-27,198.0,198.0,198.0,198.0,-1.98,9565,1893870.0
2021-03-04,147.0,147.0,147.0,147.0,0.0,1642,241374.0
2021-01-25,147.0,147.0,147.0,147.0,0.0,16950,2491650.0
2020-12-07,147.0,147.0,147.0,147.0,0.0,12631,1856757.0
2020-10-20,147.0,147.0,147.0,147.0,4.92,70545,10370115.0
2020-10-18,140.11,140.11,140.11,140.11,-0.63,176256,24695228.27
2020-10-15,191.0,191.0,141.0,141.0,0.0,139900,20142500.16
2020-03-05,147.0,147.0,147.0,147.0,0.0,28762,4228014.0
2020-02-18,202.0,202.0,160.25,160.25,0.0,54200,8735820.0
2019-12-29,140.0,140.0,137.0,137.0,-14.38,50880,7011900.0
2019-10-02,160.0,160.0,160.0,160.0,8.84,139276,22284160.0
2019-09-29,147.0,147.0,147.0,147.0,-2.0,140000,20580000.0
2019-09-26,150.0,150.0,150.0,150.0,0.0,6520,978000.0
2019-09-25,150.0,150.0,150.0,150.0,0.0,13148,1972200.0
2019-08-19,150.0,150.0,150.0,150.0,0.0,20000,3000000.0
2019-04-01,150.0,150.0,150.0,150.0,0.0,1400,210000.0
2019-02-13,150.0,150.0,150.0,150.0,-29.25,10000,1500000.0
2018-06-27,212.0,212.0,212.0,212.0,0.0,5285,1120420.0
2018-04-09,212.0,212.0,212.0,212.0,0.0,579914,122941768.0
2018-03-29,212.0,212.0,212.0,212.0,0.47,27441,5817492.0
2018-02-20,211.0,211.0,211.0,211.0,0.48,40449,8534739.0
2017-11-12,270.0,270.0,270.0,270.0,0.0,107060,28906200.0
2017-09-06,275.0,270.0,270.0,270.0,0.0,5000,1350000.0
2017-08-27,275.0,275.0,275.0,275.0,0.0,60000,16500000.0
2017-03-16,401.0,405.0,405.0,405.0,0.0,175868,71226544.0
2016-10-19,380.0,401.0,387.0,401.0,0.0,37800,14636300.0
2015-12-02,211.0,207.0,200.0,200.0,0.0,243749,48750800.0
2015-12-01,225.0,221.0,203.0,211.0,0.0,6600,1372800.0
2015-11-30,250.0,245.0,225.0,225.0,0.0,600,141000.0
2015-10-19,260.0,255.0,250.0,250.0,0.0,162106,40527032.0
2015-09-08,260.0,0.0,0.0,260.0,0.0,10090,2572950.0
2015-07-22,262.0,260.0,260.0,260.0,0.0,10000,2600000.0
2013-10-03,481.0,0.0,0.0,481.0,0.0,118600,24236000.0
2013-10-02,509.0,499.0,481.0,481.0,0.0,35390,17187228.0
2013-06-26,550.0,539.0,509.0,509.0,0.0,6252,3214818.0
2013-05-22,560.0,550.0,550.0,550.0,0.0,525,288750.0
2013-04-25,223.0,560.0,560.0,560.0,0.0,404,226240.0
2011-11-28,560.0,223.0,223.0,223.0,0.0,76875,17143124.0
2011-09-07,740.0,560.0,560.0,560.0,0.0,7302,4089120.0
