date,open,high,low,ltp,percent_change,qty,turnover
2014-07-01,128.0,138.0,130.0,138.0,0.0,4040,545200.0
2014-06-26,126.0,128.0,128.0,128.0,0.0,100,12800.0
2014-06-25,124.0,127.0,123.0,126.0,0.0,4410,549630.0
2014-06-24,123.0,126.0,124.0,124.0,0.0,2900,362500.0
2014-06-23,127.0,125.0,123.0,123.0,0.0,960,119000.0
2014-06-16,125.0,127.0,127.0,127.0,0.0,1000,127000.0
2014-06-10,130.0,128.0,125.0,125.0,0.0,210,26690.0
2014-06-03,138.0,136.0,130.0,130.0,0.0,200,26600.0
2014-04-10,140.0,138.0,138.0,138.0,0.0,60,8280.0
2014-03-27,141.0,140.0,140.0,140.0,0.0,40,5600.0
2014-03-19,136.0,141.0,138.0,141.0,0.0,1450,203800.0
2014-03-17,134.0,136.0,136.0,136.0,0.0,160,21760.0
2014-03-13,132.0,134.0,134.0,134.0,0.0,50,6700.0
2014-03-13,132.0,134.0,134.0,134.0,0.0,50,6700.0
2014-03-11,130.0,132.0,132.0,132.0,0.0,100,13200.0
2014-03-06,128.0,130.0,130.0,130.0,0.0,50,6500.0
2014-03-04,126.0,128.0,128.0,128.0,0.0,960,122880.0
2014-02-24,124.0,126.0,126.0,126.0,0.0,230,28980.0
2014-02-23,122.0,124.0,124.0,124.0,0.0,1020,126480.0
2014-02-18,120.0,122.0,122.0,122.0,0.0,110,13420.0
2014-02-17,118.0,120.0,120.0,120.0,0.0,350,42000.0
2014-01-28,114.0,116.0,116.0,116.0,0.0,250,29000.0
2014-01-27,114.0,114.0,112.0,114.0,0.0,2280,255620.0
2014-01-26,112.0,114.0,114.0,114.0,0.0,400,45600.0
2014-01-23,114.0,112.0,112.0,112.0,0.0,100,11200.0
2014-01-22,113.0,114.0,111.0,114.0,0.0,3000,338000.0
2014-01-21,112.0,116.0,113.0,113.0,0.0,1460,166400.0
2014-01-19,110.0,112.0,112.0,112.0,0.0,500,56000.0
2014-01-14,114.0,112.0,110.0,110.0,0.0,300,33400.0
2013-12-26,114.0,114.0,114.0,114.0,0.0,100,11400.0
2013-12-22,112.0,114.0,114.0,114.0,0.0,200,22800.0
2013-12-18,110.0,112.0,112.0,112.0,0.0,350,39200.0
2013-08-13,112.0,110.0,110.0,110.0,0.0,110,12100.0
2013-08-12,114.0,112.0,112.0,112.0,0.0,210,23520.0
2013-03-21,116.0,114.0,114.0,114.0,0.0,3000,342000.0
2013-03-19,122.0,120.0,116.0,116.0,0.0,200,23500.0
2013-03-13,0.0,122.0,122.0,122.0,0.0,100,12200.0
