date,open,high,low,ltp,percent_change,qty,turnover
2014-12-22,289.0,293.0,285.0,285.0,0.0,772,223361.0
2014-12-21,300.0,294.0,289.0,289.0,0.0,1049,305710.0
2014-12-18,297.0,301.0,295.0,300.0,0.0,552,164576.0
2014-12-17,295.0,300.0,297.0,297.0,0.0,317,94986.0
2014-12-16,292.0,295.0,290.0,295.0,0.0,346,101695.0
2014-12-15,303.0,315.0,292.0,292.0,0.0,468,144997.0
2014-12-14,290.0,303.0,295.0,303.0,0.0,5996,1799000.0
2014-12-11,287.0,292.0,287.0,290.0,0.0,825,239580.0
2014-12-10,287.0,291.0,286.0,287.0,0.0,257,74466.0
2014-12-09,287.0,290.0,285.0,287.0,0.0,1830,525374.0
2014-12-08,289.0,291.0,287.0,287.0,0.0,940,273242.0
2014-12-07,290.0,290.0,279.0,289.0,0.0,289,82255.0
2014-12-04,294.0,290.0,285.0,290.0,0.0,599,173010.0
2014-12-03,280.0,299.0,285.0,294.0,0.0,1399,406427.0
2014-12-02,290.0,295.0,280.0,280.0,0.0,2908,839560.0
2014-12-01,291.0,290.0,287.0,290.0,0.0,241,69755.0
2014-11-30,283.0,291.0,281.0,291.0,0.0,198,56403.0
2014-11-25,281.0,283.0,277.0,283.0,0.0,650,181962.0
2014-11-24,291.0,287.0,281.0,281.0,0.0,134,38061.0
2014-11-23,298.0,300.0,289.0,291.0,0.0,1516,440114.0
2014-11-20,300.0,303.0,298.0,298.0,0.0,2216,665528.0
2014-11-19,290.0,306.0,290.0,300.0,0.0,6612,1976082.0
2014-11-18,290.0,290.0,275.0,290.0,0.0,3964,1116860.0
2014-11-17,300.0,303.0,290.0,290.0,0.0,6489,1917370.0
2014-11-16,303.0,301.0,299.0,300.0,0.0,6087,1825835.0
2014-11-13,305.0,304.0,298.0,303.0,0.0,5486,1662400.0
2014-11-12,286.0,305.0,291.0,305.0,0.0,8336,2507909.0
2014-11-11,288.0,292.0,283.0,286.0,0.0,524,151966.0
2014-11-10,303.0,297.0,287.0,288.0,0.0,1213,352869.0
2014-11-09,299.0,304.0,290.0,303.0,0.0,4563,1366052.0
2014-11-06,304.0,310.0,299.0,299.0,0.0,4841,1466710.0
2014-11-05,289.0,304.0,290.0,304.0,0.0,4084,1225402.0
2014-11-04,295.0,290.0,284.0,289.0,0.0,2658,761497.0
2014-11-03,288.0,295.0,289.0,295.0,0.0,11380,3304458.0
2014-11-02,281.0,295.0,285.0,288.0,0.0,5216,1510734.0
2014-10-30,282.0,281.0,277.0,281.0,0.0,267,74691.0
2014-10-28,273.0,282.0,275.0,282.0,0.0,1053,291842.0
2014-10-27,278.0,273.0,268.0,273.0,0.0,68,18379.0
2014-10-26,283.0,283.0,278.0,278.0,0.0,141,39723.0
2014-10-22,275.0,285.0,270.0,283.0,0.0,1815,509712.0
2014-10-21,285.0,280.0,270.0,275.0,0.0,893,246680.0
2014-10-16,280.0,295.0,285.0,285.0,0.0,301,86870.0
2014-10-15,269.0,280.0,270.0,280.0,0.0,875,241276.0
2014-10-14,270.0,271.0,266.0,269.0,0.0,2267,611081.0
2014-10-13,276.0,271.0,261.0,270.0,0.0,729,193592.0
2014-10-12,281.0,276.0,276.0,276.0,0.0,100,27600.0
2014-10-09,285.0,281.0,276.0,281.0,0.0,560,157090.0
2014-10-08,289.0,285.0,284.0,285.0,0.0,330,93757.0
2014-09-30,292.0,300.0,289.0,289.0,0.0,899,264535.0
2014-09-29,275.0,295.0,270.0,292.0,0.0,1202,344225.0
2014-09-28,284.0,280.0,271.0,275.0,0.0,304,83104.0
2014-09-24,270.0,284.0,268.0,284.0,0.0,1652,454207.0
2014-09-23,269.0,275.0,264.0,270.0,0.0,1022,276103.0
2014-09-22,268.0,269.0,264.0,269.0,0.0,681,181001.0
2014-09-21,279.0,275.0,255.0,268.0,0.0,462,121903.0
2014-09-18,291.0,288.0,270.0,279.0,0.0,1238,345633.0
2014-09-17,290.0,295.0,289.0,291.0,0.0,3014,876157.0
2014-09-16,282.0,296.0,280.0,290.0,0.0,909,262972.0
2014-09-15,262.0,282.0,267.0,282.0,0.0,484,132393.0
2014-09-14,270.0,270.0,260.0,262.0,0.0,913,240114.0
2014-09-11,275.0,275.0,260.0,270.0,0.0,2215,588090.0
2014-09-10,285.0,295.0,271.0,275.0,0.0,1550,437929.0
2014-09-09,262.0,285.0,257.0,285.0,0.0,603,164627.0
2014-09-07,275.0,270.0,260.0,262.0,0.0,134,35361.0
2014-09-04,280.0,275.0,267.0,275.0,0.0,1700,463306.0
2014-09-03,270.0,280.0,265.0,280.0,0.0,2177,598315.0
2014-09-01,281.0,276.0,265.0,270.0,0.0,389,104223.0
2014-08-31,295.0,300.0,281.0,281.0,0.0,1555,457502.0
