date,open,high,low,ltp,percent_change,qty,turnover
2016-01-07,257.0,269.0,269.0,269.0,0.0,540,145260.0
2016-01-06,234.0,257.0,238.0,257.0,0.0,2250,566820.0
2015-11-18,264.0,264.0,259.0,264.0,0.0,27927,7239953.0
2015-11-16,260.0,264.0,256.0,264.0,0.0,125649,32535080.0
2015-11-15,255.0,270.0,260.0,260.0,0.0,2600,683300.0
2015-11-10,256.0,255.0,255.0,255.0,0.0,364,92820.0
2015-11-09,254.0,259.0,254.0,256.0,0.0,2939,751142.0
2015-11-08,255.0,255.0,253.0,254.0,0.0,4000,1016000.0
2015-11-05,250.0,255.0,252.0,255.0,0.0,1049,265830.0
2015-11-04,257.0,252.0,250.0,250.0,0.0,6635,1659254.0
2015-11-03,267.0,262.0,257.0,257.0,0.0,1638,425164.0
2015-10-27,277.0,272.0,267.0,267.0,0.0,93,25046.0
2015-10-19,272.0,277.0,277.0,277.0,0.0,500,138500.0
2015-10-18,277.0,273.0,272.0,272.0,0.0,244,66407.0
2015-10-15,272.0,280.0,272.0,277.0,0.0,18049,4980262.0
2015-10-14,273.0,272.0,268.0,272.0,0.0,835,224900.0
2015-10-11,275.0,280.0,270.0,273.0,0.0,10103,2771998.0
2015-10-08,260.0,280.0,260.0,275.0,0.0,4897,1316093.0
2015-10-07,259.0,260.0,256.0,260.0,0.0,1397,361980.0
2015-10-06,264.0,261.0,259.0,259.0,0.0,4000,1037000.0
2015-10-05,260.0,264.0,263.0,264.0,0.0,1293,341059.0
2015-10-04,265.0,260.0,260.0,260.0,0.0,576,149760.0
2015-10-01,274.0,270.0,264.0,265.0,0.0,1408,374202.0
2015-09-30,279.0,280.0,274.0,274.0,0.0,1000,277300.0
2015-09-28,280.0,279.0,279.0,279.0,0.0,210,58590.0
2015-09-24,279.0,280.0,274.0,280.0,0.0,4725,1314356.0
2015-09-23,280.0,290.0,279.0,279.0,0.0,10843,3088455.0
2015-09-22,280.0,280.0,275.0,280.0,0.0,812,226360.0
2015-09-17,280.0,280.0,275.0,280.0,0.0,2258,621215.0
2015-09-16,286.0,296.0,280.0,280.0,0.0,17694,5049510.0
