date,open,high,low,ltp,percent_change,qty,turnover
2023-02-23,213.0,220.0,212.8,214.0,-1.34,51915,11186962.0
2023-02-22,208.0,216.9,208.0,216.9,2.6,40061,8579266.8
2023-02-20,216.0,216.0,210.7,211.4,-1.9,35445,7515763.2
2023-02-16,216.0,219.0,215.2,215.5,-0.23,22412,4848562.5
2023-02-15,218.0,220.0,216.0,216.0,-0.78,26751,5790912.2
2023-02-14,218.0,219.6,217.4,217.7,-0.55,20750,4529648.8
2023-02-12,219.0,219.0,216.5,218.9,-1.4,22218,4831377.8
2023-02-09,221.0,222.0,219.0,222.0,0.68,25195,5548428.0
2023-02-08,221.1,225.0,218.0,220.5,0.23,53461,11798114.4
2023-02-07,214.5,220.0,214.0,220.0,2.61,52725,11447591.2
2023-02-06,215.1,217.0,212.7,214.4,-0.33,13377,2862361.4
2023-02-05,215.0,219.0,215.0,215.1,-0.37,21869,4733907.6
2023-02-02,218.8,219.0,215.0,215.9,-1.42,32884,7117889.9
2023-02-01,219.2,222.0,217.4,219.0,-0.09,36677,8030334.2
2023-01-31,224.0,225.8,219.1,219.2,-2.49,93979,20750445.6
2023-01-30,226.1,230.0,224.0,224.8,-1.62,45141,10183487.9
2023-01-29,229.1,232.0,228.0,228.5,-1.3,64629,14807784.8
2023-01-26,230.9,233.0,229.2,231.5,0.13,48630,11253886.3
2023-01-25,230.1,232.7,230.1,231.2,-0.34,24594,5696545.2
2023-01-24,231.1,233.0,230.1,232.0,-0.43,33080,7655284.3
2023-01-23,235.0,236.9,232.9,233.0,-0.04,60806,14208404.9
2023-01-19,228.3,233.6,228.3,233.1,1.3,57663,13336268.3
2023-01-18,236.6,236.6,230.0,230.1,-0.82,50563,11683852.5
2023-01-17,234.0,235.0,229.5,232.0,-0.85,40588,9420611.2
2023-01-12,237.6,238.0,231.7,234.0,0.43,99018,23216129.0
2023-01-10,236.0,243.0,232.3,233.0,0.0,155141,36665815.0
2023-01-09,232.0,233.9,230.2,233.0,0.09,99260,22982630.6
