date,open,high,low,ltp,percent_change,qty,turnover
2023-01-09,191.2,199.5,191.1,199.5,3.31,100347,19596640.5
2023-01-08,192.0,196.0,191.0,193.1,0.89,93532,18073006.2
2023-01-05,192.7,195.0,191.1,191.4,-0.57,79277,15269108.3
2023-01-04,191.0,194.0,189.7,192.5,1.32,57375,10986712.4
2023-01-03,192.0,193.0,189.0,190.0,-0.05,62724,11971161.6
2023-01-02,191.0,194.0,188.3,190.1,-0.16,52720,10060785.4
2023-01-01,193.0,195.9,189.2,190.4,0.21,58072,11171402.4
2022-12-29,188.0,191.0,185.2,190.0,2.1,39605,7487385.4
2022-12-28,189.7,189.7,185.0,186.1,-0.48,18317,3425903.0
2022-12-27,183.1,190.1,181.0,187.0,3.6,32390,6021149.8
2022-12-26,180.0,182.0,175.0,180.5,1.12,67290,12031434.1
2022-12-22,179.5,179.7,176.6,178.5,0.73,16036,2855450.3
2022-12-21,180.0,180.0,176.4,177.2,-1.01,9120,1623920.1
2022-12-20,176.1,180.0,176.1,179.0,-0.28,21079,3765441.7
2022-12-19,177.0,180.0,176.0,179.5,1.64,18712,3340198.5
2022-12-18,188.0,191.0,184.5,185.0,-2.63,161125,30445959.3
2022-12-15,187.0,191.0,187.0,190.0,0.0,46360,8796517.6
2022-12-14,188.4,190.8,186.0,190.0,-1.04,43171,8141213.9
2022-12-13,187.0,192.0,185.7,192.0,2.07,69034,13021621.4
2022-12-12,184.1,190.4,184.1,188.1,0.8,36524,6866602.4
2022-12-11,185.0,189.0,184.0,186.6,0.92,53190,9976800.1
2022-12-07,185.0,186.0,184.7,184.9,-0.91,16476,3051410.4
2022-12-06,187.0,189.0,185.8,186.6,-0.37,17497,3274972.2
2022-12-05,189.0,189.0,186.4,187.3,-0.37,23407,4394061.7
2022-12-04,188.1,190.0,187.0,188.0,-0.79,41525,7819697.0
2022-12-01,190.0,192.0,187.0,189.5,0.26,40268,7601149.2
2022-11-30,192.0,192.0,188.0,189.0,-1.2,20863,3937728.9
2022-11-29,191.0,192.0,188.0,191.3,0.16,32846,6237327.8
2022-11-28,196.8,207.9,190.5,191.0,-1.04,69420,13515929.8
2022-07-31,189.0,194.0,188.0,193.0,3.21,102673,19625278.0
2022-07-29,191.0,191.5,186.6,187.0,-0.53,18158,3412189.8
2022-07-28,189.0,192.0,187.2,188.0,-1.0,50498,9575256.0
2022-07-27,189.0,190.0,185.5,189.9,0.48,31001,5816350.4
2022-07-26,194.0,194.7,188.0,189.0,-2.73,47907,9105553.8
2022-07-25,190.0,196.0,190.0,194.3,3.35,62037,12009899.3
2022-07-24,187.0,188.6,184.0,188.0,1.13,37338,6956221.7
2022-07-22,187.0,187.0,184.0,185.9,-0.54,21727,4007159.9
2022-07-21,188.0,190.0,184.4,186.9,-0.32,27043,5051045.0
2022-07-20,189.9,189.9,186.0,187.5,-0.37,18456,3466459.4
2022-07-19,188.0,189.7,186.0,188.2,1.07,40654,7626041.9
2022-07-18,187.0,187.8,184.0,186.2,-0.11,17096,3181952.8
2022-07-17,186.5,186.5,183.2,186.4,1.86,32875,6086711.8
2022-07-15,183.0,184.9,182.0,183.0,-1.03,19441,3553569.6
2022-07-14,183.9,186.6,181.4,184.9,1.04,40737,7451714.9
2022-07-13,180.0,183.0,178.0,183.0,2.29,37952,6854447.0
2022-07-12,178.8,182.0,178.8,178.9,0.06,67436,12115824.8
2022-07-11,186.0,186.0,178.5,178.8,-3.87,72765,13142395.4
2022-07-08,190.7,190.7,185.0,186.0,-0.53,35479,6615479.3
2022-07-07,190.5,191.0,186.2,187.0,-1.48,57440,10762540.6
2022-07-06,191.0,195.0,186.2,189.8,1.33,71143,13474976.6
2022-07-05,194.8,194.8,187.1,187.3,-1.94,51684,9726003.2
2022-07-04,196.8,196.8,190.0,191.0,-1.04,75830,14593889.8
2022-07-03,192.9,193.0,188.0,193.0,1.58,49924,9505996.4
2022-07-01,196.0,196.0,188.4,190.0,-1.96,33555,6394697.4
2022-06-30,190.0,195.6,188.7,193.8,2.59,59873,11481880.0
2022-06-29,187.0,188.9,185.0,188.9,1.23,27136,5080261.7
2022-06-28,190.0,190.0,185.0,186.6,-0.74,13807,2577888.4
2022-06-27,192.0,192.8,188.0,188.0,-1.57,43777,8293782.0
2022-06-26,187.0,192.0,186.5,191.0,2.69,43858,8326746.9
2022-06-24,183.5,189.0,180.2,186.0,1.36,25842,4774675.4
2022-06-23,185.3,190.0,183.0,183.5,-2.91,45272,8360992.1
2022-06-22,190.8,194.0,189.0,189.0,-2.83,33424,6339148.5
2022-06-21,188.0,196.0,188.0,194.5,2.64,33565,6450961.3
2022-06-20,192.0,192.0,186.5,189.5,-0.99,47508,8947702.7
2022-06-19,193.0,193.9,190.1,191.4,-0.83,251267,48228049.2
2022-06-17,195.0,197.0,193.0,193.0,-0.36,331103,64794108.8
2022-06-16,190.0,197.9,190.0,193.7,0.89,44030,8547004.5
2022-06-15,195.0,195.0,189.0,192.0,-1.49,43271,8231269.6
2022-06-14,199.0,199.0,193.1,194.9,-1.17,70888,13796343.5
2022-06-13,201.0,201.0,196.5,197.2,-0.9,143128,28396932.4
2022-06-10,199.0,199.9,196.0,199.0,0.0,14022,2767226.7
2022-06-09,202.0,203.9,198.0,199.0,-1.0,36913,7392086.4
2022-06-08,197.0,204.0,197.0,201.0,2.08,39490,7931387.4
2022-06-07,199.1,202.0,195.2,196.9,-1.55,51402,10138283.8
2022-06-06,201.0,204.0,199.6,200.0,-1.23,54086,10862846.6
2022-06-03,204.0,205.0,199.0,202.5,-0.3,57051,11473541.0
2022-06-02,207.8,208.0,203.0,203.1,-1.84,28537,5835478.6
2022-06-01,206.0,207.0,203.0,206.9,0.93,16775,3431254.7
2022-05-31,210.0,210.0,204.5,205.0,-2.38,22119,4544836.8
2022-05-30,208.0,210.0,204.0,210.0,0.0,55115,11349204.6
2022-05-27,214.9,214.9,208.0,210.0,-1.64,35261,7416308.8
2022-05-26,205.0,214.0,203.1,213.5,3.29,40869,8545262.2
2022-05-25,206.0,208.0,203.0,206.7,1.67,19361,3980524.0
2022-05-24,201.0,208.0,200.0,203.3,0.59,15046,3073912.2
2022-05-23,207.0,207.0,202.0,202.1,-2.37,54675,11106158.6
2022-05-20,208.1,212.0,205.0,207.0,-0.48,55786,11524174.3
2022-05-19,210.0,211.0,207.6,208.0,-0.95,122680,25599474.1
2022-05-18,212.0,212.0,207.6,210.0,0.48,26791,5592389.5
2022-05-17,216.0,216.0,208.0,209.0,-3.24,31224,6570276.3
2022-05-12,220.0,220.8,215.0,216.0,-0.92,20542,4453289.8
2022-05-11,212.0,218.0,211.0,218.0,2.59,34253,7333762.3
2022-05-10,210.0,213.0,208.3,212.5,2.16,19532,4119200.4
2022-05-09,212.0,213.0,208.0,208.0,-0.48,19707,4142083.3
2022-05-08,207.1,209.0,204.1,209.0,0.97,31781,6568000.3
2022-05-05,211.0,212.0,206.0,207.0,-2.36,44853,9321488.0
2022-05-04,215.0,215.0,210.1,212.0,-0.93,25916,5484519.0
2022-05-02,220.3,220.3,213.0,214.0,-0.93,57800,12338180.4
2022-04-28,214.0,218.8,214.0,216.0,-0.64,33215,7181556.3
2022-04-27,215.0,218.0,212.1,217.4,1.02,17514,3767535.4
2022-04-26,214.1,220.0,214.1,215.2,-1.28,19732,4272682.7
2022-04-25,222.9,223.0,216.0,218.0,-1.8,45530,9942258.8
2022-04-24,215.0,222.0,214.0,222.0,3.74,48762,10708083.9
2022-04-21,215.0,217.0,212.0,214.0,-0.05,43082,9236934.5
2022-04-20,215.0,224.0,213.1,214.1,0.99,68722,14910086.3
2022-04-19,206.0,216.0,206.0,212.0,0.9,21523,4579897.5
2022-04-18,213.5,214.0,210.0,210.1,-1.82,26269,5547601.5
2022-04-17,215.0,218.0,213.0,214.0,-0.47,28256,6059134.1
2022-04-13,217.0,217.0,211.0,215.0,0.7,34165,7307745.3
2022-04-12,219.0,219.0,205.0,213.5,-0.74,63624,13514578.1
2022-04-11,225.0,231.0,213.7,215.1,-3.54,76382,16636704.9
2022-04-07,212.0,229.5,212.0,223.0,4.21,71362,15664438.1
2022-04-06,211.1,220.3,211.0,214.0,-0.33,42458,9109167.9
