date,open,high,low,ltp,percent_change,qty,turnover
2015-07-14,344.0,339.0,320.0,325.0,0.0,18784,6090497.0
2015-07-13,341.0,344.0,341.0,344.0,0.0,1579,540673.0
2015-07-12,336.0,341.0,333.0,341.0,0.0,458,155295.0
2015-07-09,330.0,336.0,325.0,336.0,0.0,586,194227.0
2015-07-08,326.0,333.0,321.0,330.0,0.0,1468,480426.0
2015-07-07,320.0,332.0,314.0,326.0,0.0,442,142226.0
2015-07-06,330.0,324.0,310.0,320.0,0.0,816,260142.0
2015-07-05,325.0,330.0,322.0,330.0,0.0,415,134988.0
2015-07-02,325.0,331.0,319.0,325.0,0.0,475,153385.0
2015-07-01,321.0,325.0,321.0,325.0,0.0,249,80729.0
2015-06-30,330.0,328.0,321.0,321.0,0.0,3263,1055126.0
2015-06-29,322.0,336.0,319.0,330.0,0.0,700,227734.0
2015-06-28,330.0,334.0,321.0,322.0,0.0,1460,474570.0
2015-06-25,324.0,330.0,321.0,330.0,0.0,567,184545.0
2015-06-24,330.0,330.0,321.0,324.0,0.0,22416,7248042.0
2015-06-23,329.0,330.0,319.0,330.0,0.0,12538,4069815.0
2015-06-22,326.0,335.0,326.0,329.0,0.0,473,155785.0
2015-06-21,325.0,326.0,316.0,326.0,0.0,1632,525375.0
2015-06-18,335.0,329.0,325.0,325.0,0.0,37,12097.0
2015-06-17,331.0,339.0,330.0,335.0,0.0,1586,530173.0
2015-06-16,331.0,333.0,326.0,331.0,0.0,2047,674136.0
2015-06-15,324.0,333.0,321.0,331.0,0.0,804,264706.0
2015-06-14,333.0,335.0,324.0,324.0,0.0,2153,701176.0
2015-06-11,332.0,334.0,320.0,333.0,0.0,1490,491042.0
2015-06-10,350.0,350.0,332.0,332.0,0.0,4218,1429828.0
2015-06-09,345.0,358.0,344.0,350.0,0.0,4225,1479825.0
2015-06-08,327.0,352.0,325.0,345.0,0.0,3017,1019250.0
2015-06-07,334.0,331.0,325.0,327.0,0.0,852,278995.0
2015-06-04,320.0,334.0,321.0,334.0,0.0,2868,943286.0
2015-06-03,310.0,320.0,316.0,320.0,0.0,528,168068.0
2015-06-02,311.0,310.0,307.0,310.0,0.0,300,92700.0
2015-06-01,297.0,311.0,295.0,311.0,0.0,4059,1247700.0
2015-05-31,290.0,300.0,295.0,297.0,0.0,592,176032.0
2015-05-28,303.0,297.0,285.0,290.0,0.0,2578,743500.0
2015-05-27,334.0,328.0,301.0,303.0,0.0,439,134765.0
2015-04-23,338.0,335.0,331.0,334.0,0.0,1272,422952.0
2015-04-22,335.0,338.0,330.0,338.0,0.0,1718,570123.0
2015-04-21,335.0,340.0,334.0,335.0,0.0,1398,468476.0
2015-04-20,335.0,336.0,335.0,335.0,0.0,181,60679.0
2015-04-19,340.0,340.0,332.0,335.0,0.0,864,290135.0
2015-04-16,325.0,340.0,320.0,340.0,0.0,465,153596.0
2015-04-15,335.0,329.0,324.0,325.0,0.0,287,93326.0
2015-04-13,340.0,344.0,335.0,335.0,0.0,1012,341779.0
2015-04-12,335.0,342.0,339.0,340.0,0.0,640,218074.0
