date,open,high,low,ltp,percent_change,qty,turnover
2015-06-23,170.0,170.0,170.0,170.0,0.0,13267,2255390.0
2015-06-22,170.0,170.0,170.0,170.0,0.0,44332,7536440.0
2015-06-21,170.0,170.0,170.0,170.0,0.0,30558,5194860.0
2015-06-16,170.0,170.0,170.0,170.0,0.0,10000,1700000.0
2014-09-29,132.0,132.0,132.0,132.0,0.0,15355,2026860.0
2014-06-17,130.0,132.0,132.0,132.0,0.0,22335,2948220.0
2014-04-27,130.0,130.0,130.0,130.0,0.0,34846,4529980.0
2014-03-26,130.0,130.0,130.0,130.0,0.0,3070,399100.0
2014-03-11,130.0,130.0,130.0,130.0,0.0,30536,3969680.0
2013-10-03,0.0,130.0,130.0,130.0,0.0,60720,7893600.0
