date,open,high,low,ltp,percent_change,qty,turnover
2020-01-08,101.0,101.0,101.0,101.0,-1.94,800,80800.0
2020-01-01,103.0,103.0,103.0,103.0,1.98,130,13390.0
2019-12-31,102.0,102.0,101.0,101.0,-2.88,547,55447.0
2019-12-30,104.0,104.0,104.0,104.0,-0.95,10,1040.0
2019-12-29,106.0,106.0,105.0,105.0,0.0,303,31968.0
2019-12-26,103.0,105.0,103.0,105.0,1.94,550,57550.0
2019-12-24,102.0,103.0,102.0,103.0,-0.96,540,55420.0
2019-12-23,102.0,104.0,102.0,104.0,1.96,287,29631.0
2019-12-19,102.0,102.0,102.0,102.0,0.99,800,81600.0
2019-12-18,101.0,101.0,101.0,101.0,-1.94,30,3030.0
2019-12-17,101.0,103.0,99.0,103.0,0.0,6220,625380.0
2019-12-16,100.0,103.0,100.0,103.0,4.04,1230,124900.0
2019-12-15,99.0,100.0,99.0,99.0,1.02,120,11980.0
2019-12-11,98.0,98.0,98.0,98.0,0.0,4460,437080.0
2019-12-04,97.0,98.0,97.0,98.0,0.0,70,6840.0
2019-12-03,98.0,98.0,98.0,98.0,-2.0,20,1960.0
2019-11-14,100.0,100.0,100.0,100.0,0.0,890,89000.0
2019-11-11,100.0,100.0,100.0,100.0,-1.96,100,10000.0
2019-11-10,101.0,102.0,99.0,102.0,0.0,2217,221720.0
2019-11-07,102.0,102.0,102.0,102.0,-0.97,667,68034.0
2019-11-06,102.0,103.0,102.0,103.0,-0.96,2000,205000.0
2019-11-05,104.0,104.0,104.0,104.0,-1.89,200,20800.0
2019-11-04,106.0,106.0,106.0,106.0,0.95,500,53000.0
2019-10-31,105.0,105.0,105.0,105.0,-1.87,100,10500.0
2019-10-24,109.0,109.0,107.0,107.0,-2.73,600,65200.0
2019-10-23,110.0,110.0,110.0,110.0,-0.9,300,33000.0
2019-10-22,109.0,111.0,109.0,111.0,0.0,1477,161013.0
2019-10-21,113.0,113.0,111.0,111.0,0.0,256,28436.0
2019-10-20,114.0,114.0,111.0,111.0,-4.31,2750,308520.0
2019-10-17,116.0,116.0,116.0,116.0,1.75,500,58000.0
2019-10-16,114.0,114.0,114.0,114.0,1.79,2500,285000.0
2019-10-15,117.0,117.0,112.0,112.0,-5.88,4010,457410.0
2019-10-14,116.0,119.0,114.0,119.0,4.39,14300,1666230.0
2019-10-10,110.0,114.0,110.0,114.0,1.79,60,6800.0
2019-10-03,108.0,112.0,108.0,112.0,3.7,1220,135200.0
2019-10-02,108.0,108.0,108.0,108.0,1.89,500,54000.0
2019-10-01,106.0,106.0,104.0,106.0,1.92,680,71960.0
2019-09-25,105.0,105.0,104.0,104.0,0.97,1000,104500.0
2019-09-24,103.0,103.0,103.0,103.0,1.98,100,10300.0
2019-09-23,101.0,101.0,101.0,101.0,-0.98,120,12120.0
2019-09-22,100.0,102.0,100.0,102.0,3.03,2340,236680.0
2019-09-18,98.0,99.0,98.0,99.0,2.06,1200,118600.0
2019-09-17,98.0,98.0,97.0,97.0,-2.02,1000,97500.0
2019-09-16,99.0,99.0,98.0,99.0,-1.98,600,59100.0
2019-09-15,101.0,101.0,101.0,101.0,-0.98,300,30300.0
2019-09-12,100.0,102.0,100.0,102.0,0.99,137,13794.0
2019-09-11,100.0,101.0,100.0,101.0,-0.98,210,21200.0
2019-09-10,102.0,102.0,102.0,102.0,2.0,100,10200.0
2019-09-09,100.0,100.0,100.0,100.0,1.01,500,50000.0
2019-09-04,99.0,99.0,99.0,99.0,1.02,2500,247500.0
2019-09-03,101.0,101.0,98.0,98.0,-4.85,4380,436050.0
2019-09-02,103.0,103.0,103.0,103.0,-0.96,1000,103000.0
2019-09-01,105.0,105.0,104.0,104.0,-1.89,2500,261000.0
2019-08-28,106.0,106.0,104.0,106.0,-1.85,100,10580.0
