date,open,high,low,ltp,percent_change,qty,turnover
2019-09-01,100.0,100.0,100.0,100.0,0.0,40001,4000100.0
2019-06-10,100.0,100.0,100.0,100.0,-0.99,159334,15933400.0
2018-12-06,101.0,101.0,101.0,101.0,0.0,1000,101000.0
2018-12-05,101.0,101.0,101.0,101.0,0.0,18000,1818000.0
2018-10-28,101.0,101.0,101.0,101.0,0.0,43000,4343000.0
2018-10-15,101.0,101.0,101.0,101.0,0.0,72800,7352800.0
2018-03-27,100.0,100.0,100.0,100.0,0.0,53700,5370000.0
2018-03-26,100.0,100.0,100.0,100.0,0.0,60000,6000000.0
2017-07-18,100.0,100.0,100.0,100.0,0.0,82500,8250000.0
2017-07-17,105.0,103.0,100.0,100.0,0.0,313110,31662750.0
2017-05-22,105.0,105.0,105.0,105.0,0.0,30000,3150000.0
2017-05-21,105.0,105.0,105.0,105.0,0.0,35000,3675000.0
