date,open,high,low,ltp,percent_change,qty,turnover
2019-06-06,464.0,464.0,464.0,464.0,4.98,10,4640.0
2019-06-04,444.0,450.0,437.0,442.0,-2.21,650,287170.0
2019-06-03,438.0,452.0,435.0,452.0,1.57,3226,1418450.0
2019-06-02,455.0,455.0,442.0,445.0,-2.41,1480,660410.0
2019-05-30,450.0,462.0,447.0,456.0,1.79,1975,902705.0
2019-05-29,451.0,459.0,442.0,448.0,-2.61,1660,747220.0
2019-05-28,451.0,460.0,443.0,460.0,0.0,1400,631440.0
2019-05-27,450.0,460.0,450.0,460.0,2.45,440,200340.0
2019-05-26,445.0,450.0,443.0,449.0,-0.66,460,205210.0
2019-05-23,457.0,457.0,438.0,452.0,-1.53,3050,1360450.0
2019-05-22,460.0,464.0,458.0,459.0,-0.22,260,119620.0
2019-05-21,460.0,466.0,456.0,460.0,0.0,1590,732170.0
2019-05-20,465.0,465.0,456.0,460.0,-0.43,840,387090.0
2019-05-19,440.0,475.0,440.0,462.0,4.05,915,425535.0
2019-05-16,455.0,455.0,444.0,444.0,-2.42,2338,1050706.0
2019-05-15,465.0,465.0,455.0,455.0,-2.36,2490,1143390.0
2019-05-14,466.0,468.0,463.0,466.0,-1.89,662,308142.0
2019-05-13,484.0,484.0,460.0,475.0,-1.86,1210,569680.0
2019-05-12,476.0,484.0,466.0,484.0,0.0,2464,1162250.0
2019-05-09,472.0,484.0,471.0,484.0,1.47,420,199300.0
2019-05-08,480.0,480.0,475.0,477.0,-0.63,870,415520.0
2019-05-07,486.0,489.0,480.0,480.0,-1.23,790,382030.0
2019-05-06,490.0,490.0,480.0,486.0,0.21,730,354680.0
2019-05-05,490.0,490.0,480.0,485.0,-2.22,950,460780.0
2019-05-02,498.0,500.0,489.0,496.0,-0.4,740,367740.0
2019-04-30,499.0,500.0,491.0,498.0,-0.2,840,417390.0
2019-04-29,498.0,500.0,490.0,499.0,-1.77,1460,720590.0
2019-04-28,486.0,511.0,486.0,508.0,3.67,2390,1197970.0
2019-04-25,502.0,502.0,483.0,490.0,-0.61,900,441470.0
2019-04-24,500.0,502.0,487.0,493.0,0.0,746,367160.0
2019-04-23,495.0,497.0,490.0,493.0,-0.4,780,385370.0
2019-04-22,512.0,514.0,495.0,495.0,-2.94,1430,720950.0
2019-04-21,502.0,510.0,490.0,510.0,1.59,1720,855760.0
2019-04-18,506.0,520.0,502.0,502.0,-2.52,1320,675820.0
2019-04-17,502.0,520.0,495.0,515.0,4.46,5130,2606840.0
2019-04-16,477.0,501.0,475.0,493.0,3.14,1150,565560.0
2019-04-15,483.0,490.0,470.0,478.0,-1.65,1890,900710.0
2019-04-11,493.0,499.0,474.0,486.0,0.41,3988,1922420.0
2019-04-10,499.0,500.0,482.0,484.0,-2.81,1660,809690.0
2019-04-09,521.0,523.0,496.0,498.0,-2.54,1460,734500.0
2019-04-08,480.0,519.0,480.0,511.0,6.46,1980,988320.0
2019-04-07,496.0,500.0,480.0,480.0,-4.95,2370,1161600.0
2019-04-04,509.0,515.0,500.0,505.0,-0.79,1650,834610.0
2019-04-03,497.0,517.0,497.0,509.0,0.59,1276,646778.0
2019-04-02,503.0,513.0,502.0,506.0,-1.36,1110,564250.0
2019-04-01,524.0,524.0,510.0,513.0,-2.1,2180,1123242.0
2019-03-31,527.0,528.0,518.0,524.0,-0.57,1450,755530.0
2019-03-28,526.0,535.0,526.0,527.0,-1.5,1130,599160.0
2019-03-27,533.0,545.0,525.0,535.0,0.38,1210,642030.0
2019-03-26,540.0,540.0,531.0,533.0,-1.3,990,528830.0
2019-03-25,539.0,545.0,535.0,540.0,-1.46,960,518570.0
2019-03-24,554.0,565.0,540.0,548.0,-1.08,1440,781920.0
2019-03-21,582.0,582.0,554.0,554.0,-0.18,1470,824440.0
2019-03-19,552.0,569.0,552.0,555.0,-0.72,1794,1008661.0
2019-03-18,569.0,569.0,552.0,559.0,-1.76,1570,879810.0
2019-03-17,560.0,571.0,553.0,569.0,1.61,1730,967180.0
2019-03-14,562.0,568.0,555.0,560.0,-0.71,1208,679392.0
2019-03-13,567.0,578.0,560.0,564.0,-0.53,910,513960.0
2019-03-12,580.0,580.0,561.0,567.0,-0.7,1640,931630.0
2019-03-11,570.0,574.0,555.0,571.0,0.71,2700,1528740.0
2019-03-10,566.0,570.0,560.0,567.0,0.18,910,513410.0
2019-03-07,583.0,583.0,555.0,566.0,1.8,1810,1015090.0
2019-03-06,550.0,563.0,550.0,556.0,-0.89,2480,1380430.0
2019-03-05,568.0,570.0,560.0,561.0,-1.58,2540,1426590.0
2019-03-03,584.0,585.0,570.0,570.0,-2.4,3260,1880810.0
2019-02-27,591.0,591.0,580.0,584.0,0.52,1970,1148550.0
2019-02-26,590.0,590.0,581.0,581.0,-1.19,4240,2471270.0
2019-02-25,575.0,594.0,575.0,588.0,0.34,5670,3299940.0
2019-02-24,601.0,610.0,584.0,586.0,-2.5,17370,10310980.0
2019-02-21,574.0,601.0,574.0,601.0,9.87,42215,25068192.0
2019-02-20,522.0,547.0,522.0,547.0,9.84,100,54000.0
2019-02-19,475.0,498.0,475.0,498.0,9.93,530,263520.0
2019-02-18,432.0,453.0,432.0,453.0,9.95,40,17730.0
2019-02-17,393.0,412.0,393.0,412.0,9.87,130,52130.0
2019-02-14,375.0,375.0,375.0,375.0,4.75,10,3750.0
2019-02-13,342.0,358.0,342.0,358.0,9.82,50,17600.0
2019-02-12,326.0,326.0,326.0,326.0,4.82,10,3260.0
2019-02-11,297.0,311.0,297.0,311.0,9.89,50,15290.0
2019-02-06,283.0,283.0,283.0,283.0,4.81,10,2830.0
2019-02-05,270.0,270.0,270.0,270.0,4.65,10,2700.0
2019-01-31,249.0,258.0,249.0,258.0,8.4,30,7600.0
2019-01-08,238.0,238.0,238.0,238.0,0.0,10,2380.0
