date,open,high,low,ltp,percent_change,qty,turnover
2015-03-12,441.0,485.0,449.0,458.0,0.0,2918,1358565.0
2015-03-11,401.0,441.0,409.0,441.0,0.0,721,316889.0
2015-03-09,407.0,401.0,401.0,401.0,0.0,500,200500.0
2015-03-03,407.0,407.0,407.0,407.0,0.0,88,35816.0
2015-03-02,415.0,407.0,407.0,407.0,0.0,10,4070.0
2015-03-01,402.0,415.0,402.0,415.0,0.0,640,262988.0
2015-02-26,410.0,402.0,402.0,402.0,0.0,74,29748.0
2015-02-25,418.0,410.0,402.0,410.0,0.0,998,407404.0
2015-02-24,442.0,434.0,418.0,418.0,0.0,6436,2716112.0
2015-02-22,442.0,450.0,442.0,442.0,0.0,77,34114.0
2015-02-18,461.0,462.0,442.0,442.0,0.0,3140,1413700.0
2015-02-16,470.0,477.0,461.0,461.0,0.0,172,80649.0
2015-02-15,433.0,470.0,426.0,470.0,0.0,5083,2300264.0
2015-02-12,409.0,433.0,417.0,433.0,0.0,198,85494.0
2015-02-11,372.0,409.0,379.0,409.0,0.0,2072,816273.0
2015-02-10,372.0,372.0,372.0,372.0,0.0,171,63612.0
2015-02-09,372.0,372.0,354.0,372.0,0.0,3209,1154030.0
2015-02-08,374.0,375.0,371.0,372.0,0.0,418,155655.0
2015-02-05,376.0,374.0,369.0,374.0,0.0,117,43492.0
2015-02-04,405.0,397.0,376.0,376.0,0.0,641,246364.0
2015-02-03,429.0,421.0,405.0,405.0,0.0,60,24732.0
2015-02-02,437.0,437.0,429.0,429.0,0.0,422,184278.0
2015-02-01,434.0,445.0,437.0,437.0,0.0,522,229610.0
2015-01-29,397.0,434.0,402.0,434.0,0.0,1043,441618.0
2015-01-28,361.0,397.0,368.0,397.0,0.0,586,231740.0
2015-01-27,330.0,361.0,336.0,361.0,0.0,189,66514.0
2015-01-26,318.0,330.0,324.0,330.0,0.0,185,60078.0
2015-01-14,312.0,318.0,318.0,318.0,0.0,74,23532.0
2015-01-12,295.0,312.0,300.0,312.0,0.0,779,235332.0
2015-01-11,285.0,295.0,290.0,295.0,0.0,655,191450.0
2015-01-08,282.0,285.0,280.0,285.0,0.0,1472,412970.0
2015-01-06,280.0,282.0,282.0,282.0,0.0,162,45684.0
2015-01-05,285.0,285.0,280.0,280.0,0.0,7440,2115400.0
2015-01-01,288.0,290.0,285.0,285.0,0.0,141,40450.0
2014-12-28,293.0,298.0,288.0,288.0,0.0,706,204658.0
2014-12-24,284.0,293.0,288.0,293.0,0.0,74,21507.0
2014-12-23,264.0,284.0,269.0,284.0,0.0,857,235578.0
2014-12-22,250.0,264.0,255.0,264.0,0.0,2042,529920.0
2014-12-18,247.0,250.0,249.0,250.0,0.0,493,122845.0
2014-11-30,251.0,247.0,247.0,247.0,0.0,3213,793611.0
2014-11-25,247.0,251.0,247.0,251.0,0.0,3319,820217.0
2014-11-24,247.0,247.0,243.0,247.0,0.0,966,236446.0
2014-11-23,252.0,247.0,247.0,247.0,0.0,106,26182.0
2014-11-20,267.0,262.0,252.0,252.0,0.0,4117,1057229.0
2014-11-17,270.0,267.0,267.0,267.0,0.0,53,14151.0
2014-11-11,275.0,270.0,270.0,270.0,0.0,11,2970.0
2014-10-09,275.0,275.0,270.0,275.0,0.0,412,112860.0
2014-09-22,280.0,275.0,275.0,275.0,0.0,178,48950.0
2014-09-21,276.0,280.0,280.0,280.0,0.0,377,105560.0
2014-09-18,291.0,286.0,276.0,276.0,0.0,369,103259.0
2014-09-17,286.0,291.0,291.0,291.0,0.0,152,44232.0
2014-09-15,296.0,291.0,286.0,286.0,0.0,380,108960.0
2014-09-14,290.0,300.0,294.0,296.0,0.0,219,65170.0
2014-09-11,290.0,290.0,290.0,290.0,0.0,177,51330.0
2014-09-10,295.0,290.0,290.0,290.0,0.0,71,20590.0
2014-09-09,280.0,295.0,280.0,295.0,0.0,242,69495.0
2014-08-24,287.0,282.0,280.0,280.0,0.0,53,14910.0
2014-08-12,272.0,287.0,277.0,287.0,0.0,222,62604.0
2014-08-07,267.0,272.0,272.0,272.0,0.0,11,2992.0
2014-08-03,252.0,267.0,257.0,267.0,0.0,180,47160.0
2014-07-31,248.0,252.0,252.0,252.0,0.0,21,5292.0
2014-07-30,240.0,248.0,244.0,248.0,0.0,54,13320.0
2014-07-28,236.0,240.0,240.0,240.0,0.0,324,77760.0
2014-07-24,232.0,236.0,236.0,236.0,0.0,39,9204.0
2014-07-16,260.0,265.0,265.0,265.0,0.0,71,18815.0
2014-07-10,250.0,260.0,255.0,260.0,0.0,159,41075.0
2014-07-09,250.0,250.0,250.0,250.0,0.0,10,2500.0
2014-07-07,243.0,251.0,247.0,250.0,0.0,126,31416.0
2014-07-06,239.0,243.0,243.0,243.0,0.0,70,17010.0
2014-07-02,238.0,239.0,235.0,239.0,0.0,141,33487.0
2014-07-01,244.0,245.0,236.0,238.0,0.0,1151,276719.0
2014-06-30,270.0,265.0,243.0,244.0,0.0,2075,512960.0
2014-06-29,274.0,270.0,270.0,270.0,0.0,194,52380.0
2014-06-03,279.0,274.0,274.0,274.0,0.0,53,14522.0
2014-06-01,284.0,279.0,279.0,279.0,0.0,88,24552.0
2014-04-09,294.0,289.0,284.0,284.0,0.0,127,36263.0
2014-03-24,290.0,294.0,290.0,294.0,0.0,142,41604.0
2014-03-23,294.0,290.0,290.0,290.0,0.0,60,17400.0
2013-07-18,300.0,294.0,294.0,294.0,0.0,11,3234.0
2013-03-05,0.0,300.0,300.0,300.0,0.0,10,3000.0
