date,open,high,low,ltp,percent_change,qty,turnover
2013-09-26,96.0,95.0,95.0,95.0,0.0,100,9500.0
2013-09-25,98.0,97.0,96.0,96.0,0.0,174,16865.0
2013-09-23,97.0,98.0,96.0,98.0,0.0,907,87287.0
2013-09-05,96.0,97.0,97.0,97.0,0.0,46,4462.0
2013-09-03,100.0,98.0,96.0,96.0,0.0,610,58870.0
2013-09-02,100.0,100.0,98.0,100.0,0.0,253,24951.0
2013-09-01,99.0,100.0,98.0,100.0,0.0,95,9409.0
2013-08-29,108.0,106.0,99.0,99.0,0.0,1004,103163.0
2013-08-26,108.0,108.0,108.0,108.0,0.0,10,1080.0
2013-08-25,106.0,110.0,108.0,108.0,0.0,3472,377673.0
2013-08-20,100.0,110.0,100.0,106.0,0.0,3150,333372.0
2013-08-19,97.0,100.0,98.0,100.0,0.0,30,2970.0
2013-08-18,95.0,97.0,96.0,97.0,0.0,176,16984.0
2013-08-14,92.0,95.0,92.0,95.0,0.0,399,37428.0
2013-08-08,89.0,92.0,90.0,92.0,0.0,1020,91830.0
2013-08-07,89.0,89.0,89.0,89.0,0.0,300,26700.0
2013-08-06,89.0,90.0,89.0,89.0,0.0,233,20937.0
2013-07-29,88.0,89.0,89.0,89.0,0.0,1788,159132.0
2013-07-25,87.0,88.0,88.0,88.0,0.0,133,11704.0
2013-07-24,88.0,87.0,87.0,87.0,0.0,34,2958.0
2013-07-23,87.0,88.0,88.0,88.0,0.0,239,21032.0
2013-07-22,92.0,88.0,87.0,87.0,0.0,670,58300.0
2013-07-16,90.0,92.0,90.0,92.0,0.0,212,19284.0
2013-07-15,90.0,91.0,90.0,90.0,0.0,266,24012.0
2013-07-11,91.0,90.0,90.0,90.0,0.0,100,9000.0
2013-07-10,84.0,92.0,85.0,91.0,0.0,105,9355.0
2013-07-08,83.0,84.0,84.0,84.0,0.0,31,2604.0
2013-07-07,84.0,83.0,83.0,83.0,0.0,352,29216.0
2013-07-02,86.0,85.0,84.0,84.0,0.0,2515,212065.0
2013-06-30,85.0,86.0,86.0,86.0,0.0,130,11180.0
2013-06-25,87.0,86.0,85.0,85.0,0.0,97,8270.0
2013-06-18,86.0,88.0,87.0,87.0,0.0,445,38982.0
2013-06-16,85.0,86.0,86.0,86.0,0.0,89,7654.0
2013-06-12,85.0,85.0,84.0,85.0,0.0,267,22606.0
2013-06-11,84.0,85.0,85.0,85.0,0.0,1701,144585.0
2013-06-10,85.0,84.0,84.0,84.0,0.0,89,7476.0
2013-06-09,88.0,87.0,85.0,85.0,0.0,3620,310920.0
2013-06-06,91.0,91.0,88.0,88.0,0.0,676,60510.0
2013-06-05,91.0,91.0,90.0,91.0,0.0,172,15600.0
2013-06-04,94.0,93.0,91.0,91.0,0.0,194,17848.0
2013-06-03,98.0,97.0,94.0,94.0,0.0,391,37354.0
2013-06-02,102.0,101.0,98.0,98.0,0.0,1135,113090.0
2013-05-30,104.0,102.0,102.0,102.0,0.0,100,10200.0
2013-05-28,115.0,113.0,104.0,104.0,0.0,1535,161874.0
2013-05-15,119.0,117.0,115.0,115.0,0.0,20,2320.0
2013-05-12,121.0,119.0,119.0,119.0,0.0,90,10710.0
2013-04-30,123.0,121.0,121.0,121.0,0.0,100,12100.0
2013-04-25,125.0,123.0,123.0,123.0,0.0,30,3690.0
2012-06-28,127.0,125.0,125.0,125.0,0.0,89,11125.0
2012-06-07,129.0,127.0,127.0,127.0,0.0,2987,379349.0
2012-06-05,131.0,129.0,129.0,129.0,0.0,35,4515.0
2012-05-27,135.0,133.0,131.0,131.0,0.0,1150,150670.0
2012-05-23,135.0,137.0,135.0,135.0,0.0,1160,158900.0
2012-05-22,141.0,139.0,135.0,135.0,0.0,300,41100.0
2012-05-20,139.0,141.0,141.0,141.0,0.0,10,1410.0
2012-05-08,135.0,139.0,137.0,139.0,0.0,30,4130.0
2012-05-07,129.0,135.0,135.0,135.0,0.0,10,1350.0
2012-05-03,127.0,129.0,129.0,129.0,0.0,650,83850.0
2012-04-30,129.0,127.0,127.0,127.0,0.0,50,6350.0
2012-04-29,121.0,129.0,123.0,129.0,0.0,1880,240760.0
2012-04-26,117.0,121.0,119.0,121.0,0.0,40,4800.0
2012-04-25,115.0,117.0,117.0,117.0,0.0,300,35100.0
2012-04-24,109.0,115.0,111.0,115.0,0.0,50,5650.0
2012-04-22,107.0,109.0,109.0,109.0,0.0,4490,489410.0
2012-04-15,105.0,109.0,107.0,107.0,0.0,440,47500.0
2012-03-13,103.0,105.0,105.0,105.0,0.0,104,10920.0
2012-01-16,119.0,103.0,103.0,103.0,0.0,1508,155324.0
2012-01-04,120.0,119.0,119.0,119.0,0.0,100,11900.0
2012-01-03,121.0,121.0,120.0,120.0,0.0,374,45020.0
2012-01-02,125.0,123.0,121.0,121.0,0.0,210,25430.0
2012-01-01,121.0,125.0,101.0,125.0,0.0,1650,183196.0
2011-12-29,115.0,121.0,117.0,121.0,0.0,650,77250.0
2011-12-27,116.0,115.0,115.0,115.0,0.0,150,17250.0
