date,open,high,low,ltp,percent_change,qty,turnover
2016-06-06,214.0,235.0,217.0,235.0,0.0,17633,4050986.0
2016-06-05,222.0,220.0,211.0,214.0,0.0,1909,410706.0
2016-06-02,229.0,225.0,217.0,222.0,0.0,1327,297504.0
2016-06-01,225.0,229.0,217.0,229.0,0.0,2812,623108.0
2016-05-31,229.0,229.0,225.0,225.0,0.0,4333,982415.0
2016-05-30,229.0,229.0,221.0,229.0,0.0,3782,847689.0
2016-05-29,232.0,229.0,229.0,229.0,0.0,52,11908.0
2016-05-26,231.0,232.0,226.0,232.0,0.0,1795,411236.0
2016-05-25,232.0,232.0,226.0,231.0,0.0,7383,1685186.0
2016-05-24,229.0,233.0,226.0,232.0,0.0,5286,1211296.0
2016-05-23,225.0,229.0,225.0,229.0,0.0,1746,397262.0
2016-05-22,229.0,233.0,225.0,225.0,0.0,343,78459.0
2016-05-19,230.0,230.0,226.0,229.0,0.0,4422,1013366.0
2016-05-18,228.0,230.0,226.0,230.0,0.0,3217,736413.0
2016-05-17,226.0,234.0,226.0,228.0,0.0,6369,1468317.0
2016-05-16,232.0,234.0,225.0,226.0,0.0,4361,998330.0
2016-05-15,232.0,232.0,229.0,232.0,0.0,582,134001.0
2016-05-12,231.0,237.0,228.0,232.0,0.0,2062,476957.0
2016-05-11,240.0,241.0,231.0,231.0,0.0,10802,2563124.0
2016-05-10,233.0,244.0,237.0,240.0,0.0,15541,3731025.0
2016-05-09,225.0,233.0,225.0,233.0,0.0,14327,3280224.0
2016-05-08,221.0,234.0,218.0,225.0,0.0,3388,769808.0
2016-05-05,224.0,224.0,220.0,221.0,0.0,2110,468146.0
2016-05-04,225.0,226.0,222.0,224.0,0.0,782,176035.0
2016-05-03,222.0,230.0,218.0,225.0,0.0,5169,1160045.0
2016-05-02,228.0,227.0,222.0,222.0,0.0,1958,436961.0
2016-04-28,231.0,235.0,228.0,228.0,0.0,8911,2074346.0
2016-04-27,229.0,233.0,226.0,231.0,0.0,5981,1379982.0
2016-04-26,223.0,239.0,221.0,229.0,0.0,11944,2766451.0
2016-04-25,227.0,227.0,222.0,223.0,0.0,5070,1139086.0
2016-04-24,215.0,227.0,219.0,227.0,0.0,4782,1066686.0
2016-04-21,217.0,221.0,211.0,215.0,0.0,18127,3872439.0
2016-04-20,215.0,219.0,210.0,217.0,0.0,7655,1631525.0
2016-04-19,220.0,220.0,215.0,215.0,0.0,1903,416013.0
2016-04-18,217.0,222.0,213.0,220.0,0.0,364,80064.0
2016-04-17,221.0,221.0,217.0,217.0,0.0,523,115491.0
2016-04-14,213.0,221.0,217.0,221.0,0.0,33,7213.0
2016-04-12,210.0,214.0,213.0,213.0,0.0,183,39145.0
2016-04-11,213.0,211.0,210.0,210.0,0.0,1209,254090.0
2016-04-10,211.0,217.0,210.0,213.0,0.0,2864,604330.0
2016-04-06,219.0,217.0,211.0,211.0,0.0,553,118165.0
2016-04-05,211.0,219.0,215.0,219.0,0.0,113,24347.0
2016-04-04,215.0,211.0,210.0,211.0,0.0,841,177401.0
2016-04-03,210.0,215.0,210.0,215.0,0.0,1030,220840.0
2016-03-31,217.0,215.0,208.0,210.0,0.0,1792,380488.0
2016-03-30,212.0,217.0,212.0,217.0,0.0,2736,588841.0
2016-03-29,216.0,212.0,212.0,212.0,0.0,200,42400.0
2016-03-28,216.0,216.0,212.0,216.0,0.0,59,12700.0
2016-03-27,221.0,220.0,215.0,216.0,0.0,1579,342176.0
2016-03-24,218.0,222.0,217.0,221.0,0.0,2991,652740.0
2016-03-23,219.0,218.0,218.0,218.0,0.0,1188,258984.0
2016-03-21,223.0,222.0,214.0,219.0,0.0,334,73216.0
2016-03-20,215.0,223.0,219.0,223.0,0.0,1580,351080.0
2016-03-17,214.0,217.0,213.0,215.0,0.0,1651,354493.0
2016-03-16,215.0,214.0,210.0,214.0,0.0,1122,238198.0
2016-03-15,223.0,219.0,215.0,215.0,0.0,600,129400.0
2016-03-13,218.0,223.0,215.0,223.0,0.0,240,52220.0
2016-03-10,210.0,218.0,206.0,218.0,0.0,1587,330790.0
2016-03-06,210.0,215.0,210.0,210.0,0.0,1377,290075.0
2016-03-03,209.0,211.0,206.0,210.0,0.0,180,37700.0
2016-03-02,209.0,209.0,209.0,209.0,0.0,52,10868.0
2016-03-01,206.0,210.0,209.0,209.0,0.0,143,29980.0
2016-02-29,211.0,207.0,206.0,206.0,0.0,781,161397.0
2016-02-28,215.0,212.0,206.0,211.0,0.0,893,187376.0
2016-02-25,216.0,215.0,208.0,215.0,0.0,2258,478442.0
2016-02-24,214.0,216.0,206.0,216.0,0.0,2283,482773.0
2016-02-23,218.0,214.0,211.0,214.0,0.0,390,83040.0
