date,open,high,low,ltp,percent_change,qty,turnover
2013-11-07,179.0,196.0,182.0,196.0,0.0,75451,14742292.0
2013-11-06,167.0,179.0,164.0,179.0,0.0,97399,16764975.0
2013-10-31,154.0,167.0,154.0,167.0,0.0,68958,11072554.0
2013-10-30,153.0,155.0,151.0,154.0,0.0,10324,1586575.0
2013-10-29,152.0,155.0,151.0,153.0,0.0,14758,2270688.0
2013-10-28,149.0,154.0,150.0,152.0,0.0,3849,581385.0
2013-10-27,154.0,155.0,149.0,149.0,0.0,2985,456505.0
2013-10-24,155.0,157.0,151.0,154.0,0.0,8918,1382264.0
2013-10-23,154.0,157.0,153.0,155.0,0.0,6978,1076439.0
2013-10-22,158.0,157.0,154.0,154.0,0.0,4699,730935.0
2013-10-21,158.0,163.0,155.0,158.0,0.0,7067,1112378.0
2013-10-20,151.0,158.0,151.0,158.0,0.0,7684,1202710.0
2013-10-17,152.0,154.0,151.0,151.0,0.0,862,131097.0
2013-10-10,155.0,158.0,152.0,152.0,0.0,1954,305312.0
2013-10-09,155.0,155.0,153.0,155.0,0.0,7905,1218874.0
2013-10-08,153.0,156.0,150.0,155.0,0.0,16044,2477288.0
2013-10-07,150.0,153.0,147.0,153.0,0.0,23571,3535857.0
2013-10-06,149.0,150.0,147.0,150.0,0.0,7427,1112053.0
2013-10-03,151.0,150.0,146.0,149.0,0.0,15442,2289204.0
2013-10-02,147.0,151.0,146.0,151.0,0.0,7225,1060845.0
2013-10-01,145.0,147.0,144.0,147.0,0.0,7110,1035608.0
2013-09-30,146.0,148.0,144.0,145.0,0.0,12970,1890740.0
2013-09-29,149.0,149.0,145.0,146.0,0.0,6833,1005489.0
2013-09-26,149.0,149.0,145.0,149.0,0.0,10036,1467367.0
2013-09-25,150.0,149.0,144.0,149.0,0.0,5569,821096.0
2013-09-24,145.0,150.0,145.0,150.0,0.0,1775,261912.0
2013-09-23,150.0,149.0,145.0,145.0,0.0,8939,1309760.0
2013-09-22,157.0,158.0,148.0,150.0,0.0,8039,1206179.0
2013-09-19,163.0,163.0,154.0,157.0,0.0,23239,3710179.0
2013-09-17,160.0,164.0,156.0,163.0,0.0,60654,9756328.0
2013-09-16,159.0,161.0,154.0,160.0,0.0,57730,9182966.0
2013-09-15,158.0,161.0,152.0,159.0,0.0,52369,8388734.0
2013-09-12,153.0,159.0,152.0,158.0,0.0,41278,6407077.0
2013-09-11,152.0,159.0,152.0,153.0,0.0,42877,6566777.0
2013-09-10,149.0,154.0,146.0,152.0,0.0,50652,7664390.0
2013-09-09,147.0,152.0,145.0,149.0,0.0,36383,5432839.0
2013-09-08,141.0,147.0,141.0,147.0,0.0,27458,3999503.0
2013-09-05,141.0,143.0,139.0,141.0,0.0,8195,1153366.0
2013-09-04,141.0,142.0,140.0,141.0,0.0,8759,1228762.0
2013-09-03,143.0,142.0,140.0,141.0,0.0,5994,844280.0
2013-09-02,142.0,143.0,141.0,143.0,0.0,8535,1211968.0
2013-09-01,143.0,143.0,138.0,142.0,0.0,7183,1019854.0
2013-08-29,143.0,145.0,140.0,143.0,0.0,9011,1278524.0
2013-08-27,144.0,144.0,142.0,143.0,0.0,3314,474705.0
2013-08-26,144.0,145.0,142.0,144.0,0.0,5620,807026.0
2013-08-25,147.0,147.0,143.0,144.0,0.0,12315,1779287.0
2013-08-20,145.0,147.0,143.0,147.0,0.0,9693,1406608.0
2013-08-19,144.0,146.0,144.0,145.0,0.0,12143,1753766.0
2013-08-18,147.0,147.0,143.0,144.0,0.0,10143,1465527.0
2013-08-15,149.0,148.0,146.0,147.0,0.0,14073,2066463.0
2013-08-14,146.0,151.0,146.0,149.0,0.0,15250,2258309.0
2013-08-13,148.0,148.0,144.0,146.0,0.0,13109,1913926.0
2013-08-12,154.0,152.0,146.0,148.0,0.0,16106,2370170.0
