date,open,high,low,ltp,percent_change,qty,turnover
2020-07-06,153.0,153.0,147.0,147.0,-5.16,339,50403.0
2020-01-15,145.0,155.0,143.0,155.0,8.39,107359,15974357.0
2020-01-14,143.0,143.0,140.0,143.0,-0.69,29349,4155078.0
2020-01-13,146.0,150.0,143.0,144.0,0.0,39430,5697315.0
2020-01-12,142.0,144.0,141.0,144.0,1.41,37825,5381690.0
2020-01-09,142.0,143.0,141.0,142.0,-0.7,6170,872115.0
2020-01-08,147.0,148.0,142.0,143.0,-2.72,19922,2870047.0
2020-01-07,144.0,148.0,143.0,147.0,2.08,120579,17499464.0
2020-01-06,144.0,146.0,142.0,144.0,-1.37,47535,6818998.0
2020-01-05,139.0,146.0,139.0,146.0,4.29,96372,13839045.0
2020-01-02,137.0,140.0,137.0,140.0,2.19,38193,5326650.0
2020-01-01,139.0,139.0,136.0,137.0,-0.72,18157,2494751.0
2019-12-31,135.0,139.0,135.0,138.0,2.22,36731,5051225.0
2019-12-30,135.0,137.0,134.0,135.0,0.0,10957,1488285.0
2019-12-29,135.0,137.0,134.0,135.0,-0.74,24451,3307481.0
2019-12-26,134.0,137.0,134.0,136.0,0.74,13648,1855153.0
2019-12-25,136.0,137.0,134.0,135.0,-0.74,27160,3664261.0
2019-12-24,141.0,141.0,134.0,136.0,-2.16,57183,7845163.0
2019-12-23,135.0,141.0,135.0,139.0,3.73,95077,13184789.0
2019-12-22,130.0,139.0,129.0,134.0,3.88,73787,9856996.0
2019-12-19,128.0,129.0,127.0,129.0,0.0,6840,875455.0
2019-12-18,128.0,130.0,127.0,129.0,-0.77,63317,8082426.0
2019-12-17,128.0,131.0,127.0,130.0,0.78,38494,4979505.0
2019-12-16,127.0,132.0,127.0,129.0,2.38,31411,4039758.0
2019-12-15,127.0,131.0,126.0,126.0,0.8,30051,3851206.0
2019-12-12,128.0,128.0,123.0,125.0,-0.79,5224,650590.0
2019-12-11,126.0,126.0,124.0,126.0,1.61,7676,954022.0
2019-12-10,124.0,125.0,124.0,124.0,-1.59,4429,550236.0
2019-12-09,124.0,126.0,123.0,126.0,3.28,7532,940110.0
2019-12-08,123.0,123.0,122.0,122.0,-0.81,4790,587620.0
2019-12-05,122.0,124.0,120.0,123.0,0.82,5673,688987.0
2019-12-04,121.0,122.0,121.0,122.0,0.0,1522,185262.0
2019-12-03,121.0,122.0,120.0,122.0,0.83,6921,834574.0
2019-12-02,122.0,122.0,120.0,121.0,0.0,4503,543886.0
2019-12-01,119.0,122.0,119.0,121.0,0.0,972,118329.0
2019-11-28,122.0,123.0,121.0,121.0,-0.82,2981,362204.0
2019-11-27,120.0,122.0,120.0,122.0,0.83,7790,943829.0
2019-11-26,121.0,122.0,120.0,121.0,-0.82,6776,817504.0
2019-11-25,120.0,124.0,120.0,122.0,0.0,6708,814278.0
