date,open,high,low,ltp,percent_change,qty,turnover
2015-10-07,210.0,230.0,214.0,230.0,0.0,50,11100.0
2015-10-06,191.0,210.0,194.0,210.0,0.0,60,12130.0
2015-10-01,185.0,191.0,188.0,191.0,0.0,20,3790.0
2015-09-30,182.0,185.0,185.0,185.0,0.0,10,1850.0
2012-10-14,106.0,105.0,105.0,105.0,0.0,10,1050.0
2012-10-11,110.0,108.0,104.0,106.0,0.0,110,11640.0
2012-10-10,106.0,110.0,106.0,110.0,0.0,500,53810.0
2012-10-09,107.0,108.0,106.0,106.0,0.0,630,67520.0
2012-10-08,103.0,109.0,101.0,107.0,0.0,600,63450.0
2012-10-07,105.0,106.0,102.0,103.0,0.0,1570,161640.0
2012-10-04,105.0,106.0,103.0,105.0,0.0,530,55630.0
2012-10-03,107.0,106.0,105.0,105.0,0.0,100,10510.0
2012-10-02,108.0,108.0,107.0,107.0,0.0,110,11780.0
2012-10-01,105.0,108.0,106.0,108.0,0.0,730,78530.0
2012-10-01,105.0,108.0,106.0,108.0,0.0,730,78530.0
2012-09-30,107.0,105.0,105.0,105.0,0.0,550,57750.0
2012-09-26,103.0,113.0,105.0,112.0,0.0,3210,360010.0
2012-09-25,94.0,103.0,95.0,103.0,0.0,90,8930.0
2012-09-23,93.0,94.0,93.0,94.0,0.0,170,15910.0
2012-09-20,93.0,93.0,92.0,93.0,0.0,70,6450.0
2012-09-19,90.0,93.0,91.0,93.0,0.0,70,6400.0
2012-09-17,91.0,90.0,89.0,90.0,0.0,450,40490.0
2012-09-10,92.0,91.0,91.0,91.0,0.0,40,3640.0
2012-09-09,90.0,92.0,90.0,92.0,0.0,50,4550.0
2012-09-06,89.0,90.0,89.0,90.0,0.0,250,22450.0
2012-09-05,92.0,91.0,89.0,89.0,0.0,100,9040.0
2012-09-04,91.0,92.0,91.0,92.0,0.0,100,9140.0
2012-09-03,91.0,92.0,90.0,91.0,0.0,120,10870.0
2012-09-02,90.0,91.0,91.0,91.0,0.0,50,4550.0
2012-08-30,91.0,91.0,90.0,90.0,0.0,2720,244920.0
2012-08-29,91.0,92.0,91.0,91.0,0.0,240,21950.0
2012-08-28,89.0,91.0,90.0,91.0,0.0,130,11760.0
2012-08-27,90.0,89.0,88.0,89.0,0.0,180,15970.0
2012-08-26,91.0,90.0,90.0,90.0,0.0,270,24300.0
2012-08-23,97.0,96.0,91.0,91.0,0.0,720,67290.0
2012-08-19,98.0,97.0,97.0,97.0,0.0,70,6790.0
2012-08-16,97.0,98.0,98.0,98.0,0.0,10,980.0
2012-08-08,96.0,98.0,96.0,97.0,0.0,840,81660.0
2012-08-07,94.0,97.0,95.0,96.0,0.0,1030,98480.0
2012-08-06,93.0,94.0,94.0,94.0,0.0,60,5640.0
2012-08-05,92.0,93.0,93.0,93.0,0.0,40,3720.0
2012-08-01,93.0,92.0,91.0,92.0,0.0,180,16550.0
2012-07-31,94.0,93.0,92.0,93.0,0.0,90,8360.0
