date,open,high,low,ltp,percent_change,qty,turnover
2026-08-11,1050.8,1050.8,1050.8,1050.8,-2.79,25,26270.0
2026-08-03,1081.0,1081.0,1081.0,1081.0,-1.74,25,27025.0
2026-07-29,1120.0,1130.0,1100.1,1100.1,0.01,5135,5801577.5
2026-07-28,1100.4,1100.4,1100.0,1100.0,-0.04,75,82510.0
2026-07-27,1100.4,1100.4,1100.4,1100.4,-0.42,300,330120.0
2026-07-24,1105.0,1105.0,1105.0,1105.0,0.91,57,62985.0
2026-07-22,1095.0,1095.0,1095.0,1095.0,-0.45,25,27375.0
2026-07-21,1085.0,1100.0,1085.0,1100.0,0.0,105,114325.0
2026-07-20,1099.0,1100.0,1099.0,1100.0,0.8,575,632475.0
2026-07-17,1091.3,1091.3,1091.3,1091.3,-3.0,25,27282.5
2026-07-16,1125.0,1125.0,1125.0,1125.0,2.27,10,11250.0
2026-07-15,1095.0,1100.0,1095.0,1100.0,0.0,5025,5527375.0
2026-07-10,1095.0,1100.0,1095.0,1100.0,1.82,45,49375.0
2026-07-08,1080.3,1080.3,1080.3,1080.3,-0.16,25,27007.5
2026-07-07,1089.9,1089.9,1081.1,1082.1,-0.27,70,75838.5
2026-07-03,1081.0,1085.0,1081.0,1085.0,-0.09,55,59555.0
2026-07-02,1086.0,1086.0,1086.0,1086.0,-0.37,25,27150.0
2026-07-01,1090.0,1090.0,1090.0,1090.0,-1.0,25,27250.0
2026-06-30,1101.0,1101.0,1101.0,1101.0,0.09,25,27525.0
2026-06-26,1100.0,1100.0,1100.0,1100.0,1.2,300,330000.0
2026-06-25,1087.0,1087.0,1087.0,1087.0,0.46,15,16305.0
2026-06-24,1081.1,1082.0,1081.1,1082.0,-0.01,50,54077.5
2026-06-23,1090.0,1090.1,1082.1,1082.1,1.3,65,70623.0
2026-06-22,1078.0,1078.0,1073.0,1068.2,-2.89,200,214941.0
2026-06-19,1100.0,1100.0,1100.0,1100.0,-2.22,105,115500.0
2026-06-17,1125.0,1125.0,1125.0,1125.0,0.12,90000,101250000.0
2026-06-16,1123.0,1123.7,1123.0,1123.7,3.0,275,309000.0
2026-06-15,1091.0,1091.0,1091.0,1091.0,-1.92,50,54550.0
2026-06-12,1112.4,1112.4,1112.4,1112.4,3.0,55,61182.0
2026-06-11,1050.0,1080.0,1050.0,1080.0,-0.46,40,42900.0
2026-06-10,1050.0,1085.0,1050.0,1085.0,-1.36,85,91787.5
2026-06-09,1100.0,1100.0,1100.0,1100.0,-0.45,25,27500.0
2026-06-08,1137.0,1137.0,1105.0,1105.0,-3.49,221,250957.0
2026-06-05,1142.0,1145.0,1130.0,1145.0,0.0,110185,126159499.0
2026-06-04,1100.0,1150.0,1100.0,1145.0,5.42,302314,340153074.3
2026-06-03,1086.1,1086.1,1086.1,1086.1,-0.52,30,32583.0
2026-06-01,1091.8,1091.8,1091.8,1091.8,3.0,25,27295.0
2026-05-27,1090.0,1090.0,1060.0,1060.0,-4.07,3162,3355062.5
2026-05-26,1077.3,1105.0,1077.3,1105.0,2.48,75,82057.5
2026-05-22,1078.3,1078.3,1078.3,1078.3,-0.26,25,26957.5
2026-05-21,1080.0,1082.0,1080.0,1081.1,0.1,55,59455.5
2026-05-19,1080.0,1080.0,1080.0,1080.0,0.74,25,27000.0
2026-05-18,1072.1,1072.1,1072.1,1072.1,-0.73,25,26802.5
2026-05-14,1095.0,1100.0,1080.0,1080.0,0.47,180,195842.5
2026-05-13,1076.0,1076.0,1076.0,1075.0,-2.09,25,26895.0
2026-05-12,1072.1,1098.0,1072.1,1098.0,2.43,232,253148.5
2026-05-11,1072.1,1072.1,1072.0,1072.0,-0.1,50,53604.0
