date,open,high,low,ltp,percent_change,qty,turnover
2025-02-12,408.0,408.0,408.0,408.0,0.0,8704,3551232.0
2023-10-11,200.0,200.0,200.0,200.0,0.0,16275,3255000.0
2023-06-19,172.0,172.0,172.0,172.0,0.0,27718,4767496.0
2022-06-22,250.0,250.0,250.0,250.0,0.0,60000,15000000.0
2022-05-25,250.0,250.0,250.0,250.0,-0.4,10000,2500000.0
2022-03-28,251.0,251.0,251.0,251.0,0.0,10000,2510000.0
2022-03-22,251.0,251.0,251.0,251.0,0.0,17500,4392500.0
2022-03-21,251.0,251.0,251.0,251.0,0.0,35000,8785000.0
2022-03-15,251.0,251.0,251.0,251.0,0.0,7500,1882500.0
2022-03-13,251.0,251.0,251.0,251.0,0.0,10000,2510000.0
2021-12-12,305.0,305.0,305.0,305.0,0.0,21500,6557500.0
2021-09-01,579.0,579.0,579.0,579.0,-1.86,50000,28950000.0
2021-05-24,342.0,342.0,342.0,342.0,-1.72,100000,34200000.0
2021-01-07,194.0,194.0,194.0,194.0,0.0,13000,2522000.0
2019-09-03,155.0,155.0,155.0,155.0,0.0,31400,4867000.0
2019-08-12,155.0,155.0,155.0,155.0,0.0,33660,5217300.0
2019-07-15,155.0,155.0,155.0,155.0,-3.13,820,127100.0
2019-03-07,160.0,160.0,160.0,160.0,0.0,100,16000.0
2019-01-02,160.0,160.0,160.0,160.0,-41.82,25000,4000000.0
2017-04-10,275.0,275.0,275.0,275.0,0.0,6000,1650000.0
2017-03-05,275.0,275.0,275.0,275.0,0.0,6000,1650000.0
2017-02-06,280.0,275.0,275.0,275.0,0.0,8000,2200000.0
2017-02-02,285.0,280.0,280.0,280.0,0.0,5000,1400000.0
2017-02-01,290.0,285.0,285.0,285.0,0.0,5000,1425000.0
2017-01-31,295.0,290.0,290.0,290.0,0.0,5000,1450000.0
2017-01-30,301.0,295.0,295.0,295.0,0.0,5000,1475000.0
2017-01-26,313.0,307.0,301.0,301.0,0.0,10000,3040000.0
2016-12-20,319.0,313.0,313.0,313.0,0.0,9368,2932184.0
2016-12-14,325.0,319.0,319.0,319.0,0.0,4000,1276000.0
2016-12-12,331.0,325.0,325.0,325.0,0.0,4000,1300000.0
2016-12-11,337.0,331.0,331.0,331.0,0.0,4000,1324000.0
2016-09-21,364.0,357.0,337.0,337.0,0.0,2000,693500.0
2016-09-14,400.0,392.0,364.0,364.0,0.0,7000,2674000.0
2016-09-08,400.0,400.0,400.0,400.0,0.0,5087,2034800.0
2016-08-24,405.0,400.0,400.0,400.0,0.0,2500,1000000.0
2016-03-27,350.0,350.0,350.0,350.0,0.0,25000,8750000.0
2016-03-24,350.0,343.0,315.0,315.0,0.0,25000,7875800.0
2015-06-23,277.0,277.0,275.0,275.0,0.0,20250,5568790.0
2014-12-24,320.0,320.0,320.0,320.0,0.0,7000,2240000.0
2014-12-04,325.0,320.0,320.0,320.0,0.0,15000,4800000.0
2014-08-25,325.0,325.0,325.0,325.0,0.0,500,162500.0
2014-07-13,320.0,325.0,325.0,325.0,0.0,28249,9180925.0
