date,open,high,low,ltp,percent_change,qty,turnover
2015-12-27,191.0,191.0,188.0,190.0,0.0,1048,199144.0
2015-12-24,188.0,191.0,191.0,191.0,0.0,10,1910.0
2015-12-23,185.0,188.0,188.0,188.0,0.0,164,30832.0
2015-12-22,183.0,186.0,185.0,185.0,0.0,1575,292450.0
2015-12-06,180.0,183.0,183.0,183.0,0.0,500,91500.0
2015-11-24,181.0,180.0,180.0,180.0,0.0,200,36000.0
2015-11-19,184.0,181.0,181.0,181.0,0.0,100,18100.0
2015-11-18,181.0,184.0,184.0,184.0,0.0,80,14720.0
2015-11-15,180.0,181.0,181.0,181.0,0.0,200,36200.0
2015-11-10,183.0,180.0,180.0,180.0,0.0,100,18000.0
2015-11-09,183.0,186.0,183.0,183.0,0.0,120,22020.0
2015-11-08,180.0,183.0,183.0,183.0,0.0,50,9150.0
2015-11-05,168.0,180.0,171.0,180.0,0.0,270,47340.0
2015-11-03,174.0,171.0,168.0,168.0,0.0,410,70080.0
2015-11-02,181.0,179.0,167.0,174.0,0.0,4129,712979.0
2015-11-01,187.0,184.0,181.0,181.0,0.0,20,3650.0
2015-10-29,193.0,191.0,187.0,187.0,0.0,600,113600.0
2015-10-28,199.0,196.0,193.0,193.0,0.0,110,21530.0
2015-10-19,196.0,199.0,199.0,199.0,0.0,250,49750.0
2015-10-18,200.0,196.0,196.0,196.0,0.0,100,19600.0
2015-10-15,197.0,200.0,200.0,200.0,0.0,79,15800.0
2015-10-11,196.0,197.0,194.0,197.0,0.0,700,136400.0
2015-10-07,200.0,200.0,196.0,196.0,0.0,600,118000.0
2015-10-05,201.0,204.0,200.0,200.0,0.0,200,40400.0
2015-10-04,183.0,201.0,186.0,201.0,0.0,2336,460910.0
2015-10-01,185.0,183.0,183.0,183.0,0.0,100,18300.0
2015-09-30,203.0,211.0,207.0,211.0,0.0,260,54220.0
2015-09-28,210.0,207.0,203.0,203.0,0.0,148,30220.0
2015-09-24,208.0,210.0,208.0,210.0,0.0,600,125800.0
2015-09-23,208.0,210.0,208.0,208.0,0.0,900,188000.0
2015-09-17,209.0,208.0,205.0,208.0,0.0,3000,620500.0
2015-09-16,202.0,209.0,205.0,209.0,0.0,4924,1018492.0
2015-09-02,206.0,214.0,202.0,202.0,0.0,1850,379500.0
2015-09-01,208.0,206.0,206.0,206.0,0.0,86,17716.0
2015-08-31,207.0,215.0,208.0,208.0,0.0,1753,369887.0
2015-08-26,211.0,207.0,207.0,207.0,0.0,200,41400.0
2015-08-25,215.0,211.0,211.0,211.0,0.0,100,21100.0
2015-08-19,211.0,215.0,215.0,215.0,0.0,100,21500.0
2015-08-12,215.0,211.0,211.0,211.0,0.0,200,42200.0
