date,open,high,low,ltp,percent_change,qty,turnover
2022-05-05,511.0,512.0,494.0,500.0,-4.03,8992,4514970.7
2022-05-04,529.0,530.0,505.0,521.0,-1.68,5832,3014446.7
2022-05-02,540.0,540.0,525.0,529.9,-2.05,6419,3395522.0
2022-04-28,551.8,555.0,525.3,541.0,-0.73,6891,3710565.0
2022-04-27,544.0,549.8,533.3,545.0,0.18,2199,1195052.2
2022-04-26,538.0,544.0,530.0,544.0,-0.18,2412,1292715.5
2022-04-25,550.0,560.0,536.0,545.0,0.12,8530,4665129.5
2022-04-24,550.0,577.0,545.0,577.0,5.29,26060,14674575.0
2022-04-21,547.0,560.0,530.1,548.0,-1.79,7149,3872807.3
2022-04-20,562.0,562.0,535.2,558.0,1.27,15585,8429880.8
2022-04-19,560.0,568.0,550.0,551.0,-2.11,10778,6048961.1
2022-04-18,577.0,581.0,555.0,562.9,-2.56,12205,6886954.5
2022-04-17,585.0,586.0,573.0,577.7,-2.66,6510,3766565.2
2022-04-13,585.0,593.5,573.3,593.5,1.45,10581,6189185.8
2022-04-12,608.9,608.9,580.0,585.0,-2.01,7076,4127149.1
2022-04-11,612.0,623.0,591.0,597.0,-2.32,12781,7680440.3
2022-04-07,609.9,614.0,597.0,611.2,2.04,13831,8365966.9
2022-04-06,590.0,607.0,584.3,599.0,0.5,8271,4950579.1
2022-04-05,602.3,602.3,585.0,596.0,-2.45,37085,21934861.4
2022-04-04,617.7,627.0,611.0,611.0,-1.97,15427,9506988.0
2022-04-03,640.0,640.0,623.0,623.3,-2.61,11815,7395637.2
2022-03-31,645.0,645.0,622.0,640.0,-0.62,143759,89577366.6
2022-03-30,635.0,647.7,617.5,644.0,0.78,49397,30879243.0
2022-03-29,650.0,650.0,636.1,639.0,-1.54,9096,5825480.1
2022-03-28,670.0,670.0,643.0,649.0,-2.39,57313,37155991.1
2022-03-27,672.0,699.1,654.0,664.9,0.9,244345,163147067.0
2022-03-24,646.9,660.0,633.2,659.0,2.33,78605,50828535.7
2022-03-23,639.0,650.0,636.2,644.0,-0.31,80405,51275473.1
2022-03-22,658.0,658.0,630.0,646.0,-0.15,35659,22769243.0
2022-03-21,626.1,648.0,622.7,647.0,3.35,17298,10938844.0
