date,open,high,low,ltp,percent_change,qty,turnover
2022-05-08,338.5,338.5,325.2,325.2,-5.85,435,143740.0
2022-05-05,364.5,364.5,345.4,345.4,-7.13,1327,467805.8
2022-05-04,387.1,387.1,371.9,371.9,-5.82,222,84213.8
2022-04-28,381.0,394.9,381.0,394.9,1.7,838,319417.0
2022-04-27,388.3,388.3,388.3,388.3,1.92,10,3883.0
2022-04-26,388.3,388.6,381.0,381.0,-0.03,611,237163.0
2022-04-25,404.7,404.7,381.1,381.1,-7.7,730,278752.0
2022-04-24,396.0,420.2,382.4,412.9,2.2,3311,1311737.7
2022-04-20,388.9,404.0,366.4,404.0,1.81,550,215647.0
2022-04-19,381.4,396.8,373.9,396.8,1.98,780,293493.0
2022-04-18,397.0,397.0,389.1,389.1,-1.99,320,124596.0
2022-04-17,405.0,405.0,397.0,397.0,-2.7,520,207420.0
2022-04-13,400.0,408.0,400.0,408.0,2.0,521,208560.0
2022-04-12,424.0,424.0,400.0,400.0,-5.88,780,321127.0
2022-04-11,441.6,441.6,425.0,425.0,-1.85,397,170218.8
2022-04-07,433.0,433.0,433.0,433.0,-1.81,10,4330.0
2022-03-31,441.0,441.0,441.0,441.0,-2.0,10,4410.0
2022-03-30,431.0,450.0,430.0,450.0,4.34,819,357116.4
2022-03-29,432.0,432.0,431.3,431.3,-1.98,500,215867.0
2022-03-28,442.0,454.0,427.0,440.0,-2.44,2797,1224600.0
2022-03-27,480.0,499.4,442.9,451.0,-4.19,2414,1133402.6
2022-03-24,452.5,470.7,452.5,470.7,6.09,5510,2588502.0
2022-03-23,446.0,463.8,435.0,443.7,1.07,2481,1101793.0
2022-03-22,446.6,446.6,431.0,439.0,-3.66,9058,3926912.8
2022-03-21,464.9,464.9,455.7,455.7,-3.92,20,9206.0
2022-03-15,427.1,474.3,427.0,474.3,8.98,5563,2404058.6
2022-03-14,450.0,450.0,435.2,435.2,-1.98,20,8852.0
2022-03-13,436.7,454.5,436.7,444.0,-0.36,2241,1008142.6
2022-03-10,455.0,455.0,437.0,445.6,-0.93,70,30945.0
2022-03-09,458.9,458.9,449.8,449.8,-0.11,20,9087.0
2022-03-07,443.0,450.3,442.0,450.3,-0.16,130,57644.0
2022-03-06,427.0,451.0,427.0,451.0,3.63,705,301832.0
2022-03-02,440.0,444.0,423.1,435.2,-1.63,6380,2760936.0
2022-02-28,460.6,460.6,442.4,442.4,-5.85,30,13544.0
2022-02-27,435.3,469.9,432.5,469.9,5.88,505,221799.5
2022-02-24,461.8,461.8,435.1,443.8,-1.99,1582,698958.2
2022-02-23,470.0,470.0,452.8,452.8,-3.66,4562,2068471.9
2022-02-22,473.4,473.4,464.0,470.0,-2.69,547,257115.0
2022-02-21,465.0,483.0,455.7,483.0,1.81,366,170458.9
2022-02-20,474.4,474.4,474.4,474.4,-1.98,10,4744.0
2022-02-17,479.6,484.0,479.0,484.0,2.93,863,414357.0
2022-02-16,500.0,510.0,470.2,470.2,-5.96,1477,713568.4
2022-02-15,476.0,504.0,471.0,500.0,3.09,3428,1691246.0
2022-02-14,477.3,494.9,458.7,485.0,-0.41,1826,883300.0
2022-02-13,499.0,499.0,460.0,487.0,-0.59,7002,3287103.0
2022-02-10,455.8,493.3,455.8,489.9,5.33,41291,19844873.8
2022-02-09,472.3,473.0,463.0,465.1,-3.49,4074,1915359.4
2022-02-08,463.0,481.9,445.0,481.9,6.15,4428,2042516.5
2022-02-07,454.0,469.2,451.0,454.0,1.79,5164,2394259.3
2022-02-06,459.0,478.3,443.3,446.0,-1.2,2809,1287843.0
2022-02-03,467.0,470.0,451.4,451.4,-3.55,1831,855390.6
2022-02-01,475.0,475.0,442.5,468.0,-0.43,743,336136.5
2022-01-31,466.1,474.0,451.4,470.0,2.84,5017,2311871.5
2022-01-30,464.2,464.2,456.0,457.0,0.42,1668,762510.0
2022-01-27,514.6,514.6,454.2,455.1,-9.81,10412,4916095.0
2022-01-26,458.7,514.8,432.5,504.6,7.82,4540,2069775.6
2022-01-25,442.4,468.0,433.6,468.0,3.68,4541,2044987.0
2022-01-24,458.6,469.0,443.0,451.4,-3.53,5216,2371223.1
2022-01-23,450.8,468.9,443.2,467.9,5.86,3587,1653270.1
2022-01-20,450.8,450.8,441.8,442.0,-3.91,767,344418.0
2022-01-19,441.1,468.1,441.1,460.0,2.22,3654,1657290.1
2022-01-18,445.8,463.0,440.0,450.0,2.95,39059,17401271.5
2022-01-17,444.0,444.0,436.3,437.1,0.23,6674,2935849.0
2022-01-16,450.0,461.5,436.1,436.1,-3.62,9377,4215358.2
2022-01-13,440.0,452.5,434.9,452.5,4.02,6011,2691277.3
2022-01-12,430.0,450.7,430.0,435.0,2.35,6045,2661615.0
2022-01-11,420.0,454.1,419.5,425.0,-0.7,12270,5362992.9
2022-01-10,406.1,428.0,406.1,428.0,3.38,1257,530135.7
2022-01-09,417.0,417.0,414.0,414.0,1.1,84,34926.0
2022-01-06,409.9,417.8,409.5,409.5,-2.08,31,12781.5
2022-01-05,402.5,418.2,394.5,418.2,1.83,6706,2711142.5
2022-01-04,435.2,435.2,410.7,410.7,-7.5,1542,635308.0
2022-01-03,430.0,445.0,420.7,444.0,1.39,5637,2390868.0
2022-01-02,421.0,437.9,412.5,437.9,6.08,5115,2191362.5
2021-12-29,396.9,412.8,389.1,412.8,1.95,290,113169.0
