date,open,high,low,ltp,percent_change,qty,turnover
2015-09-06,301.0,316.0,295.0,316.0,0.0,8748,2705406.0
2015-09-03,304.0,304.0,296.0,301.0,0.0,2823,848514.0
2015-09-02,307.0,313.0,304.0,304.0,0.0,1600,491304.0
2015-09-01,306.0,314.0,301.0,307.0,0.0,5135,1572471.0
2015-08-31,300.0,306.0,295.0,306.0,0.0,769,234455.0
2015-08-27,302.0,304.0,300.0,300.0,0.0,1297,390668.0
2015-08-26,300.0,309.0,300.0,302.0,0.0,1489,450889.0
2015-08-25,305.0,300.0,300.0,300.0,0.0,352,105600.0
2015-08-24,294.0,308.0,295.0,305.0,0.0,2105,635719.0
2015-08-23,293.0,295.0,287.0,294.0,0.0,1051,306027.0
2015-08-20,295.0,296.0,290.0,293.0,0.0,1366,398488.0
2015-08-19,296.0,301.0,291.0,295.0,0.0,3598,1059128.0
2015-08-18,305.0,307.0,296.0,296.0,0.0,1172,352988.0
2015-08-17,299.0,312.0,304.0,305.0,0.0,4334,1338650.0
2015-08-16,290.0,301.0,265.0,299.0,0.0,3331,971935.0
2015-08-13,290.0,295.0,290.0,290.0,0.0,2180,635989.0
2015-08-12,300.0,300.0,290.0,290.0,0.0,473,140858.0
2015-08-11,308.0,302.0,297.0,300.0,0.0,738,221375.0
2015-08-10,309.0,309.0,300.0,308.0,0.0,9452,2846600.0
2015-08-09,316.0,312.0,305.0,309.0,0.0,4304,1325391.0
2015-08-06,310.0,322.0,315.0,316.0,0.0,4667,1482965.0
2015-08-05,310.0,314.0,304.0,310.0,0.0,1917,587621.0
2015-08-04,315.0,319.0,300.0,310.0,0.0,2286,717706.0
2015-08-03,310.0,316.0,310.0,315.0,0.0,1583,495707.0
2015-08-02,312.0,310.0,301.0,310.0,0.0,790,243218.0
2015-07-30,310.0,316.0,304.0,312.0,0.0,1170,362156.0
2015-07-29,300.0,310.0,295.0,310.0,0.0,1111,338853.0
2015-07-28,309.0,327.0,300.0,300.0,0.0,4633,1463983.0
2015-07-27,342.0,348.0,309.0,309.0,0.0,1800,584170.0
2015-07-26,318.0,342.0,324.0,342.0,0.0,63,21186.0
2015-07-23,310.0,321.0,308.0,318.0,0.0,2392,750150.0
2015-07-22,297.0,316.0,299.0,310.0,0.0,3877,1183400.0
2015-07-16,291.0,301.0,290.0,297.0,0.0,4250,1244136.0
2015-07-15,290.0,292.0,290.0,291.0,0.0,784,228084.0
2015-07-14,286.0,290.0,290.0,290.0,0.0,324,93960.0
2015-07-13,291.0,290.0,285.0,286.0,0.0,526,152291.0
2015-07-12,285.0,292.0,280.0,291.0,0.0,3109,903084.0
2015-07-09,283.0,287.0,285.0,285.0,0.0,562,160316.0
2015-07-08,284.0,283.0,280.0,283.0,0.0,138,38831.0
2015-07-07,286.0,288.0,284.0,284.0,0.0,1436,410824.0
2015-07-06,286.0,286.0,286.0,286.0,0.0,500,143000.0
2015-07-05,281.0,287.0,279.0,286.0,0.0,4241,1204915.0
2015-07-02,287.0,285.0,279.0,281.0,0.0,317,89110.0
2015-07-01,288.0,289.0,287.0,287.0,0.0,132,37983.0
2015-06-30,290.0,289.0,286.0,288.0,0.0,2341,674255.0
2015-06-29,293.0,293.0,288.0,290.0,0.0,2648,769231.0
2015-06-28,290.0,293.0,285.0,293.0,0.0,3797,1097812.0
2015-06-25,290.0,294.0,286.0,290.0,0.0,588,170987.0
2015-06-24,285.0,290.0,283.0,290.0,0.0,658,190089.0
2015-06-23,293.0,288.0,278.0,285.0,0.0,496,140534.0
2015-06-22,287.0,295.0,282.0,293.0,0.0,2118,612380.0
2015-06-21,281.0,287.0,280.0,287.0,0.0,865,245570.0
2015-06-18,279.0,284.0,277.0,281.0,0.0,334,93434.0
2015-06-17,282.0,285.0,276.0,279.0,0.0,1065,297309.0
2015-06-16,277.0,285.0,275.0,282.0,0.0,238,66449.0
2015-06-15,276.0,285.0,276.0,277.0,0.0,540,150390.0
2015-06-14,280.0,280.0,273.0,276.0,0.0,367,101762.0
2015-06-11,290.0,285.0,275.0,280.0,0.0,1567,438815.0
2015-06-10,297.0,293.0,290.0,290.0,0.0,1749,508750.0
2015-06-09,293.0,303.0,292.0,297.0,0.0,1023,305773.0
2015-06-08,283.0,293.0,288.0,293.0,0.0,197,57556.0
2015-06-07,294.0,290.0,281.0,283.0,0.0,1964,556117.0
2015-06-04,280.0,294.0,283.0,294.0,0.0,790,225999.0
2015-06-03,279.0,283.0,276.0,280.0,0.0,999,280019.0
2015-06-02,284.0,279.0,264.0,279.0,0.0,1723,467723.0
2015-05-31,289.0,284.0,284.0,284.0,0.0,20,5680.0
2015-04-23,292.0,292.0,289.0,289.0,0.0,623,181268.0
2015-04-22,288.0,292.0,285.0,292.0,0.0,2404,692205.0
2015-04-21,293.0,293.0,286.0,288.0,0.0,3660,1057654.0
2015-04-20,290.0,293.0,290.0,293.0,0.0,645,187903.0
2015-04-19,290.0,290.0,290.0,290.0,0.0,20,5800.0
2015-04-16,290.0,290.0,285.0,290.0,0.0,7518,2180055.0
2015-04-15,290.0,290.0,289.0,290.0,0.0,1179,341790.0
2015-04-13,292.0,295.0,290.0,290.0,0.0,171,49956.0
2015-04-12,294.0,292.0,281.0,292.0,0.0,319,91810.0
2015-04-09,289.0,294.0,284.0,294.0,0.0,895,257055.0
2015-04-08,290.0,290.0,289.0,289.0,0.0,347,100514.0
2015-04-07,289.0,290.0,290.0,290.0,0.0,500,145000.0
2015-04-06,290.0,289.0,286.0,289.0,0.0,1923,550860.0
2015-04-05,290.0,295.0,290.0,290.0,0.0,456,133860.0
2015-04-02,286.0,295.0,275.0,290.0,0.0,3516,1021751.0
2015-04-01,285.0,299.0,281.0,286.0,0.0,1216,352317.0
2015-03-31,282.0,295.0,278.0,285.0,0.0,3793,1105005.0
2015-03-30,289.0,293.0,280.0,282.0,0.0,685,195542.0
2015-03-29,285.0,290.0,280.0,289.0,0.0,5407,1546272.0
2015-03-26,283.0,285.0,278.0,285.0,0.0,617,172722.0
2015-03-25,286.0,283.0,281.0,283.0,0.0,150,42216.0
2015-03-24,290.0,291.0,285.0,286.0,0.0,4675,1341198.0
2015-03-23,288.0,293.0,288.0,290.0,0.0,2190,635135.0
2015-03-22,288.0,288.0,285.0,288.0,0.0,701,201035.0
2015-03-19,294.0,295.0,288.0,288.0,0.0,2356,687869.0
2015-03-18,288.0,295.0,288.0,294.0,0.0,3791,1106545.0
2015-03-17,273.0,299.0,271.0,288.0,0.0,4133,1188234.0
2015-03-16,280.0,285.0,272.0,273.0,0.0,1227,337775.0
2015-03-15,285.0,280.0,280.0,280.0,0.0,500,140000.0
2015-03-12,288.0,290.0,283.0,285.0,0.0,842,241778.0
2015-03-11,293.0,293.0,288.0,288.0,0.0,136,39254.0
2015-03-10,285.0,293.0,283.0,293.0,0.0,430,122671.0
