date,open,high,low,ltp,percent_change,qty,turnover
2014-12-21,231.0,231.0,223.0,223.0,0.0,16378,3659030.0
2014-12-18,239.0,235.0,231.0,231.0,0.0,30,6970.0
2014-12-17,247.0,243.0,239.0,239.0,0.0,74,17766.0
2014-11-20,257.0,252.0,247.0,247.0,0.0,60,14920.0
2014-11-19,267.0,262.0,257.0,257.0,0.0,40,10380.0
2014-10-30,339.0,333.0,320.0,320.0,0.0,4306,1414358.0
2014-10-28,339.0,346.0,334.0,339.0,0.0,2137,718784.0
2014-10-27,335.0,344.0,332.0,339.0,0.0,509,171786.0
2014-10-26,336.0,335.0,329.0,335.0,0.0,2205,730070.0
2014-10-22,322.0,336.0,322.0,336.0,0.0,1500,491400.0
2014-10-21,332.0,328.0,322.0,322.0,0.0,4303,1395669.0
2014-10-20,343.0,338.0,332.0,332.0,0.0,1200,404400.0
2014-10-19,350.0,343.0,343.0,343.0,0.0,300,102900.0
2014-10-16,326.0,350.0,329.0,350.0,0.0,511,171661.0
2014-10-15,330.0,326.0,318.0,326.0,0.0,1496,483176.0
2014-10-14,330.0,330.0,324.0,330.0,0.0,320,103800.0
2014-10-13,335.0,335.0,330.0,330.0,0.0,650,217250.0
2014-10-09,348.0,342.0,335.0,335.0,0.0,454,152668.0
2014-10-08,364.0,357.0,348.0,348.0,0.0,690,243620.0
2014-09-30,351.0,364.0,355.0,364.0,0.0,1167,415396.0
2014-09-29,334.0,352.0,340.0,351.0,0.0,1400,486880.0
2014-09-28,351.0,345.0,334.0,334.0,0.0,1004,340901.0
2014-09-24,365.0,358.0,351.0,351.0,0.0,300,106700.0
2014-09-10,365.0,372.0,365.0,365.0,0.0,60,21970.0
2014-09-09,345.0,365.0,351.0,365.0,0.0,190,68370.0
2014-08-27,339.0,345.0,345.0,345.0,0.0,20,6900.0
2014-08-13,345.0,340.0,339.0,339.0,0.0,981,333059.0
2014-08-12,345.0,345.0,345.0,345.0,0.0,95,32775.0
2014-08-07,358.0,365.0,343.0,345.0,0.0,5087,1804391.0
2014-08-06,370.0,370.0,358.0,358.0,0.0,1098,404084.0
2014-08-05,368.0,372.0,365.0,370.0,0.0,2122,786155.0
2014-08-04,381.0,375.0,368.0,368.0,0.0,1014,380152.0
2014-07-31,362.0,381.0,364.0,381.0,0.0,1298,484971.0
2014-07-30,366.0,369.0,360.0,362.0,0.0,371,135297.0
2014-07-28,373.0,366.0,366.0,366.0,0.0,140,51240.0
2014-07-27,385.0,380.0,373.0,373.0,0.0,1113,417862.0
2014-07-24,378.0,392.0,378.0,385.0,0.0,4832,1851245.0
2014-07-23,350.0,378.0,350.0,378.0,0.0,5796,2086254.0
2014-07-22,351.0,363.0,350.0,350.0,0.0,5013,1783652.0
2014-07-21,320.0,352.0,326.0,351.0,0.0,9361,3254112.0
2014-07-20,301.0,320.0,307.0,320.0,0.0,1146,362056.0
2014-07-17,296.0,301.0,301.0,301.0,0.0,100,30100.0
2014-07-16,286.0,296.0,291.0,296.0,0.0,312,91252.0
2014-07-15,285.0,286.0,282.0,286.0,0.0,1000,284600.0
2014-07-14,287.0,285.0,280.0,285.0,0.0,9854,2783381.0
2014-07-13,280.0,295.0,285.0,287.0,0.0,6256,1789728.0
2014-07-10,277.0,283.0,280.0,280.0,0.0,6643,1863279.0
2014-07-09,279.0,282.0,277.0,277.0,0.0,2855,801566.0
2014-07-08,288.0,291.0,271.0,279.0,0.0,18051,5054954.0
2014-07-07,265.0,288.0,270.0,288.0,0.0,4121,1154975.0
2014-07-06,270.0,270.0,265.0,265.0,0.0,704,188765.0
2014-07-03,265.0,270.0,265.0,270.0,0.0,478,128485.0
2014-06-29,255.0,265.0,260.0,265.0,0.0,150,39500.0
2014-06-25,265.0,260.0,255.0,255.0,0.0,2613,669380.0
2014-06-24,269.0,265.0,265.0,265.0,0.0,400,106000.0
2014-06-19,277.0,272.0,260.0,269.0,0.0,22756,6008023.0
2014-06-18,262.0,277.0,267.0,277.0,0.0,220,60240.0
2014-06-17,265.0,262.0,260.0,262.0,0.0,644,168040.0
2014-06-16,270.0,265.0,260.0,265.0,0.0,1288,338450.0
2014-06-15,260.0,270.0,265.0,270.0,0.0,66,17570.0
2014-06-12,270.0,265.0,255.0,260.0,0.0,3242,839120.0
2014-06-11,275.0,270.0,270.0,270.0,0.0,500,135000.0
2014-06-10,265.0,275.0,260.0,275.0,0.0,2686,718070.0
2014-06-09,260.0,265.0,265.0,265.0,0.0,54,14310.0
2014-06-08,260.0,260.0,260.0,260.0,0.0,23,5980.0
2014-06-04,275.0,270.0,257.0,260.0,0.0,2196,579490.0
2014-06-03,255.0,275.0,260.0,275.0,0.0,884,234770.0
2014-06-02,255.0,255.0,250.0,255.0,0.0,4861,1227930.0
2014-06-01,266.0,265.0,255.0,255.0,0.0,639,166930.0
2014-05-28,271.0,266.0,266.0,266.0,0.0,121,32186.0
2014-05-27,276.0,271.0,271.0,271.0,0.0,500,135500.0
2014-05-26,281.0,276.0,276.0,276.0,0.0,546,150696.0
2014-05-25,265.0,281.0,270.0,281.0,0.0,2661,733192.0
2014-05-22,265.0,270.0,262.0,265.0,0.0,2022,534380.0
2014-05-21,266.0,265.0,265.0,265.0,0.0,142,37630.0
2014-05-20,271.0,266.0,266.0,266.0,0.0,254,67564.0
2014-05-18,276.0,271.0,271.0,271.0,0.0,42,11382.0
2014-05-13,261.0,281.0,266.0,276.0,0.0,1677,460129.0
2014-05-12,250.0,261.0,245.0,261.0,0.0,18824,4620130.0
2014-05-11,246.0,250.0,249.0,250.0,0.0,610,152191.0
2014-05-08,250.0,246.0,246.0,246.0,0.0,1030,253380.0
2014-05-07,269.0,274.0,249.0,250.0,0.0,3501,890350.0
2014-05-06,274.0,269.0,269.0,269.0,0.0,200,53800.0
2014-05-05,284.0,279.0,274.0,274.0,0.0,520,142530.0
2014-05-04,300.0,294.0,284.0,284.0,0.0,3200,919300.0
2014-04-30,306.0,300.0,300.0,300.0,0.0,1046,313800.0
2014-04-15,312.0,306.0,306.0,306.0,0.0,236,72216.0
2014-03-25,295.0,312.0,300.0,312.0,0.0,109,33460.0
2014-03-13,306.0,300.0,295.0,295.0,0.0,12836,3786670.0
2014-03-13,306.0,300.0,295.0,295.0,0.0,12836,3786670.0
2014-03-12,324.0,318.0,306.0,306.0,0.0,30,9360.0
2014-03-11,330.0,324.0,324.0,324.0,0.0,10,3240.0
2014-03-06,336.0,330.0,330.0,330.0,0.0,20,6600.0
2014-02-17,336.0,336.0,336.0,336.0,0.0,10,3360.0
2014-02-16,336.0,336.0,336.0,336.0,0.0,16,5376.0
2014-02-12,336.0,342.0,336.0,336.0,0.0,130,44340.0
2014-02-11,330.0,336.0,336.0,336.0,0.0,20,6720.0
2014-02-10,324.0,330.0,330.0,330.0,0.0,20,6600.0
2014-02-06,318.0,330.0,324.0,324.0,0.0,280,91020.0
2014-02-04,312.0,318.0,312.0,312.0,0.0,1800,567971.0
2014-01-26,306.0,312.0,312.0,312.0,0.0,50,15600.0
2014-01-23,295.0,306.0,300.0,306.0,0.0,260,78300.0
2014-01-22,290.0,295.0,295.0,295.0,0.0,50,14750.0
2014-01-21,281.0,290.0,285.0,290.0,0.0,60,17350.0
2014-01-20,277.0,281.0,281.0,281.0,0.0,20,5620.0
2014-01-19,272.0,277.0,277.0,277.0,0.0,24,6648.0
2014-01-16,262.0,272.0,267.0,272.0,0.0,66,17702.0
2014-01-14,252.0,262.0,257.0,262.0,0.0,100,25950.0
2014-01-13,248.0,252.0,252.0,252.0,0.0,50,12600.0
2014-01-12,240.0,248.0,244.0,248.0,0.0,100,24600.0
2014-01-08,232.0,240.0,236.0,240.0,0.0,100,23800.0
2014-01-05,255.0,232.0,232.0,232.0,0.0,200,46400.0
2013-12-22,265.0,265.0,255.0,255.0,0.0,940,246100.0
2013-12-19,265.0,265.0,264.0,265.0,0.0,1601,422764.0
2013-12-16,260.0,265.0,265.0,265.0,0.0,934,247510.0
2013-12-08,241.0,260.0,244.0,260.0,0.0,1373,346520.0
2013-12-05,221.0,241.0,225.0,241.0,0.0,1251,289319.0
2013-12-04,221.0,221.0,217.0,221.0,0.0,374,81198.0
2013-12-03,201.0,221.0,205.0,221.0,0.0,736,156112.0
2013-12-01,188.0,201.0,186.0,201.0,0.0,2605,506199.0
2013-11-28,180.0,188.0,183.0,188.0,0.0,1093,201834.0
2013-11-12,180.0,180.0,180.0,180.0,0.0,120,21600.0
2013-11-07,178.0,180.0,180.0,180.0,0.0,19,3420.0
2013-10-31,175.0,178.0,176.0,178.0,0.0,370,65360.0
2013-10-28,172.0,175.0,175.0,175.0,0.0,70,12250.0
2013-10-24,172.0,172.0,170.0,172.0,0.0,751,128270.0
2013-10-23,170.0,172.0,172.0,172.0,0.0,20,3440.0
2013-10-22,170.0,170.0,170.0,170.0,0.0,900,153000.0
2013-10-21,167.0,170.0,170.0,170.0,0.0,100,17000.0
2013-10-20,167.0,167.0,167.0,167.0,0.0,500,83500.0
2013-10-17,165.0,167.0,167.0,167.0,0.0,20,3340.0
2013-10-07,167.0,167.0,165.0,165.0,0.0,399,66296.0
2013-10-06,164.0,167.0,167.0,167.0,0.0,20,3340.0
2013-10-01,167.0,164.0,164.0,164.0,0.0,13,2132.0
2013-09-24,170.0,167.0,167.0,167.0,0.0,121,20207.0
2013-09-23,170.0,170.0,170.0,170.0,0.0,150,25500.0
2013-09-19,175.0,172.0,170.0,170.0,0.0,480,82000.0
2013-09-17,177.0,175.0,175.0,175.0,0.0,200,35000.0
2013-09-16,169.0,180.0,172.0,177.0,0.0,1383,245663.0
2013-09-15,165.0,169.0,168.0,169.0,0.0,110,18580.0
2013-09-05,166.0,165.0,165.0,165.0,0.0,38,6270.0
2013-08-26,166.0,166.0,166.0,166.0,0.0,2024,335984.0
2013-08-25,175.0,172.0,166.0,166.0,0.0,1650,278725.0
2013-08-18,179.0,176.0,175.0,175.0,0.0,1500,262600.0
2013-08-07,179.0,179.0,176.0,179.0,0.0,750,133900.0
2013-08-01,180.0,182.0,179.0,179.0,0.0,2100,378900.0
2013-07-31,171.0,185.0,174.0,180.0,0.0,1406,251883.0
2013-07-07,174.0,171.0,171.0,171.0,0.0,74,12654.0
2013-06-13,177.0,174.0,174.0,174.0,0.0,637,110838.0
2013-06-04,180.0,177.0,177.0,177.0,0.0,110,19470.0
2013-05-07,181.0,180.0,180.0,180.0,0.0,543,97740.0
2013-05-02,184.0,181.0,181.0,181.0,0.0,100,18100.0
2013-04-28,187.0,184.0,184.0,184.0,0.0,53,9752.0
2013-04-21,190.0,187.0,187.0,187.0,0.0,173,32351.0
2013-04-15,193.0,190.0,190.0,190.0,0.0,4550,864500.0
2013-02-14,206.0,208.0,193.0,193.0,0.0,10933,2257446.0
2012-12-31,206.0,206.0,206.0,206.0,0.0,1566,322596.0
2012-12-12,210.0,210.0,206.0,206.0,0.0,1500,311000.0
2012-11-29,210.0,210.0,210.0,210.0,0.0,100,21000.0
2012-09-30,214.0,210.0,210.0,210.0,0.0,273,57330.0
2012-09-26,219.0,215.0,211.0,211.0,0.0,547,115965.0
2012-09-11,207.0,219.0,211.0,219.0,0.0,60,12900.0
2012-08-15,211.0,207.0,207.0,207.0,0.0,60,12420.0
2012-08-08,215.0,211.0,211.0,211.0,0.0,53,11183.0
2012-07-19,217.0,215.0,215.0,215.0,0.0,1000,215000.0
2012-06-03,209.0,217.0,213.0,217.0,0.0,40,8600.0
2012-05-27,201.0,209.0,205.0,209.0,0.0,40,8280.0
2012-05-17,192.0,201.0,195.0,201.0,0.0,60,11880.0
2012-05-15,186.0,192.0,189.0,192.0,0.0,40,7620.0
2012-04-26,183.0,189.0,186.0,186.0,0.0,242,45072.0
2012-04-25,171.0,183.0,174.0,183.0,0.0,80,14280.0
2012-04-24,159.0,171.0,162.0,171.0,0.0,80,13320.0
2012-04-19,150.0,159.0,153.0,159.0,0.0,60,9360.0
2012-04-18,140.0,150.0,142.0,150.0,0.0,444,63448.0
2012-04-11,142.0,140.0,140.0,140.0,0.0,42,5880.0
2012-04-10,144.0,142.0,142.0,142.0,0.0,140,19880.0
2012-04-08,160.0,157.0,144.0,144.0,0.0,1011,149311.0
2012-04-01,163.0,160.0,160.0,160.0,0.0,100,16000.0
2012-03-21,169.0,166.0,163.0,163.0,0.0,726,120390.0
2012-03-01,169.0,169.0,169.0,169.0,0.0,20,3380.0
2012-02-23,169.0,169.0,169.0,169.0,0.0,20,3380.0
2012-02-12,172.0,169.0,169.0,169.0,0.0,100,16900.0
2012-02-07,169.0,172.0,169.0,172.0,0.0,260,44000.0
2012-02-06,175.0,172.0,169.0,169.0,0.0,450,77280.0
2012-01-31,178.0,175.0,175.0,175.0,0.0,200,35000.0
2012-01-23,202.0,181.0,178.0,178.0,0.0,2850,507330.0
2011-12-28,190.0,202.0,193.0,202.0,0.0,210,41620.0
2011-12-27,185.0,191.0,183.0,190.0,0.0,557,103641.0
2011-12-26,174.0,189.0,177.0,185.0,0.0,1341,249328.0
2011-12-22,177.0,174.0,174.0,174.0,0.0,100,17400.0
2011-12-20,180.0,177.0,177.0,177.0,0.0,650,115050.0
2011-12-19,184.0,181.0,178.0,180.0,0.0,210,37610.0
2011-12-13,181.0,187.0,184.0,184.0,0.0,75,13950.0
2011-12-12,179.0,181.0,181.0,181.0,0.0,150,27150.0
2011-12-11,179.0,185.0,179.0,179.0,0.0,270,48690.0
2011-12-08,192.0,189.0,175.0,179.0,0.0,1899,338100.0
2011-12-07,202.0,198.0,192.0,192.0,0.0,75,14619.0
2011-12-06,206.0,202.0,202.0,202.0,0.0,110,22220.0
2011-11-15,210.0,206.0,206.0,206.0,0.0,18,3708.0
2011-11-02,193.0,210.0,196.0,210.0,0.0,190,38000.0
2011-09-19,196.0,195.0,193.0,193.0,0.0,50,9710.0
2011-09-18,200.0,196.0,196.0,196.0,0.0,37,7252.0
2011-09-15,202.0,200.0,200.0,200.0,0.0,18,3600.0
2011-09-14,206.0,202.0,202.0,202.0,0.0,10,2020.0
2011-09-12,221.0,218.0,206.0,206.0,0.0,217,46078.0
2011-09-08,225.0,221.0,221.0,221.0,0.0,40,8840.0
2011-09-01,237.0,233.0,225.0,225.0,0.0,181,41689.0
2011-08-30,241.0,240.0,237.0,237.0,0.0,420,99810.0
2011-08-29,250.0,245.0,241.0,241.0,0.0,55,13395.0
2011-08-25,260.0,255.0,250.0,250.0,0.0,262,65560.0
2011-08-09,260.0,260.0,260.0,260.0,0.0,134,34840.0
2011-08-01,272.0,267.0,255.0,260.0,0.0,100,26100.0
2011-07-31,272.0,272.0,272.0,272.0,0.0,50,13600.0
2011-07-28,282.0,277.0,272.0,272.0,0.0,20,5490.0
2011-07-17,267.0,282.0,272.0,282.0,0.0,50,13850.0
2011-07-14,248.0,267.0,252.0,267.0,0.0,40,10380.0
2011-07-13,248.0,248.0,248.0,248.0,0.0,160,39680.0
2011-07-07,247.0,248.0,247.0,248.0,0.0,760,188320.0
2011-07-06,243.0,247.0,247.0,247.0,0.0,280,69160.0
2011-07-05,241.0,247.0,243.0,243.0,0.0,450,111050.0
2011-05-15,241.0,241.0,241.0,241.0,0.0,40,9640.0
2011-05-12,245.0,241.0,241.0,241.0,0.0,326,78566.0
2011-04-11,249.0,245.0,245.0,245.0,0.0,80,19600.0
2011-03-20,240.0,244.0,244.0,244.0,0.0,274,66856.0
