date,open,high,low,ltp,percent_change,qty,turnover
2025-08-12,280.5,280.5,280.5,280.5,0.0,30000,8404500.0
2025-03-16,370.0,370.0,370.0,370.0,0.0,140000,39270000.0
2025-02-16,370.0,370.0,370.0,370.0,0.0,71915,20172157.5
2024-07-08,370.0,370.0,370.0,370.0,0.0,9000,3330000.0
2024-05-05,300.0,300.0,300.0,300.0,0.0,150000,45000000.0
2023-09-17,349.0,349.0,349.0,349.0,0.0,15400,5374600.0
2023-05-23,292.0,292.0,292.0,292.0,0.0,65000,18980000.0
2023-05-22,292.0,292.0,292.0,292.0,0.0,19000,5548000.0
2023-05-21,292.0,292.0,292.0,292.0,0.0,24620,7189040.0
2022-01-16,447.0,447.0,447.0,447.0,0.0,14054,6282138.0
2022-01-09,447.0,447.0,447.0,447.0,0.0,18000,8046000.0
2021-11-18,447.0,447.0,447.0,447.0,0.0,8000,2497000.0
2021-10-25,447.0,447.0,447.0,447.0,0.0,4000,1230720.0
2021-10-03,447.0,447.0,447.0,447.0,0.0,77500,23258525.0
2021-09-27,447.0,447.0,447.0,447.0,0.0,1500,525000.0
2021-07-14,447.0,447.0,447.0,447.0,0.0,25300,11309100.0
2021-01-28,295.0,295.0,295.0,295.0,7.27,150000,44250000.0
2020-07-14,275.0,275.0,275.0,275.0,108.33,500,137500.0
2019-09-29,132.0,132.0,132.0,132.0,-45.0,17110,2258520.0
2018-10-04,240.0,240.0,240.0,240.0,0.0,30000,7200000.0
2018-07-11,314.0,314.0,308.0,308.0,-3.75,6678,2060892.0
2018-03-27,360.0,360.0,360.0,360.0,0.0,10000,3600000.0
2018-01-10,360.0,360.0,360.0,360.0,0.0,2300,828000.0
2018-01-09,380.0,373.0,360.0,360.0,0.0,34500,12429500.0
2018-01-08,401.0,393.0,380.0,380.0,0.0,17250,6564500.0
2018-01-07,425.0,417.0,401.0,401.0,0.0,17250,6929250.0
2018-01-04,425.0,425.0,425.0,425.0,0.0,11500,4887500.0
2017-09-04,600.0,600.0,600.0,600.0,0.0,12567,7540200.0
2016-12-06,650.0,650.0,650.0,650.0,0.0,83786,54460900.0
2016-11-17,650.0,650.0,650.0,650.0,0.0,200,130000.0
