date,open,high,low,ltp,percent_change,qty,turnover
2015-09-01,480.0,489.0,489.0,489.0,0.0,11,5379.0
2015-08-20,470.0,480.0,475.0,480.0,0.0,180,86039.0
2015-08-11,470.0,470.0,470.0,470.0,0.0,11,5170.0
2015-08-10,470.0,470.0,470.0,470.0,0.0,89,41830.0
2015-08-09,488.0,479.0,470.0,470.0,0.0,287,136573.0
2015-08-05,479.0,488.0,488.0,488.0,0.0,54,26352.0
2015-08-04,470.0,479.0,479.0,479.0,0.0,20,9580.0
2015-08-03,470.0,470.0,470.0,470.0,0.0,26,12220.0
2015-07-30,459.0,470.0,460.0,470.0,0.0,394,184750.0
2015-07-29,446.0,459.0,450.0,459.0,0.0,650,293400.0
2015-07-23,438.0,446.0,446.0,446.0,0.0,450,200700.0
2015-07-22,422.0,438.0,430.0,438.0,0.0,200,86800.0
2015-07-16,385.0,422.0,392.0,422.0,0.0,153,60977.0
2015-07-15,371.0,385.0,378.0,385.0,0.0,200,76300.0
2015-07-14,357.0,371.0,364.0,371.0,0.0,200,73500.0
2015-07-12,338.0,357.0,344.0,357.0,0.0,400,140100.0
2015-07-09,320.0,338.0,326.0,338.0,0.0,140,46540.0
2015-07-06,308.0,320.0,314.0,320.0,0.0,40,12680.0
2015-07-05,292.0,308.0,297.0,308.0,0.0,60,18140.0
2015-07-01,282.0,292.0,287.0,292.0,0.0,44,12748.0
2015-06-29,277.0,282.0,282.0,282.0,0.0,20,5640.0
2015-06-28,267.0,277.0,272.0,277.0,0.0,40,10980.0
2015-06-25,257.0,267.0,262.0,267.0,0.0,40,10580.0
2015-06-24,252.0,257.0,257.0,257.0,0.0,20,5140.0
2015-06-23,244.0,252.0,248.0,252.0,0.0,40,10000.0
2015-06-22,236.0,244.0,240.0,244.0,0.0,40,9680.0
2015-06-21,224.0,236.0,228.0,236.0,0.0,64,14848.0
2015-05-25,220.0,224.0,224.0,224.0,0.0,203,45472.0
2015-04-09,202.0,220.0,212.0,220.0,0.0,37,8020.0
2015-04-08,190.0,202.0,193.0,202.0,0.0,40,7900.0
2015-04-07,176.0,190.0,184.0,190.0,0.0,30,5610.0
2015-03-11,168.0,176.0,176.0,176.0,0.0,10,1760.0
2015-03-10,160.0,168.0,168.0,168.0,0.0,10,1680.0
2015-03-04,150.0,160.0,157.0,160.0,0.0,27,4290.0
2015-03-02,143.0,150.0,150.0,150.0,0.0,10,1500.0
2015-03-01,137.0,143.0,143.0,143.0,0.0,10,1430.0
2015-02-18,131.0,137.0,137.0,137.0,0.0,10,1370.0
2015-02-16,123.0,131.0,129.0,131.0,0.0,510,66790.0
2015-02-15,118.0,123.0,123.0,123.0,0.0,10,1230.0
2015-02-12,113.0,118.0,118.0,118.0,0.0,10,1180.0
2015-02-09,108.0,113.0,113.0,113.0,0.0,10,1130.0
2015-02-08,103.0,108.0,108.0,108.0,0.0,10,1080.0
2015-02-04,99.0,103.0,103.0,103.0,0.0,10,1030.0
2015-02-03,95.0,99.0,99.0,99.0,0.0,10,990.0
2015-01-06,94.0,95.0,95.0,95.0,0.0,35,3325.0
2014-11-06,100.0,102.0,102.0,102.0,0.0,50,5100.0
