date,open,high,low,ltp,percent_change,qty,turnover
2026-03-31,242.0,242.0,242.0,242.0,0.0,30370,7349540.0
2026-03-26,242.0,242.0,242.0,242.0,0.0,30369,7349298.0
2025-12-21,204.0,204.0,204.0,204.0,2.0,52199,10648596.0
2025-11-03,200.0,200.0,200.0,200.0,0.0,29000,5800000.0
2025-09-21,200.0,200.0,200.0,200.0,-1.09,19710,3942000.0
2025-07-17,202.2,202.2,202.2,202.2,1.96,5475,1107045.0
2025-07-16,197.2,201.1,197.2,198.31,2.54,15330,3040158.0
2025-07-14,193.4,193.4,193.4,193.4,-1.98,27375,5294325.0
2025-07-13,197.3,197.3,197.3,197.3,-1.99,65000,12824500.0
2025-06-25,201.3,201.3,201.3,201.3,-2.0,20000,4026000.0
2025-06-24,205.4,205.4,205.4,205.4,-1.96,14000,2875600.0
2025-06-19,209.5,209.5,209.5,209.5,-1.97,5000,1047500.0
2025-06-16,213.7,213.7,213.7,213.7,-1.97,10950,2340015.0
2025-04-16,218.0,218.0,218.0,218.0,0.0,40000,8720000.0
2025-04-01,205.0,205.0,205.0,205.0,0.0,10000,2050000.0
2025-02-16,205.0,205.0,205.0,205.0,0.0,10950,2244750.0
2025-01-26,205.0,205.0,205.0,205.0,0.0,54750,11223750.0
2025-01-22,205.0,205.0,205.0,205.0,0.0,34251,7021455.0
2025-01-05,205.0,205.0,205.0,205.0,0.0,43000,8815000.0
2024-11-26,205.0,205.0,205.0,205.0,0.0,16425,3367125.0
2024-11-17,205.0,205.0,205.0,205.0,0.0,16510,3384550.0
2024-11-14,205.0,205.0,205.0,205.0,0.0,14353,2942365.0
2024-11-13,205.0,205.0,205.0,205.0,0.0,12917,2647985.0
2024-11-12,205.0,205.0,205.0,205.0,0.0,87067,17848735.0
2024-11-11,205.0,205.0,205.0,205.0,0.0,200000,41000000.0
2024-10-24,205.0,205.0,205.0,205.0,0.0,54750,11223750.0
2024-10-23,205.0,205.0,205.0,205.0,0.0,3588,735540.0
2024-10-17,205.0,205.0,205.0,205.0,0.0,6128,1256240.0
2024-08-14,205.0,205.0,205.0,205.0,0.0,43060,8827300.0
2024-08-11,205.0,205.0,205.0,205.0,0.0,52679,10799195.0
2024-08-01,205.0,205.0,205.0,205.0,0.0,61867,12682735.0
2024-07-11,205.0,205.0,205.0,205.0,0.0,119275,24451375.0
2024-04-03,205.0,205.0,205.0,205.0,-0.49,53501,10967705.0
2024-01-01,206.0,206.0,206.0,206.0,0.0,55000,11330000.0
2023-11-28,206.0,206.0,206.0,206.0,0.0,1000,206000.0
2023-11-08,206.0,206.0,206.0,206.0,0.0,19160,3946960.0
2023-11-06,206.0,206.0,206.0,206.0,0.0,24030,4950180.0
2023-10-18,206.0,206.0,206.0,206.0,0.0,2260,465560.0
2023-10-01,206.0,206.0,206.0,206.0,0.0,246,50676.0
2023-09-25,206.0,206.0,206.0,206.0,4.04,44504,9167824.0
2023-02-15,198.0,198.0,198.0,198.0,0.0,96500,19107000.0
2023-02-14,198.0,198.0,198.0,198.0,0.0,82038,16243524.0
2023-02-09,198.0,198.0,198.0,198.0,0.0,64662,12803076.0
2022-12-01,207.0,207.0,207.0,207.0,0.0,43400,8983800.0
2022-11-30,207.0,207.0,207.0,207.0,0.0,89400,18505800.0
2022-11-29,207.0,207.0,207.0,207.0,0.0,72219,14949333.0
