date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1086.0,1086.0,1085.0,1086.0,0.56,78,84698.0
2026-04-29,1100.0,1080.0,1080.0,1080.0,-1.82,25,27000.0
2026-04-24,1072.1,1104.0,1090.0,1100.0,2.6,255,279900.0
2026-04-23,1065.0,1080.0,1065.0,1072.1,-1.64,75,80427.5
2026-04-22,1090.0,1090.0,1090.0,1090.0,0.46,30,32700.0
2026-04-21,1085.5,1085.5,1085.0,1085.0,1.4,100,108517.5
2026-04-20,1096.1,1096.1,1096.1,1070.0,-2.38,5,5350.0
2026-04-15,1075.0,1096.1,1074.7,1096.1,2.16,85,91616.3
2026-04-13,1072.9,1072.9,1072.9,1072.9,-0.57,25,26822.5
2026-04-10,1079.0,1079.0,1079.0,1079.0,-1.46,50,53950.0
2026-04-09,1095.0,1095.0,1095.0,1095.0,-0.27,25,27375.0
2026-04-08,1090.0,1098.0,1090.0,1098.0,-0.09,325,356570.0
2026-04-05,1069.6,1099.0,1069.5,1099.0,1.55,310,334263.0
2026-04-01,1082.2,1082.2,1082.2,1082.2,-0.72,25,27055.0
2026-03-31,1090.1,1090.1,1090.1,1090.1,-0.02,50,54505.0
2026-03-24,1090.2,1090.2,1090.2,1090.3,1.99,55,59961.5
2026-03-23,1075.1,1090.0,1060.0,1069.0,-1.11,1390,1498515.0
2026-03-22,1113.0,1113.0,1081.0,1081.0,-2.5,1660,1819440.0
2026-03-16,1087.0,1108.7,1087.0,1108.7,0.79,220,243357.5
2026-03-15,1079.1,1100.0,1079.0,1100.0,1.85,65,70452.5
2026-03-11,1080.0,1080.0,1080.0,1080.0,-0.46,130,140400.0
2026-02-26,1085.0,1085.0,1085.0,1085.0,0.27,25,27125.0
2026-02-17,1081.0,1082.1,1081.0,1082.1,-0.45,60,64871.0
2026-02-08,1087.0,1087.0,1087.0,1087.0,0.43,50,54350.0
2026-02-04,1082.3,1082.3,1082.3,1082.3,-1.61,25,27057.5
2026-01-26,1100.0,1100.0,1100.0,1100.0,-1.79,40,44000.0
2026-01-20,1120.0,1120.0,1120.0,1120.0,0.0,25,28000.0
2026-01-18,1120.0,1120.0,1120.0,1120.0,-1.93,10,11200.0
2026-01-13,1112.0,1142.0,1112.0,1142.0,2.7,250,285492.2
2026-01-06,1112.0,1112.0,1112.0,1112.0,0.09,100,111200.0
2026-01-04,1107.1,1129.0,1107.1,1111.0,-1.25,100,111802.5
2026-01-01,1125.1,1125.1,1125.1,1125.1,0.63,100,112510.0
2025-12-31,1118.1,1118.1,1118.1,1118.1,-1.49,25,27952.5
2025-12-29,1140.0,1140.0,1135.0,1135.0,0.89,319,363585.0
2025-12-24,1125.0,1125.0,1125.0,1125.0,-1.14,200,225000.0
2025-12-21,1138.0,1138.0,1138.0,1138.0,0.61,176,200288.0
2025-12-18,1131.1,1131.1,1131.1,1131.1,1.99,25,28277.5
2025-12-17,1107.0,1109.0,1107.0,1109.0,0.73,125,138575.0
2025-12-16,1101.0,1101.0,1101.0,1101.0,0.55,25,27525.0
2025-12-11,1112.1,1112.1,1112.1,1095.0,-1.54,1,1095.0
2025-12-10,1112.1,1112.1,1112.1,1112.1,-1.93,25,27802.5
2025-11-30,1100.0,1134.0,1100.0,1134.0,3.09,236,267612.0
2025-11-26,1100.0,1100.0,1100.0,1100.0,0.0,25,27500.0
2025-11-25,1100.0,1100.0,1100.0,1100.0,0.82,75,82500.0
