date,open,high,low,ltp,percent_change,qty,turnover
2012-02-02,165.0,162.0,157.0,160.0,0.0,1296,206730.0
2012-02-01,162.0,165.0,162.0,165.0,0.0,75,12285.0
2012-01-31,163.0,163.0,160.0,162.0,0.0,495,80240.0
2012-01-29,161.0,163.0,160.0,163.0,0.0,525,84255.0
2012-01-25,163.0,161.0,161.0,161.0,0.0,60,9660.0
2012-01-23,164.0,163.0,162.0,163.0,0.0,135,21915.0
2012-01-22,167.0,164.0,164.0,164.0,0.0,200,32800.0
2012-01-18,165.0,167.0,165.0,167.0,0.0,300,49710.0
2012-01-17,163.0,166.0,160.0,165.0,0.0,351,57130.0
2012-01-16,166.0,165.0,163.0,163.0,0.0,1045,170535.0
2012-01-12,171.0,169.0,166.0,166.0,0.0,1240,207920.0
2012-01-11,166.0,172.0,168.0,171.0,0.0,780,131775.0
2012-01-10,177.0,172.0,166.0,166.0,0.0,325,54575.0
2012-01-09,168.0,170.0,168.0,169.0,0.0,1140,191830.0
2012-01-08,177.0,174.0,166.0,168.0,0.0,875,148910.0
2012-01-04,180.0,177.0,177.0,177.0,0.0,20,3540.0
2012-01-03,175.0,181.0,177.0,180.0,0.0,200,35660.0
2012-01-02,169.0,175.0,168.0,175.0,0.0,1920,328030.0
2012-01-01,163.0,169.0,158.0,169.0,0.0,545,89320.0
2011-12-29,158.0,163.0,159.0,163.0,0.0,860,138270.0
2011-12-28,164.0,161.0,158.0,158.0,0.0,710,112820.0
2011-12-27,163.0,164.0,160.0,164.0,0.0,540,88110.0
2011-12-26,166.0,165.0,163.0,163.0,0.0,315,51875.0
2011-12-20,162.0,166.0,163.0,166.0,0.0,335,55205.0
2011-12-18,162.0,165.0,162.0,162.0,0.0,285,46485.0
2011-12-15,159.0,162.0,157.0,162.0,0.0,480,76260.0
2011-12-14,156.0,159.0,156.0,159.0,0.0,1170,185790.0
2011-12-13,162.0,160.0,154.0,156.0,0.0,1195,187800.0
2011-12-12,165.0,162.0,162.0,162.0,0.0,60,9720.0
2011-12-11,164.0,166.0,161.0,165.0,0.0,540,88320.0
2011-12-08,163.0,164.0,163.0,164.0,0.0,180,29475.0
2011-12-07,165.0,165.0,162.0,163.0,0.0,800,130440.0
2011-12-06,165.0,168.0,165.0,165.0,0.0,1430,238320.0
2011-12-05,166.0,166.0,163.0,165.0,0.0,1672,276908.0
2011-12-04,165.0,166.0,166.0,166.0,0.0,420,69720.0
2011-12-01,163.0,166.0,163.0,165.0,0.0,2120,347845.0
2011-11-28,161.0,162.0,158.0,161.0,0.0,860,137050.0
2011-11-24,163.0,162.0,161.0,161.0,0.0,145,23445.0
2011-11-23,165.0,165.0,162.0,163.0,0.0,235,38460.0
2011-11-22,167.0,165.0,164.0,165.0,0.0,170,27990.0
2011-11-21,162.0,170.0,161.0,167.0,0.0,455,74845.0
2011-11-20,162.0,165.0,162.0,162.0,0.0,625,101370.0
2011-11-17,163.0,167.0,161.0,162.0,0.0,3455,558620.0
2011-11-16,160.0,163.0,162.0,163.0,0.0,130,21100.0
2011-11-15,162.0,161.0,159.0,160.0,0.0,665,106395.0
2011-11-14,166.0,166.0,161.0,162.0,0.0,2255,365230.0
2011-11-13,170.0,169.0,162.0,166.0,0.0,1152,191418.0
2011-11-10,172.0,174.0,170.0,170.0,0.0,393,67644.0
2011-11-09,172.0,180.0,172.0,172.0,0.0,555,98100.0
2011-11-08,179.0,176.0,170.0,172.0,0.0,350,60405.0
2011-11-06,177.0,180.0,177.0,179.0,0.0,295,52605.0
2011-11-03,182.0,188.0,171.0,177.0,0.0,3015,548005.0
2011-11-02,166.0,182.0,169.0,182.0,0.0,290,52210.0
2011-10-31,161.0,166.0,163.0,166.0,0.0,80,13190.0
2011-10-30,155.0,161.0,158.0,161.0,0.0,960,153990.0
2011-10-25,152.0,155.0,155.0,155.0,0.0,150,23250.0
2011-10-24,151.0,152.0,151.0,152.0,0.0,80,12140.0
2011-10-23,154.0,155.0,150.0,151.0,0.0,1710,259340.0
2011-10-20,155.0,155.0,154.0,154.0,0.0,2375,367325.0
2011-10-19,155.0,161.0,155.0,155.0,0.0,1495,233195.0
2011-10-18,155.0,155.0,152.0,155.0,0.0,2760,424100.0
2011-10-17,158.0,158.0,155.0,155.0,0.0,700,108635.0
2011-10-16,159.0,159.0,158.0,158.0,0.0,225,35730.0
2011-10-13,176.0,162.0,159.0,159.0,0.0,370,59165.0
2011-10-02,180.0,179.0,176.0,176.0,0.0,200,35470.0
2011-09-29,175.0,182.0,176.0,180.0,0.0,1995,354440.0
2011-09-27,180.0,180.0,173.0,175.0,0.0,760,133310.0
2011-09-26,183.0,180.0,180.0,180.0,0.0,770,138600.0
2011-09-25,180.0,183.0,183.0,183.0,0.0,135,24705.0
2011-09-22,174.0,180.0,168.0,180.0,0.0,245,42915.0
2011-09-21,170.0,174.0,170.0,174.0,0.0,1035,176765.0
2011-09-20,169.0,173.0,170.0,170.0,0.0,245,41890.0
2011-09-19,166.0,171.0,166.0,169.0,0.0,795,133695.0
2011-09-18,161.0,170.0,161.0,166.0,0.0,480,78915.0
2011-09-15,163.0,163.0,161.0,161.0,0.0,800,129200.0
2011-09-14,164.0,164.0,158.0,163.0,0.0,390,62720.0
2011-09-13,175.0,174.0,162.0,164.0,0.0,1860,313835.0
2011-09-12,177.0,177.0,174.0,175.0,0.0,380,66575.0
2011-09-08,177.0,178.0,171.0,177.0,0.0,510,87860.0
2011-09-07,180.0,182.0,177.0,177.0,0.0,425,75745.0
2011-09-06,187.0,185.0,180.0,180.0,0.0,705,128200.0
2011-09-05,192.0,192.0,187.0,187.0,0.0,675,128130.0
2011-09-04,187.0,192.0,189.0,192.0,0.0,845,160910.0
2011-09-01,192.0,189.0,187.0,187.0,0.0,375,70725.0
2011-08-30,186.0,192.0,189.0,192.0,0.0,95,18180.0
2011-08-29,189.0,186.0,183.0,186.0,0.0,420,77940.0
2011-08-28,189.0,189.0,182.0,189.0,0.0,845,156420.0
2011-08-25,191.0,189.0,185.0,189.0,0.0,715,133805.0
2011-08-24,192.0,191.0,180.0,191.0,0.0,1880,354375.0
