date,open,high,low,ltp,percent_change,qty,turnover
2019-09-25,202.0,203.0,200.0,201.0,-0.99,19757,3961314.0
2019-09-24,204.0,204.0,203.0,203.0,-0.49,6069,1233737.0
2019-09-23,206.0,206.0,203.0,204.0,-0.97,9190,1876030.0
2019-09-22,207.0,207.0,205.0,206.0,-1.9,4132,851661.0
2019-09-19,208.0,212.0,208.0,210.0,0.0,1778,372101.0
2019-09-18,209.0,210.0,209.0,210.0,0.48,8032,1680041.0
2019-09-17,208.0,210.0,208.0,209.0,2.45,4326,903020.0
2019-09-16,205.0,206.0,201.0,204.0,-0.49,32492,6581873.0
2019-09-15,209.0,209.0,205.0,205.0,-1.91,13671,2820689.0
2019-09-12,206.0,209.0,206.0,209.0,0.48,9524,1972972.0
2019-09-11,206.0,208.0,206.0,208.0,0.48,10821,2240452.0
2019-09-10,207.0,208.0,205.0,207.0,0.0,1455,300125.0
2019-09-09,210.0,210.0,206.0,207.0,0.49,11811,2440889.0
2019-09-08,212.0,212.0,206.0,206.0,-0.96,6827,1409042.0
2019-09-05,209.0,209.0,207.0,208.0,-0.48,5884,1224273.0
2019-09-04,208.0,209.0,208.0,209.0,0.48,1141,237448.0
2019-09-03,203.0,208.0,203.0,208.0,0.97,7786,1599987.0
2019-09-02,205.0,206.0,204.0,206.0,0.0,6758,1380429.0
2019-09-01,207.0,207.0,205.0,206.0,0.49,3450,708800.0
2019-08-29,203.0,208.0,203.0,205.0,0.49,7577,1560881.0
2019-08-28,208.0,208.0,204.0,204.0,0.0,4468,914094.0
2019-08-27,207.0,208.0,204.0,204.0,-0.49,4932,1016635.0
2019-08-26,204.0,205.0,204.0,205.0,0.0,2490,510390.0
2019-08-25,205.0,206.0,204.0,205.0,0.0,8009,1638624.0
2019-08-22,212.0,212.0,205.0,205.0,-1.44,9265,1918327.0
2019-08-21,205.0,208.0,204.0,208.0,0.48,8299,1715327.0
2019-08-20,207.0,207.0,206.0,207.0,0.0,3849,794273.0
2019-08-19,205.0,210.0,205.0,207.0,1.47,8536,1773710.0
2019-08-18,210.0,210.0,204.0,204.0,-1.45,10052,2077187.0
2019-08-15,204.0,207.0,203.0,207.0,1.47,1516,311048.0
2019-08-14,203.0,207.0,203.0,204.0,0.49,5493,1121501.0
2019-08-13,212.0,212.0,203.0,203.0,-2.4,28898,5891444.0
2019-08-12,206.0,208.0,204.0,208.0,0.0,5577,1142898.0
2019-08-11,206.0,209.0,206.0,208.0,0.97,3398,706066.0
2019-08-08,214.0,214.0,206.0,206.0,-1.9,3676,769966.0
2019-08-07,205.0,210.0,205.0,210.0,0.48,5442,1129151.0
2019-08-06,209.0,211.0,209.0,209.0,-0.48,3553,743847.0
2019-08-05,210.0,212.0,208.0,210.0,-0.47,2011,422746.0
2019-08-04,211.0,213.0,211.0,211.0,0.0,4840,1024047.0
2019-08-01,211.0,213.0,210.0,211.0,0.0,6670,1413188.0
2019-07-31,215.0,215.0,211.0,211.0,-0.47,12997,2764437.0
2019-07-30,213.0,213.0,212.0,212.0,-0.47,1200,254600.0
2019-07-29,215.0,215.0,212.0,213.0,0.95,3388,722403.0
2019-07-28,216.0,216.0,211.0,211.0,-0.47,3670,775378.0
2019-07-25,215.0,216.0,212.0,212.0,-2.3,3808,814355.0
2019-07-24,216.0,219.0,215.0,217.0,0.93,4314,935392.0
2019-07-23,215.0,217.0,215.0,215.0,0.0,2733,588245.0
2019-07-22,214.0,216.0,214.0,215.0,-0.46,914,196857.0
2019-07-21,217.0,217.0,214.0,216.0,-0.46,2650,568863.0
2019-07-18,217.0,219.0,215.0,217.0,0.0,1664,361674.0
2019-07-17,216.0,219.0,216.0,217.0,0.46,12287,2675811.0
2019-07-16,214.0,216.0,213.0,216.0,0.93,4619,986747.0
2019-07-15,214.0,216.0,213.0,214.0,-0.47,2607,557867.0
2019-07-14,216.0,216.0,212.0,215.0,1.42,7012,1504859.0
2019-07-11,211.0,214.0,211.0,212.0,0.0,7576,1607547.0
2019-07-10,213.0,215.0,212.0,212.0,-0.47,18600,3965428.0
2019-07-09,213.0,216.0,213.0,213.0,0.0,14499,3104121.0
2019-07-08,210.0,213.0,209.0,213.0,1.43,11636,2468110.0
2019-07-07,200.0,213.0,200.0,210.0,0.0,4873,1028072.0
2019-07-04,212.0,215.0,210.0,210.0,-1.87,7593,1610186.0
2019-07-03,210.0,214.0,208.0,214.0,1.42,10542,2218634.0
2019-07-02,205.0,211.0,205.0,211.0,2.43,5149,1073665.0
2019-07-01,205.0,207.0,205.0,206.0,-0.48,2245,462897.0
2019-06-30,210.0,210.0,207.0,207.0,-1.43,12578,2624096.0
2019-06-27,212.0,212.0,210.0,210.0,-0.94,4350,920360.0
2019-06-26,211.0,212.0,211.0,212.0,0.47,5377,1138557.0
