date,open,high,low,ltp,percent_change,qty,turnover
2019-09-22,122.0,122.0,122.0,122.0,0.0,135759,16562598.0
2019-09-05,122.0,122.0,122.0,122.0,0.0,10669,1301618.0
2019-08-29,122.0,122.0,122.0,122.0,0.0,8000,976000.0
2019-07-30,122.0,122.0,122.0,122.0,0.0,5000,610000.0
2019-07-24,122.0,122.0,122.0,122.0,1.67,11000,1342000.0
2019-05-16,120.0,120.0,120.0,120.0,0.0,16699,2003880.0
2019-03-18,120.0,120.0,120.0,120.0,0.0,12000,1440000.0
2019-03-14,120.0,120.0,120.0,120.0,0.0,70610,8473200.0
2019-02-03,120.0,120.0,120.0,120.0,0.0,33397,4007640.0
2019-01-29,120.0,120.0,120.0,120.0,0.0,26238,3148560.0
2018-12-23,120.0,120.0,120.0,120.0,0.0,14914,1789680.0
2018-12-19,120.0,120.0,120.0,120.0,0.0,5263,631560.0
2018-12-03,120.0,120.0,120.0,120.0,0.0,13575,1629000.0
2018-11-14,120.0,120.0,120.0,120.0,0.0,22398,2687760.0
2018-10-01,120.0,120.0,120.0,120.0,0.0,8000,960000.0
2018-09-26,120.0,120.0,120.0,120.0,0.0,18367,2204040.0
2018-09-02,120.0,120.0,120.0,120.0,0.0,2704,324480.0
2018-08-09,120.0,120.0,120.0,120.0,0.0,4912,589440.0
2018-08-08,120.0,120.0,120.0,120.0,0.0,2386,286320.0
2018-01-29,150.0,150.0,150.0,150.0,0.0,8446,1266900.0
2017-12-11,150.0,150.0,150.0,150.0,0.0,27278,4091700.0
2017-11-30,200.0,200.0,200.0,200.0,0.0,16594,3318800.0
2017-11-29,200.0,200.0,200.0,200.0,0.0,84376,16875200.0
2017-11-26,200.0,200.0,200.0,200.0,0.0,9789,1957800.0
2017-11-19,200.0,200.0,200.0,200.0,0.0,10000,2000000.0
2017-11-09,200.0,200.0,200.0,200.0,0.0,924,184800.0
