date,open,high,low,ltp,percent_change,qty,turnover
2012-06-20,85.0,84.0,84.0,84.0,0.0,15,1260.0
2012-06-12,86.0,85.0,85.0,85.0,0.0,25,2125.0
2012-05-31,87.0,86.0,86.0,86.0,0.0,13,1118.0
2012-05-27,87.0,88.0,87.0,87.0,0.0,51,4472.0
2012-05-23,88.0,87.0,87.0,87.0,0.0,141,12267.0
2012-05-22,87.0,88.0,88.0,88.0,0.0,80,7040.0
2012-05-14,87.0,87.0,87.0,87.0,0.0,735,63945.0
2012-01-22,86.0,87.0,87.0,87.0,0.0,64,5568.0
2012-01-11,89.0,88.0,86.0,86.0,0.0,194,16878.0
2011-12-20,90.0,89.0,89.0,89.0,0.0,63,5607.0
2011-11-27,92.0,92.0,90.0,90.0,0.0,754,68542.0
2011-11-24,92.0,93.0,92.0,92.0,0.0,1560,144020.0
2011-11-15,91.0,92.0,92.0,92.0,0.0,1000,92000.0
2011-11-08,91.0,91.0,91.0,91.0,0.0,30,2730.0
2011-11-06,92.0,91.0,91.0,91.0,0.0,177,16107.0
2011-11-03,93.0,92.0,92.0,92.0,0.0,300,27600.0
2011-10-25,93.0,93.0,93.0,93.0,0.0,148,13764.0
2011-10-20,93.0,93.0,92.0,93.0,0.0,192,17824.0
2011-10-18,94.0,93.0,93.0,93.0,0.0,124,11532.0
2011-10-17,95.0,94.0,94.0,94.0,0.0,532,50008.0
2011-10-10,95.0,95.0,94.0,95.0,0.0,126,11906.0
2011-09-29,94.0,95.0,95.0,95.0,0.0,427,40565.0
2011-09-27,94.0,94.0,94.0,94.0,0.0,2938,276172.0
2011-09-20,95.0,94.0,94.0,94.0,0.0,256,24064.0
2011-09-18,96.0,95.0,95.0,95.0,0.0,16,1520.0
2011-09-12,96.0,96.0,96.0,96.0,0.0,116,11136.0
2011-09-06,97.0,96.0,96.0,96.0,0.0,388,37248.0
2011-08-30,95.0,97.0,96.0,97.0,0.0,232,22388.0
2011-08-25,98.0,97.0,95.0,95.0,0.0,320,30784.0
2011-08-24,99.0,98.0,98.0,98.0,0.0,150,14700.0
2011-08-23,98.0,99.0,99.0,99.0,0.0,232,22968.0
2011-08-09,101.0,100.0,98.0,98.0,0.0,120,11910.0
2011-08-08,107.0,105.0,101.0,101.0,0.0,180,18680.0
2011-06-15,109.0,107.0,107.0,107.0,0.0,29,3103.0
2011-06-05,108.0,110.0,109.0,109.0,0.0,232,25404.0
2011-05-26,110.0,108.0,108.0,108.0,0.0,58,6264.0
2011-05-24,112.0,110.0,110.0,110.0,0.0,232,25520.0
2011-05-12,113.0,112.0,112.0,112.0,0.0,56,6272.0
2011-05-11,116.0,114.0,113.0,113.0,0.0,487,55405.0
2011-05-04,112.0,116.0,114.0,116.0,0.0,348,40020.0
2011-04-27,115.0,117.0,112.0,112.0,0.0,723,82571.0
2011-04-26,115.0,115.0,115.0,115.0,0.0,348,40020.0
2011-04-04,115.0,117.0,115.0,115.0,0.0,240,27620.0
2011-03-31,115.0,117.0,115.0,115.0,0.0,1215,140155.0
2011-03-27,111.0,115.0,113.0,115.0,0.0,59,6751.0
2011-03-20,109.0,111.0,111.0,111.0,0.0,282,31302.0
