date,open,high,low,ltp,percent_change,qty,turnover
2020-11-05,826.0,830.0,815.0,830.0,-1.43,470,387940.0
2020-11-04,833.0,842.0,821.0,842.0,-0.82,255,211125.0
2020-11-03,864.0,865.0,838.0,849.0,0.0,545,464700.0
2020-11-02,787.0,849.0,787.0,849.0,6.13,1725,1425805.0
2020-11-01,770.0,800.0,770.0,800.0,2.56,590,468420.0
2020-10-29,785.0,799.0,769.0,780.0,-2.5,100,78080.0
2020-10-28,775.0,800.0,771.0,800.0,3.23,110,86710.0
2020-10-22,780.0,789.0,770.0,775.0,-1.9,890,689420.0
2020-10-21,780.0,795.0,780.0,790.0,0.38,110,86910.0
2020-10-20,789.0,789.0,787.0,787.0,-1.01,33,25997.0
2020-10-19,785.0,800.0,780.0,795.0,1.27,220,175020.0
2020-10-18,771.0,785.0,771.0,785.0,0.0,210,163250.0
2020-10-15,782.0,785.0,780.0,785.0,0.38,150,117190.0
2020-10-14,780.0,795.0,780.0,782.0,0.26,130,102310.0
2020-10-13,781.0,795.0,777.0,780.0,-0.13,240,188990.0
2020-10-12,780.0,796.0,773.0,781.0,0.0,490,387790.0
2020-10-11,775.0,795.0,775.0,781.0,-1.14,130,101630.0
2020-10-08,780.0,796.0,780.0,790.0,1.28,160,126350.0
2020-10-07,784.0,790.0,771.0,780.0,-1.39,570,444650.0
2020-10-06,790.0,799.0,785.0,791.0,-0.38,635,501030.0
2020-10-05,791.0,830.0,791.0,794.0,-0.63,453,364823.0
2020-10-04,782.0,808.0,782.0,799.0,0.76,1100,881190.0
2020-10-01,785.0,800.0,785.0,793.0,-0.5,340,269160.0
2020-09-30,796.0,808.0,795.0,797.0,-0.99,295,235165.0
2020-09-29,791.0,822.0,788.0,805.0,1.77,480,385170.0
2020-09-28,791.0,796.0,791.0,791.0,-1.37,270,214580.0
2020-09-27,800.0,815.0,800.0,802.0,-0.99,810,659210.0
2020-09-24,799.0,810.0,799.0,810.0,-0.25,480,385310.0
2020-09-23,805.0,817.0,804.0,812.0,-0.98,500,402740.0
2020-09-22,810.0,820.0,795.0,820.0,1.23,720,579400.0
2020-09-21,810.0,820.0,809.0,810.0,-0.61,380,307920.0
2020-09-20,818.0,820.0,802.0,815.0,-0.37,450,366775.0
2020-09-17,833.0,835.0,817.0,818.0,0.12,1035,851455.0
2020-09-16,806.0,832.0,806.0,817.0,0.0,570,468940.0
2020-09-15,818.0,832.0,816.0,817.0,-1.8,340,278635.0
2020-09-14,840.0,848.0,831.0,832.0,-2.12,620,520470.0
2020-09-13,867.0,867.0,825.0,850.0,0.0,510,430910.0
2020-09-10,861.0,867.0,850.0,850.0,-1.16,893,765025.0
2020-09-09,856.0,907.0,840.0,860.0,2.38,1170,1006640.0
2020-09-08,777.0,840.0,777.0,840.0,6.19,1325,1097115.0
2020-09-07,785.0,805.0,785.0,791.0,-1.25,310,246190.0
2020-09-06,814.0,814.0,791.0,801.0,0.25,560,449580.0
2020-09-03,810.0,816.0,795.0,799.0,-1.96,970,777930.0
2020-09-02,798.0,815.0,790.0,815.0,0.25,430,346480.0
2020-08-31,835.0,835.0,805.0,813.0,-4.58,1650,1354125.0
2020-08-30,790.0,852.0,778.0,852.0,5.71,242,194062.0
2020-08-27,830.0,830.0,801.0,806.0,-2.89,130,104740.0
2020-08-26,792.0,830.0,792.0,830.0,3.88,1234,1014744.0
2020-08-25,817.0,820.0,787.0,799.0,-0.25,590,473780.0
2020-08-24,798.0,805.0,786.0,801.0,0.13,963,769810.0
2020-08-23,775.0,800.0,760.0,800.0,1.27,150,116520.0
2020-08-20,785.0,790.0,785.0,790.0,-0.25,30,23600.0
2020-08-19,784.0,792.0,754.0,792.0,-1.0,925,710675.0
2020-08-18,809.0,809.0,778.0,800.0,0.63,460,360490.0
2020-08-17,760.0,795.0,760.0,795.0,2.98,230,178350.0
2020-08-16,805.0,806.0,762.0,772.0,-4.34,220,172010.0
2020-08-13,836.0,836.0,794.0,807.0,-3.47,1310,1062655.0
2020-08-12,838.0,838.0,822.0,836.0,-2.22,40,33180.0
2020-08-11,858.0,858.0,829.0,855.0,-2.29,375,314875.0
2020-08-10,805.0,875.0,776.0,875.0,8.7,1045,837410.0
2020-08-09,793.0,805.0,789.0,805.0,-0.49,165,131205.0
2020-08-06,794.0,810.0,767.0,809.0,-0.12,325,258610.0
2020-08-05,798.0,810.0,789.0,810.0,-0.49,95,75695.0
2020-08-03,802.0,814.0,790.0,814.0,-0.12,330,264740.0
2020-08-02,809.0,815.0,796.0,815.0,-1.09,675,546240.0
2020-07-30,896.0,896.0,824.0,824.0,-9.85,700,583850.0
2020-07-28,883.0,914.0,883.0,914.0,1.56,420,373550.0
2020-07-27,894.0,900.0,868.0,900.0,-1.32,590,518470.0
2020-07-26,935.0,935.0,871.0,912.0,-1.83,505,455020.0
2020-07-23,863.0,930.0,851.0,929.0,5.57,720,624790.0
2020-07-22,918.0,918.0,863.0,880.0,-2.22,265,232400.0
2020-07-21,1019.0,1019.0,899.0,900.0,-7.31,1260,1147260.0
2020-07-20,1009.0,1010.0,900.0,971.0,1.04,1400,1381655.0
2020-07-19,943.0,961.0,943.0,961.0,3.89,110,103910.0
2020-07-16,888.0,939.0,876.0,925.0,2.21,550,497422.0
2020-07-15,890.0,930.0,882.0,905.0,3.67,565,509850.0
2020-07-14,794.0,873.0,794.0,873.0,9.95,1625,1392175.0
2020-07-13,747.0,810.0,747.0,794.0,5.03,330,259770.0
2020-07-12,729.0,757.0,729.0,756.0,1.89,230,170750.0
2020-07-09,726.0,752.0,713.0,742.0,2.2,445,325750.0
2020-07-08,735.0,749.0,721.0,726.0,-2.94,140,102540.0
2020-07-07,735.0,796.0,735.0,748.0,0.0,740,561230.0
2020-07-06,691.0,748.0,679.0,748.0,6.1,400,283960.0
2020-07-05,653.0,705.0,653.0,705.0,5.86,510,339830.0
2020-07-02,666.0,666.0,666.0,666.0,0.15,10,6660.0
2020-06-30,665.0,665.0,665.0,665.0,-0.15,10,6650.0
2020-06-29,691.0,691.0,678.0,666.0,-3.83,50,33670.0
2020-03-22,705.0,705.0,705.0,705.0,0.0,10,7050.0
2020-03-19,695.0,708.0,662.0,705.0,-0.56,995,692580.0
2020-03-18,749.0,749.0,708.0,709.0,-3.54,195,140075.0
2020-03-17,770.0,770.0,735.0,735.0,-5.77,555,414505.0
2020-03-16,770.0,784.0,762.0,780.0,1.3,340,264490.0
2020-03-15,794.0,794.0,755.0,770.0,-4.94,320,246450.0
2020-03-12,825.0,825.0,800.0,810.0,-1.82,650,528090.0
2020-03-11,779.0,825.0,767.0,825.0,3.9,190,151090.0
2020-03-10,794.0,794.0,794.0,794.0,-1.98,10,7940.0
2020-03-05,755.0,837.0,740.0,810.0,5.19,400,313700.0
2020-03-04,838.0,838.0,770.0,770.0,-9.94,1000,777190.0
2020-03-03,856.0,878.0,840.0,855.0,-2.06,440,375500.0
2020-03-02,893.0,893.0,873.0,873.0,-4.07,390,343470.0
2020-03-01,911.0,929.0,898.0,910.0,-1.62,620,565780.0
2020-02-27,950.0,965.0,925.0,925.0,-3.65,805,754360.0
2020-02-26,979.0,979.0,945.0,960.0,0.0,670,649990.0
2020-02-25,937.0,975.0,919.0,960.0,0.42,600,573930.0
2020-02-24,975.0,976.0,956.0,956.0,-1.95,640,614695.0
2020-02-23,956.0,1013.0,956.0,975.0,0.41,1580,1575280.0
2020-02-20,956.0,994.0,940.0,971.0,3.52,1731,1672650.0
2020-02-19,901.0,939.0,901.0,938.0,3.88,940,860550.0
2020-02-18,910.0,919.0,895.0,903.0,-2.38,850,770060.0
2020-02-17,920.0,970.0,912.0,925.0,-0.96,1879,1748335.0
2020-02-16,910.0,940.0,910.0,934.0,1.08,1298,1208588.0
2020-02-13,895.0,930.0,895.0,924.0,3.01,1691,1545875.0
2020-02-12,900.0,915.0,893.0,897.0,-1.32,2228,2014280.0
2020-02-11,880.0,918.0,880.0,909.0,3.3,1920,1730430.0
2020-02-10,850.0,901.0,842.0,880.0,3.53,1185,1044905.0
2020-02-09,846.0,872.0,846.0,850.0,-1.16,630,538500.0
2020-02-06,861.0,875.0,852.0,860.0,0.0,792,678374.0
2020-02-05,858.0,860.0,842.0,860.0,0.23,1150,982420.0
2020-02-04,863.0,879.0,847.0,858.0,-2.5,360,309380.0
2020-02-03,870.0,880.0,850.0,880.0,1.03,590,508950.0
2020-02-02,933.0,933.0,868.0,871.0,-2.13,1922,1691272.0
2020-01-30,930.0,966.0,890.0,890.0,-3.26,2083,1928735.0
2020-01-29,880.0,926.0,863.0,920.0,4.66,2931,2613857.0
2020-01-28,865.0,900.0,855.0,879.0,1.62,1233,1088266.0
2020-01-27,824.0,892.0,824.0,865.0,4.98,1188,1021038.0
2020-01-26,869.0,869.0,824.0,824.0,-3.96,447,381470.0
2020-01-23,856.0,890.0,843.0,858.0,0.23,1400,1218070.0
2020-01-22,880.0,880.0,850.0,856.0,-0.81,600,517610.0
2020-01-21,858.0,886.0,858.0,863.0,-0.69,630,546780.0
2020-01-20,901.0,921.0,866.0,869.0,-5.44,988,872026.0
2020-01-19,953.0,957.0,883.0,919.0,-1.71,6545,5948445.0
2020-01-16,895.0,945.0,863.0,935.0,4.7,1720,1564690.0
2020-01-15,893.0,895.0,822.0,893.0,1.71,1980,1707300.0
2020-01-14,851.0,885.0,800.0,878.0,5.15,3165,2700165.0
2020-01-13,775.0,836.0,775.0,835.0,9.87,4883,4034295.0
2020-01-12,704.0,760.0,704.0,760.0,9.99,1020,771000.0
2020-01-09,620.0,691.0,620.0,691.0,9.86,3498,2385690.0
2020-01-08,639.0,665.0,617.0,629.0,0.16,2855,1824330.0
2020-01-07,620.0,644.0,608.0,628.0,1.29,1618,1009436.0
2020-01-06,627.0,635.0,606.0,620.0,0.49,360,221910.0
2020-01-05,608.0,626.0,602.0,617.0,3.35,750,463920.0
2020-01-02,600.0,602.0,594.0,597.0,-1.16,180,107680.0
2020-01-01,605.0,606.0,591.0,604.0,1.51,600,357660.0
2019-12-31,600.0,610.0,594.0,595.0,-0.67,480,288970.0
2019-12-30,600.0,600.0,590.0,599.0,0.5,170,100940.0
2019-12-29,587.0,600.0,587.0,596.0,-0.17,300,179090.0
2019-12-26,602.0,614.0,596.0,597.0,-0.83,250,150000.0
2019-12-25,601.0,605.0,595.0,602.0,-1.79,180,107450.0
2019-12-24,590.0,613.0,590.0,613.0,2.0,950,566666.0
2019-12-23,606.0,618.0,600.0,601.0,1.01,220,132780.0
2019-12-22,600.0,600.0,590.0,595.0,-2.62,678,402816.0
2019-12-19,615.0,615.0,593.0,611.0,-0.65,450,270630.0
2019-12-18,633.0,633.0,597.0,615.0,1.99,860,522065.0
2019-12-17,603.0,609.0,602.0,603.0,0.0,200,121090.0
2019-12-16,602.0,614.0,602.0,603.0,-1.31,940,570970.0
2019-12-15,627.0,627.0,602.0,611.0,-4.08,590,363600.0
2019-12-12,637.0,638.0,613.0,637.0,-1.85,1200,757470.0
2019-12-11,625.0,656.0,620.0,649.0,5.02,3149,1993901.0
2019-12-10,615.0,629.0,525.0,618.0,0.49,2814,1713964.0
2019-12-09,610.0,625.0,610.0,615.0,2.33,1190,739160.0
2019-12-08,620.0,624.0,590.0,601.0,-2.75,390,238950.0
2019-12-05,605.0,618.0,597.0,618.0,1.98,769,466441.0
2019-12-04,626.0,626.0,593.0,606.0,-5.02,1160,702860.0
2019-12-03,580.0,638.0,580.0,638.0,10.0,1820,1092870.0
2019-12-02,571.0,594.0,529.0,580.0,-0.34,1890,1073570.0
2019-12-01,634.0,634.0,582.0,582.0,-9.91,960,560130.0
2019-11-28,640.0,678.0,629.0,646.0,1.25,2370,1532850.0
2019-11-27,632.0,638.0,626.0,638.0,0.95,1283,811432.0
2019-11-26,650.0,650.0,630.0,632.0,-1.25,710,449100.0
2019-11-25,616.0,650.0,616.0,640.0,2.07,2119,1326892.0
2019-11-24,640.0,657.0,610.0,627.0,-0.95,3250,2048500.0
2019-11-21,604.0,633.0,604.0,633.0,9.9,12402,7727996.0
2019-11-20,550.0,576.0,550.0,576.0,9.92,2769,1594494.0
2019-11-19,500.0,524.0,500.0,524.0,9.85,710,371620.0
2019-11-18,455.0,477.0,455.0,477.0,9.91,150,70500.0
2019-11-17,402.0,434.0,402.0,434.0,9.87,60,25240.0
2019-11-14,388.0,395.0,388.0,395.0,3.67,20,7830.0
2019-11-12,367.0,381.0,367.0,381.0,5.83,30,11220.0
2019-11-11,347.0,360.0,347.0,360.0,5.57,30,10600.0
2019-11-10,341.0,341.0,341.0,341.0,1.79,10,3410.0
2019-11-06,335.0,335.0,335.0,335.0,1.82,10,3350.0
2019-11-04,329.0,329.0,329.0,329.0,1.86,10,3290.0
2019-10-31,317.0,323.0,317.0,323.0,3.86,20,6400.0
2019-10-24,311.0,311.0,311.0,311.0,1.97,10,3110.0
2019-10-21,305.0,305.0,305.0,305.0,4.81,20,6100.0
2019-10-20,291.0,291.0,291.0,291.0,1.75,10,2910.0
2019-10-17,271.0,286.0,271.0,286.0,7.52,80,22380.0
2019-09-26,266.0,266.0,266.0,266.0,1.92,10,2660.0
2019-09-24,256.0,261.0,256.0,261.0,5.67,20,5170.0
2019-09-18,247.0,247.0,247.0,247.0,1.65,10,2470.0
2019-09-16,243.0,243.0,243.0,243.0,1.67,10,2430.0
2019-09-11,239.0,239.0,239.0,239.0,1.7,10,2390.0
2019-09-08,235.0,235.0,235.0,235.0,1.73,10,2350.0
2019-09-05,231.0,231.0,231.0,231.0,0.0,10,2310.0
