date,open,high,low,ltp,percent_change,qty,turnover
2015-01-29,185.0,203.0,183.0,184.0,0.0,200565,37843212.0
2015-01-28,177.0,191.0,178.0,185.0,0.0,85056,15684801.0
2015-01-27,174.0,179.0,172.0,177.0,0.0,41941,7395340.0
2015-01-26,164.0,178.0,167.0,174.0,0.0,52158,8985523.0
2015-01-25,166.0,166.0,163.0,164.0,0.0,20667,3389232.0
2015-01-22,169.0,169.0,161.0,166.0,0.0,35712,5878789.0
2015-01-20,171.0,174.0,164.0,169.0,0.0,31360,5274032.0
2015-01-19,164.0,180.0,155.0,171.0,0.0,318162,51153608.0
2015-01-18,169.0,171.0,162.0,164.0,0.0,16518,2718620.0
2015-01-14,168.0,169.0,168.0,169.0,0.0,1487,250466.0
2015-01-13,173.0,170.0,163.0,168.0,0.0,3096,513162.0
2015-01-12,164.0,173.0,162.0,173.0,0.0,4411,734611.0
2015-01-11,164.0,167.0,160.0,164.0,0.0,99867,16026612.0
2015-01-08,165.0,167.0,162.0,164.0,0.0,14969,2451237.0
2015-01-07,166.0,166.0,163.0,165.0,0.0,12620,2070470.0
2015-01-06,167.0,170.0,162.0,166.0,0.0,17168,2837922.0
2015-01-05,171.0,173.0,167.0,167.0,0.0,8142,1385680.0
2015-01-04,168.0,172.0,168.0,171.0,0.0,7076,1200494.0
2015-01-01,170.0,173.0,168.0,168.0,0.0,4479,763394.0
2014-12-31,174.0,171.0,169.0,170.0,0.0,5999,1019246.0
2014-12-29,173.0,177.0,171.0,174.0,0.0,7893,1364021.0
2014-12-28,170.0,177.0,170.0,173.0,0.0,14306,2501763.0
2014-12-24,170.0,172.0,167.0,170.0,0.0,7765,1316481.0
2014-12-23,170.0,170.0,167.0,170.0,0.0,1827,308184.0
2014-12-22,168.0,170.0,167.0,170.0,0.0,3026,510405.0
2014-12-21,175.0,177.0,168.0,168.0,0.0,4284,740134.0
2014-12-18,175.0,175.0,170.0,175.0,0.0,3032,526302.0
2014-12-17,180.0,180.0,172.0,175.0,0.0,6801,1189204.0
2014-12-16,175.0,180.0,170.0,180.0,0.0,3220,569586.0
