date,open,high,low,ltp,percent_change,qty,turnover
2014-06-11,120.0,120.0,120.0,120.0,0.0,162705,19524600.0
2014-06-05,112.0,120.0,114.0,120.0,0.0,150546,18065280.0
2014-03-17,108.0,112.0,112.0,112.0,0.0,224658,25161696.0
2014-03-12,120.0,118.0,108.0,108.0,0.0,18059,1950972.0
2014-02-26,112.0,120.0,114.0,120.0,0.0,93857,11262606.0
2014-02-20,111.0,112.0,112.0,112.0,0.0,199800,22377600.0
2014-02-18,105.0,111.0,107.0,111.0,0.0,100,10920.0
2014-02-17,101.0,105.0,103.0,105.0,0.0,100,10400.0
2013-08-20,101.0,101.0,101.0,101.0,0.0,90000,9090000.0
2013-07-22,101.0,101.0,101.0,101.0,0.0,119055,12024555.0
2013-07-21,109.0,107.0,101.0,101.0,0.0,60320,6095152.0
2013-04-11,111.0,109.0,109.0,109.0,0.0,100595,10964855.0
2013-04-09,123.0,121.0,111.0,111.0,0.0,60,6960.0
2013-04-08,131.0,129.0,123.0,123.0,0.0,40,5040.0
2013-04-04,133.0,131.0,131.0,131.0,0.0,10,1310.0
2013-04-03,139.0,137.0,133.0,133.0,0.0,30,4050.0
2013-04-01,147.0,145.0,139.0,139.0,0.0,40,5680.0
2013-03-31,158.0,155.0,147.0,147.0,0.0,40,6030.0
2013-03-27,175.0,172.0,158.0,158.0,0.0,60,9880.0
2013-03-25,184.0,181.0,175.0,175.0,0.0,30,5340.0
2013-03-24,203.0,199.0,184.0,184.0,0.0,60,11490.0
2013-03-21,0.0,221.0,203.0,203.0,0.0,60,12680.0
