date,open,high,low,ltp,percent_change,qty,turnover
2024-07-08,277.0,277.0,277.0,277.0,0.0,10340,2864180.0
2024-01-08,178.0,178.0,178.0,178.0,0.0,5190,923820.0
2023-01-12,153.0,153.0,153.0,153.0,0.0,5000,765000.0
2022-09-02,135.0,135.0,135.0,135.0,0.0,1000,135000.0
2022-07-22,135.0,135.0,135.0,135.0,0.0,1000,135000.0
2022-06-08,135.0,135.0,135.0,135.0,0.0,5000,675000.0
2022-02-27,177.0,177.0,177.0,177.0,0.0,2500,442500.0
2022-01-06,177.0,177.0,177.0,177.0,0.0,7500,1327500.0
2021-09-12,187.0,187.0,187.0,187.0,0.0,7000,1309000.0
2021-07-06,187.0,187.0,187.0,187.0,0.0,3000,561000.0
2021-07-04,100.0,100.0,100.0,100.0,0.0,3000,300000.0
2021-03-29,100.0,100.0,100.0,100.0,0.0,12000,1200000.0
2021-03-25,100.0,100.0,100.0,100.0,0.0,50000,5000000.0
2021-03-24,100.0,100.0,100.0,100.0,0.0,10000,1000000.0
2021-03-23,100.0,100.0,100.0,100.0,0.0,56000,5600000.0
2020-09-27,100.0,100.0,100.0,100.0,0.0,3000,300000.0
2020-09-16,100.0,100.0,100.0,100.0,0.0,25000,2500000.0
2020-09-13,100.0,100.0,100.0,100.0,0.0,32000,3200000.0
2020-07-06,100.0,100.0,100.0,100.0,0.0,19000,1900000.0
2019-12-11,100.0,100.0,100.0,100.0,0.0,35000,3500000.0
2019-12-03,100.0,100.0,100.0,100.0,0.0,36710,3671000.0
2019-11-21,100.0,100.0,100.0,100.0,0.0,23750,2375000.0
