date,open,high,low,ltp,percent_change,qty,turnover
2013-05-28,139.0,141.0,141.0,141.0,0.0,14,1974.0
2013-05-21,135.0,139.0,137.0,139.0,0.0,102,14076.0
2013-05-16,133.0,135.0,135.0,135.0,0.0,20,2700.0
2013-05-12,137.0,135.0,133.0,133.0,0.0,82,10988.0
2013-05-09,141.0,139.0,137.0,137.0,0.0,82,11316.0
2013-04-16,143.0,141.0,141.0,141.0,0.0,41,5781.0
2013-04-15,141.0,145.0,143.0,143.0,0.0,123,17671.0
2013-04-11,145.0,143.0,141.0,141.0,0.0,82,11644.0
2013-04-09,143.0,145.0,145.0,145.0,0.0,12,1740.0
2013-04-08,147.0,145.0,143.0,143.0,0.0,59,8523.0
2013-03-28,147.0,147.0,147.0,147.0,0.0,164,24108.0
2013-03-27,149.0,150.0,147.0,147.0,0.0,351,52569.0
2013-03-20,138.0,149.0,140.0,149.0,0.0,1704,244617.0
2013-03-19,139.0,138.0,138.0,138.0,0.0,206,28428.0
2013-03-17,135.0,139.0,137.0,139.0,0.0,433,59457.0
2013-03-04,134.0,135.0,135.0,135.0,0.0,309,41715.0
2013-03-03,136.0,134.0,134.0,134.0,0.0,10,1340.0
2013-02-28,133.0,136.0,135.0,136.0,0.0,35,4739.0
2013-02-27,135.0,133.0,133.0,133.0,0.0,24,3192.0
2013-02-20,138.0,136.0,134.0,135.0,0.0,1833,247791.0
2013-02-13,140.0,138.0,138.0,138.0,0.0,10,1380.0
2013-01-30,138.0,140.0,138.0,140.0,0.0,764,106702.0
2013-01-06,138.0,138.0,138.0,138.0,0.0,288,39744.0
2013-01-03,136.0,138.0,138.0,138.0,0.0,33,4554.0
2012-12-24,139.0,137.0,136.0,136.0,0.0,1997,273486.0
2012-12-12,142.0,142.0,139.0,139.0,0.0,192,26957.0
2012-12-11,140.0,142.0,142.0,142.0,0.0,51,7242.0
2012-12-10,140.0,142.0,140.0,140.0,0.0,906,127004.0
2012-12-06,140.0,142.0,140.0,140.0,0.0,2054,289560.0
2012-12-05,140.0,140.0,138.0,140.0,0.0,502,70076.0
2012-12-04,139.0,140.0,140.0,140.0,0.0,416,58240.0
2012-11-29,141.0,141.0,139.0,139.0,0.0,226,31780.0
2012-11-12,141.0,141.0,141.0,141.0,0.0,136,19176.0
2012-11-11,143.0,145.0,141.0,141.0,0.0,1707,243315.0
2012-11-07,144.0,144.0,142.0,143.0,0.0,1426,204246.0
2012-11-06,140.0,144.0,140.0,144.0,0.0,7447,1044445.0
2012-11-05,142.0,140.0,140.0,140.0,0.0,99,13860.0
2012-10-30,144.0,142.0,142.0,142.0,0.0,91,12922.0
2012-10-18,140.0,144.0,142.0,144.0,0.0,157,22548.0
2012-10-15,142.0,140.0,140.0,140.0,0.0,200,28000.0
2012-10-14,140.0,142.0,142.0,142.0,0.0,43,6106.0
2012-10-11,139.0,140.0,138.0,140.0,0.0,1089,150660.0
2012-10-10,139.0,139.0,139.0,139.0,0.0,86,11954.0
2012-10-09,140.0,140.0,139.0,139.0,0.0,266,37015.0
2012-10-07,139.0,140.0,139.0,140.0,0.0,157,21879.0
2012-10-03,137.0,139.0,139.0,139.0,0.0,101,14039.0
2012-10-02,137.0,139.0,137.0,137.0,0.0,182,25134.0
2012-09-30,135.0,139.0,137.0,137.0,0.0,1122,153760.0
2012-09-26,137.0,137.0,135.0,135.0,0.0,1184,160454.0
2012-09-25,139.0,145.0,137.0,137.0,0.0,1289,183029.0
2012-09-17,137.0,139.0,139.0,139.0,0.0,129,17931.0
2012-09-16,139.0,137.0,137.0,137.0,0.0,19,2603.0
2012-09-13,145.0,143.0,139.0,139.0,0.0,410,57524.0
2012-09-12,138.0,145.0,140.0,145.0,0.0,1191,171543.0
2012-09-11,127.0,138.0,128.0,138.0,0.0,538,70693.0
2012-09-10,125.0,128.0,124.0,127.0,0.0,2836,359827.0
2012-09-09,138.0,136.0,125.0,125.0,0.0,2089,265066.0
2012-09-06,144.0,142.0,134.0,138.0,0.0,333,45468.0
2012-09-05,160.0,157.0,144.0,144.0,0.0,311,45144.0
2012-09-04,172.0,169.0,160.0,160.0,0.0,40,6580.0
2012-09-03,187.0,184.0,172.0,172.0,0.0,50,8900.0
2012-09-02,200.0,196.0,187.0,187.0,0.0,40,7660.0
2012-08-16,0.0,200.0,200.0,200.0,0.0,103,20600.0
