date,open,high,low,ltp,percent_change,qty,turnover
2018-07-15,135.0,135.0,133.0,133.0,-1.48,550,73650.0
2018-07-12,133.0,135.0,133.0,135.0,2.27,600,80150.0
2018-07-11,130.0,132.0,130.0,132.0,2.33,484,63400.0
2018-07-10,131.0,131.0,129.0,129.0,-3.01,1467,189843.0
2018-07-09,135.0,135.0,133.0,133.0,-2.92,294,39490.0
2018-07-08,139.0,140.0,137.0,137.0,0.0,1019,140707.0
2018-07-05,137.0,137.0,137.0,137.0,1.48,50,6850.0
2018-07-04,132.0,135.0,132.0,135.0,3.85,193,25925.0
2018-07-03,131.0,131.0,130.0,130.0,0.78,150,19550.0
2018-07-01,130.0,131.0,129.0,129.0,-1.53,300,38920.0
2018-06-28,130.0,131.0,130.0,131.0,0.77,80,10430.0
2018-06-26,132.0,132.0,130.0,130.0,-2.99,1700,221400.0
2018-06-25,135.0,135.0,134.0,134.0,0.0,575,77125.0
2018-06-24,131.0,134.0,131.0,134.0,0.75,3673,482663.0
2018-06-21,134.0,134.0,132.0,133.0,-0.75,570,75430.0
2018-06-19,134.0,134.0,134.0,134.0,-1.47,250,33500.0
2018-06-17,137.0,137.0,136.0,136.0,-1.45,910,123960.0
2018-06-14,134.0,138.0,134.0,138.0,1.47,225,30570.0
2018-06-12,136.0,137.0,136.0,136.0,1.49,919,125166.0
2018-06-11,132.0,134.0,132.0,134.0,0.0,570,75260.0
2018-06-10,136.0,136.0,134.0,134.0,0.0,1400,189800.0
2018-06-07,134.0,134.0,132.0,134.0,-1.47,3782,504188.0
2018-06-04,136.0,136.0,136.0,136.0,-1.45,250,34000.0
2018-06-03,138.0,138.0,138.0,138.0,-1.43,500,69000.0
2018-05-31,145.0,145.0,140.0,140.0,-2.1,3385,480950.0
2018-05-30,144.0,144.0,142.0,143.0,0.7,1600,228300.0
2018-05-29,142.0,142.0,142.0,142.0,1.43,50,7100.0
2018-05-28,138.0,140.0,138.0,140.0,2.94,1045,144770.0
2018-05-27,139.0,139.0,136.0,136.0,-3.55,989,135454.0
2018-05-24,145.0,145.0,141.0,141.0,-2.76,1960,278820.0
2018-05-23,150.0,150.0,145.0,145.0,-2.68,340,49670.0
2018-05-22,142.0,149.0,142.0,149.0,6.43,810,115620.0
2018-05-21,142.0,142.0,140.0,140.0,-2.78,148,20920.0
2018-05-17,142.0,146.0,142.0,144.0,2.86,1020,146680.0
2018-05-15,140.0,140.0,140.0,140.0,-1.41,187,26180.0
2018-05-14,139.0,142.0,138.0,142.0,1.43,1160,161750.0
2018-05-10,142.0,142.0,140.0,140.0,-2.78,801,112541.0
2018-05-09,145.0,145.0,144.0,144.0,-1.37,960,138800.0
2018-05-08,146.0,146.0,146.0,146.0,0.69,100,14600.0
2018-05-07,149.0,150.0,145.0,145.0,-2.68,4545,668235.0
2018-05-06,153.0,153.0,147.0,149.0,-2.61,1325,198075.0
2018-05-03,149.0,153.0,149.0,153.0,2.68,730,109840.0
2018-05-02,157.0,167.0,157.0,160.0,1.27,2020,329970.0
2018-04-29,153.0,159.0,153.0,158.0,1.28,1955,305175.0
2018-04-26,163.0,163.0,156.0,156.0,-2.5,848,134986.0
2018-04-25,160.0,163.0,159.0,160.0,-1.23,785,125545.0
2018-04-24,168.0,169.0,159.0,162.0,-3.57,9292,1537414.0
2018-04-23,172.0,174.0,167.0,168.0,-1.18,13092,2230554.0
2018-04-22,162.0,170.0,162.0,170.0,6.92,13309,2215780.0
2018-04-19,165.0,168.0,159.0,159.0,-2.45,11147,1822466.0
2018-04-18,153.0,166.0,153.0,163.0,7.95,10281,1652621.0
2018-04-17,154.0,162.0,151.0,151.0,-1.95,7347,1152078.0
2018-04-16,151.0,154.0,151.0,154.0,3.36,250,38350.0
2018-04-15,149.0,149.0,149.0,149.0,0.68,150,22350.0
2018-04-12,150.0,150.0,146.0,148.0,0.0,3421,503466.0
2018-04-10,157.0,157.0,148.0,148.0,-7.5,4122,626576.0
2018-04-09,160.0,166.0,158.0,160.0,0.0,3382,544236.0
2018-04-08,148.0,160.0,148.0,160.0,9.59,1072,163150.0
2018-04-05,144.0,146.0,142.0,146.0,0.0,714,102004.0
2018-04-04,143.0,146.0,141.0,146.0,2.1,1214,172808.0
