date,open,high,low,ltp,percent_change,qty,turnover
2019-03-14,118.0,118.0,114.0,116.0,-2.52,1400,162200.0
2019-03-13,125.0,125.0,119.0,119.0,-6.3,1690,205590.0
2019-03-12,123.0,127.0,123.0,127.0,4.96,1480,184980.0
2019-03-11,123.0,123.0,121.0,121.0,-3.2,930,113490.0
2019-03-10,125.0,125.0,125.0,125.0,1.63,280,35000.0
2019-03-07,119.0,123.0,119.0,123.0,5.13,1790,216710.0
2019-03-06,110.0,117.0,110.0,117.0,8.33,1570,180470.0
2019-03-05,108.0,108.0,108.0,108.0,0.93,1150,124200.0
2019-03-03,107.0,107.0,107.0,107.0,-1.83,80,8560.0
2019-02-27,110.0,110.0,109.0,109.0,-0.91,400,43900.0
2019-02-26,112.0,112.0,110.0,110.0,0.0,250,27750.0
2019-02-25,108.0,110.0,107.0,110.0,0.0,970,104720.0
2019-02-24,114.0,114.0,110.0,110.0,-3.51,4110,468120.0
2019-02-11,114.0,116.0,114.0,114.0,0.0,700,81000.0
2019-02-07,114.0,114.0,114.0,114.0,-1.72,200,22800.0
2019-02-06,116.0,116.0,116.0,116.0,1.75,10,1160.0
2019-02-05,112.0,114.0,112.0,114.0,0.0,310,35320.0
2019-02-04,114.0,114.0,114.0,114.0,-0.87,500,57000.0
2019-02-03,115.0,115.0,115.0,115.0,1.77,1699,195385.0
2019-01-31,116.0,116.0,113.0,113.0,-0.88,2750,313100.0
2019-01-30,117.0,117.0,114.0,114.0,-4.2,2400,275960.0
2019-01-29,119.0,119.0,119.0,119.0,-1.65,80,9520.0
2019-01-28,125.0,125.0,121.0,121.0,-4.72,710,87930.0
2019-01-27,128.0,128.0,127.0,127.0,0.0,35,4470.0
2019-01-23,125.0,127.0,121.0,127.0,3.25,1285,158175.0
2019-01-22,123.0,123.0,123.0,123.0,1.65,10,1230.0
2019-01-20,121.0,121.0,121.0,121.0,1.68,10,1210.0
2019-01-17,119.0,119.0,119.0,119.0,-0.83,200,23800.0
2019-01-16,120.0,124.0,120.0,120.0,1.69,150,18220.0
2019-01-15,118.0,118.0,118.0,118.0,1.72,170,20060.0
2019-01-14,117.0,117.0,115.0,116.0,-2.52,180,20880.0
2019-01-13,119.0,119.0,119.0,119.0,-1.65,110,13090.0
2019-01-10,121.0,121.0,121.0,121.0,0.0,140,16940.0
2019-01-09,123.0,123.0,121.0,121.0,-3.2,20,2440.0
2019-01-08,126.0,126.0,125.0,125.0,-2.34,600,75100.0
2019-01-07,122.0,128.0,122.0,128.0,6.67,400,49580.0
2019-01-06,118.0,120.0,118.0,120.0,0.0,1164,139196.0
2019-01-03,124.0,124.0,120.0,120.0,-4.76,30,3660.0
2019-01-02,130.0,130.0,126.0,126.0,-4.55,30,3840.0
2019-01-01,131.0,132.0,131.0,132.0,-0.75,90,11800.0
2018-12-31,133.0,133.0,133.0,133.0,0.76,5160,686280.0
2018-12-30,130.0,132.0,130.0,132.0,1.54,151,19772.0
2018-12-27,130.0,130.0,130.0,130.0,-1.52,1000,130000.0
2018-12-26,130.0,132.0,130.0,132.0,0.0,200,26280.0
2018-12-25,134.0,134.0,130.0,132.0,0.0,600,79180.0
2018-12-24,122.0,132.0,122.0,132.0,10.0,6550,857860.0
2018-12-23,116.0,120.0,116.0,120.0,1.69,1130,132180.0
2018-12-20,118.0,118.0,118.0,118.0,1.72,1000,118000.0
2018-12-19,120.0,120.0,116.0,116.0,-1.69,1060,127060.0
2018-12-18,114.0,118.0,113.0,118.0,2.61,1100,126260.0
2018-12-17,115.0,117.0,115.0,115.0,-0.86,220,25500.0
2018-12-13,116.0,116.0,116.0,116.0,-1.69,100,11600.0
2018-12-11,120.0,120.0,118.0,118.0,0.0,420,50160.0
2018-12-10,114.0,120.0,114.0,118.0,5.36,580,67440.0
2018-12-09,110.0,112.0,110.0,112.0,0.0,190,21200.0
2018-12-06,112.0,112.0,112.0,112.0,1.82,770,86240.0
2018-12-05,106.0,110.0,106.0,110.0,5.77,810,87220.0
2018-11-28,104.0,104.0,104.0,104.0,-1.89,220,22880.0
2018-11-26,106.0,106.0,106.0,106.0,-1.85,37,3922.0
2018-11-25,108.0,108.0,106.0,108.0,-1.82,240,25680.0
2018-11-05,110.0,110.0,110.0,110.0,-1.79,480,52800.0
2018-11-04,113.0,113.0,112.0,112.0,-1.75,1460,164400.0
2018-11-01,114.0,114.0,114.0,114.0,0.88,290,33060.0
2018-10-31,114.0,114.0,113.0,113.0,-1.74,1340,151440.0
2018-10-30,119.0,119.0,113.0,115.0,-3.36,910,104470.0
2018-10-25,117.0,119.0,117.0,119.0,0.85,280,33240.0
2018-10-24,118.0,118.0,118.0,118.0,0.0,379,44722.0
2018-10-23,118.0,118.0,118.0,118.0,-1.67,77,9086.0
2018-10-14,116.0,120.0,114.0,120.0,3.45,1445,166720.0
2018-10-10,116.0,116.0,116.0,116.0,0.0,80,9280.0
2018-10-09,116.0,118.0,116.0,116.0,0.0,1500,175360.0
2018-10-08,118.0,118.0,116.0,116.0,-1.69,920,107120.0
2018-10-07,118.0,118.0,118.0,118.0,-1.67,130,15340.0
2018-10-04,120.0,120.0,120.0,120.0,-1.64,200,24000.0
2018-10-03,122.0,122.0,122.0,122.0,-1.61,50,6100.0
2018-10-02,124.0,124.0,122.0,124.0,-1.59,100,12340.0
2018-10-01,126.0,126.0,126.0,126.0,-1.56,300,37800.0
2018-09-27,122.0,128.0,122.0,128.0,3.23,1060,131420.0
2018-09-26,126.0,126.0,122.0,124.0,-0.8,2000,245600.0
2018-09-25,120.0,125.0,120.0,125.0,4.17,749,91789.0
2018-09-20,118.0,120.0,118.0,120.0,1.69,2180,257560.0
2018-09-18,122.0,122.0,118.0,118.0,-4.84,460,55280.0
2018-09-16,124.0,124.0,122.0,124.0,1.64,300,37000.0
2018-09-13,120.0,124.0,120.0,122.0,1.67,580,70460.0
2018-09-12,122.0,122.0,120.0,120.0,-1.64,330,40091.0
2018-09-11,120.0,124.0,120.0,122.0,1.67,2030,249520.0
2018-09-10,122.0,122.0,120.0,120.0,-3.23,2410,289600.0
2018-09-09,123.0,124.0,123.0,124.0,-0.8,200,24640.0
2018-09-06,125.0,127.0,125.0,125.0,1.63,50,6270.0
2018-09-05,123.0,123.0,123.0,123.0,1.65,120,14760.0
2018-09-04,123.0,127.0,121.0,121.0,-2.42,1680,206880.0
2018-09-03,118.0,126.0,118.0,124.0,6.9,510,63320.0
2018-09-02,116.0,117.0,116.0,116.0,-1.69,470,54620.0
2018-08-30,116.0,118.0,114.0,118.0,1.72,420,48510.0
2018-08-29,118.0,118.0,114.0,116.0,-2.52,6000,696700.0
2018-08-28,121.0,121.0,119.0,119.0,-1.65,490,58490.0
2018-08-26,125.0,125.0,121.0,121.0,-1.63,650,78830.0
2018-08-23,123.0,125.0,123.0,123.0,-1.6,90,11150.0
2018-08-22,125.0,125.0,125.0,125.0,0.0,120,15000.0
2018-08-21,125.0,125.0,125.0,125.0,0.0,200,25000.0
2018-08-20,125.0,125.0,125.0,125.0,-1.57,550,68750.0
2018-08-16,127.0,127.0,127.0,127.0,-1.55,460,58420.0
2018-08-15,129.0,129.0,127.0,129.0,1.57,310,39790.0
2018-08-14,123.0,127.0,123.0,127.0,3.25,410,50950.0
2018-08-12,123.0,123.0,123.0,123.0,-0.81,40,4920.0
2018-08-06,126.0,126.0,124.0,124.0,-2.36,1370,171770.0
2018-08-05,127.0,127.0,127.0,127.0,-1.55,120,15240.0
2018-08-02,129.0,129.0,129.0,129.0,-0.77,40,5160.0
2018-08-01,132.0,132.0,130.0,130.0,-2.99,160,20880.0
2018-07-31,136.0,136.0,134.0,134.0,0.0,90,12160.0
2018-07-30,138.0,138.0,134.0,134.0,-1.47,3190,430920.0
2018-07-29,136.0,136.0,136.0,136.0,1.49,20,2720.0
2018-07-26,134.0,134.0,134.0,134.0,1.52,120,16080.0
2018-07-25,132.0,132.0,132.0,132.0,1.54,25,3300.0
2018-07-24,126.0,130.0,126.0,130.0,4.84,860,111460.0
2018-07-23,124.0,124.0,124.0,124.0,-1.59,80,9920.0
2018-07-22,126.0,126.0,126.0,126.0,0.0,580,73080.0
2018-07-19,127.0,129.0,125.0,126.0,0.0,720,91360.0
2018-07-15,126.0,126.0,126.0,126.0,-1.56,40,5040.0
2018-07-12,128.0,128.0,128.0,128.0,0.0,80,10240.0
2018-07-11,132.0,132.0,128.0,128.0,-4.48,290,37340.0
2018-07-10,129.0,134.0,129.0,134.0,5.51,340,44380.0
2018-07-09,129.0,129.0,127.0,127.0,-3.05,360,45870.0
2018-07-08,128.0,131.0,128.0,131.0,1.55,260,33810.0
2018-07-05,123.0,129.0,122.0,129.0,4.88,1270,157450.0
2018-07-04,122.0,123.0,121.0,123.0,0.0,2550,308990.0
2018-07-03,129.0,129.0,123.0,123.0,-6.11,260,32380.0
2018-07-02,133.0,133.0,131.0,131.0,-2.96,30,3950.0
2018-07-01,141.0,141.0,135.0,135.0,-5.59,300,42060.0
2018-06-28,143.0,145.0,143.0,143.0,1.42,110,15870.0
2018-06-27,139.0,141.0,139.0,141.0,2.92,40,5600.0
2018-06-26,137.0,137.0,137.0,137.0,-1.44,260,35620.0
2018-06-25,135.0,139.0,135.0,139.0,4.51,90,12210.0
