date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,1034.0,1034.0,1034.0,1034.0,-0.86,25,25850.0
2026-04-30,1075.0,1075.0,1075.0,1043.0,-2.98,2,2086.0
2026-04-27,1060.0,1060.0,1060.0,1075.0,1.42,5,5375.0
2026-04-22,1033.3,1060.0,1033.3,1060.0,2.61,60,62698.0
2026-04-15,1033.0,1033.0,1033.0,1033.0,-1.77,25,25825.0
2026-04-08,1050.0,1051.6,1050.0,1051.6,2.0,85,89370.0
2026-04-01,1029.6,1031.0,1029.0,1031.0,-1.81,75,77284.0
2026-03-30,1050.0,1050.0,1050.0,1050.0,1.94,10,10500.0
2026-03-24,1030.0,1030.0,1030.0,1030.0,-0.96,25,25750.0
2026-03-19,1040.0,1040.0,1040.0,1040.0,1.96,50,52000.0
2026-03-17,1030.0,1030.0,1020.0,1020.0,-1.92,150,153810.0
2026-03-16,1040.0,1040.0,1040.0,1040.0,1.01,30,31200.0
2026-03-15,1031.0,1031.0,1029.6,1029.6,-2.0,150,154476.5
2026-03-12,1030.1,1050.6,1030.1,1050.6,2.0,30,31108.0
2026-03-01,1030.0,1030.0,1030.0,1030.0,0.59,25,25750.0
2026-02-17,1025.4,1025.4,1024.3,1024.0,-0.87,56,57386.5
2026-02-04,1033.0,1033.0,1033.0,1033.0,-1.99,50,51650.0
2026-01-27,1054.0,1054.0,1054.0,1054.0,-1.95,250,263500.0
2025-12-28,1075.0,1075.0,1075.0,1075.0,-0.19,500,537500.0
2025-12-23,1077.0,1077.0,1077.0,1077.0,0.94,25,26925.0
2025-11-30,1070.0,1070.0,1067.0,1067.0,-1.2,45,48090.0
2025-11-19,1078.0,1080.0,1078.0,1080.0,-1.82,45,48530.0
2025-11-16,1100.0,1100.0,1100.0,1100.0,0.0,25,27500.0
2025-11-13,1100.0,1100.0,1100.0,1100.0,-0.13,25,27500.0
2025-08-18,1095.0,1111.0,1095.0,1101.4,0.49,75,82605.0
2025-08-12,1088.0,1096.0,1088.0,1096.0,0.05,565,618591.5
2025-07-29,1095.5,1095.5,1095.5,1095.5,1.14,10,10955.0
2025-07-06,1083.2,1083.2,1083.2,1083.2,0.0,55,59576.0
2025-06-25,1083.2,1083.2,1083.2,1083.2,2.0,50,54160.0
2025-06-18,1062.0,1062.0,1062.0,1062.0,0.16,25,26550.0
2025-06-16,1060.3,1060.3,1060.3,1060.3,0.22,30,31809.0
2025-06-10,1059.2,1059.2,1059.2,1058.0,-0.11,2,2116.0
2025-05-26,1060.2,1060.2,1060.2,1059.2,-0.09,2,2118.4
2025-05-25,1060.5,1060.5,1060.5,1060.2,-0.03,1,1060.2
2025-05-06,1060.5,1060.5,1060.5,1060.5,-0.51,25,26512.5
2025-04-16,1065.33,1065.33,1065.33,1065.9,0.05,1,1065.9
2025-04-08,1048.1,1048.1,1048.1,1065.33,-0.25,31,32594.5
2025-04-01,1047.1,1047.1,1047.1,1068.0,2.0,3,3204.0
2025-03-25,1047.0,1047.0,1047.0,1047.1,0.01,2,2094.2
2025-03-24,1049.1,1049.1,1049.1,1047.0,-0.2,2,2094.0
2025-03-23,1060.0,1060.0,1060.0,1049.1,-1.03,1,1049.1
2025-03-09,1060.0,1060.0,1060.0,1060.0,0.0,25,26500.0
2025-02-25,1060.0,1060.0,1060.0,1060.0,-1.85,50,53000.0
2025-02-03,1061.0,1080.0,1061.0,1080.0,0.0,67,71800.0
2025-02-02,1058.7,1059.7,1058.7,1059.7,-1.42,60,63759.8
2025-01-26,1075.0,1075.0,1075.0,1075.0,-0.01,25,26875.0
2025-01-16,1075.1,1075.1,1075.1,1075.1,-2.0,25,26877.5
2025-01-02,1097.0,1097.0,1097.0,1097.0,2.0,4,4388.0
2024-11-27,1075.5,1075.5,1075.5,1075.5,-1.33,25,26887.5
2024-11-10,1090.0,1090.0,1090.0,1090.0,1.87,25,27250.0
2024-11-06,1070.0,1070.0,1070.0,1070.0,0.47,25,26750.0
2024-10-30,1065.0,1065.0,1065.0,1065.0,0.0,25,26625.0
2024-10-29,1065.0,1065.0,1065.0,1065.0,0.75,25,26625.0
2024-10-24,1057.1,1057.1,1057.1,1057.1,0.08,25,26427.5
2024-10-23,1056.3,1056.3,1056.3,1056.3,0.03,25,26407.5
2024-10-17,1056.0,1056.0,1056.0,1056.0,0.38,25,26400.0
2024-10-09,1052.0,1052.0,1052.0,1052.0,-0.14,25,26300.0
2024-09-25,1053.5,1053.5,1053.5,1053.5,-1.82,25,26337.5
2024-09-18,1073.0,1073.0,1073.0,1073.0,2.0,80,85840.0
2024-09-11,1052.0,1052.0,1052.0,1052.0,-1.68,50,52600.0
2024-09-10,1070.0,1070.0,1070.0,1070.0,1.9,25,26750.0
2024-09-02,1050.0,1050.0,1050.0,1050.0,0.0,175,183750.0
2024-09-01,1050.0,1050.0,1050.0,1050.0,0.48,25,26250.0
2024-08-22,1045.0,1045.0,1045.0,1045.0,0.0,65,67925.0
2024-08-21,1045.1,1045.1,1045.0,1045.0,0.0,125,130627.5
2024-08-15,1045.0,1045.0,1045.0,1045.0,-0.95,25,26125.0
2024-08-13,1045.0,1055.0,1045.0,1055.0,1.44,75,78675.0
2024-08-12,1040.0,1040.0,1040.0,1040.0,0.0,175,182000.0
2024-08-11,1040.0,1040.0,1040.0,1040.0,0.0,500,520000.0
2024-08-08,1041.0,1041.0,1040.0,1040.0,0.0,125,130025.0
2024-08-06,1040.0,1040.0,1040.0,1040.0,0.19,25,26000.0
2024-07-30,1019.5,1038.0,1019.5,1038.0,-0.19,125,129287.5
2024-07-24,1040.0,1040.0,1040.0,1040.0,-1.89,55,57200.0
2024-07-23,1058.4,1060.0,1058.4,1060.0,-1.85,45,47660.0
2024-07-11,1080.0,1080.0,1080.0,1080.0,1.03,100,108000.0
2024-07-01,1069.0,1069.0,1069.0,1069.0,-1.93,50,53450.0
2024-06-27,1060.8,1090.0,1060.8,1090.0,4.81,130,140930.0
2024-06-12,1040.0,1040.0,1040.0,1040.0,-0.95,25,26000.0
2024-06-11,1041.0,1050.0,1041.0,1050.0,0.96,80,83505.0
2024-05-29,1040.0,1040.0,1040.0,1040.0,0.0,25,26000.0
2024-05-22,1040.0,1040.0,1040.0,1040.0,0.39,25,26000.0
2024-05-19,1036.0,1036.0,1036.0,1036.0,-0.96,25,25900.0
2024-05-16,1047.0,1047.0,1046.0,1046.0,-1.4,125,130850.0
2024-05-09,1055.0,1060.8,1055.0,1060.8,2.0,55,58170.0
2024-04-24,1025.1,1040.0,1025.0,1040.0,1.94,95,97680.0
